arbitrage_combination,ex1_to_ex2_arb,ex2_to_ex1_arb,no_arb,ex1_to_ex2_arb_train,ex2_to_ex1_arb_train,no_arb_train,ex1_to_ex2_arb_test,ex2_to_ex1_arb_test,no_arb_test,test_size
kraken_bitfinex_bch_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1791.0,1791.0
kraken_gemini_eth_btc,0.01,0.01,0.98,0.01,0.03,0.96,0.0,1.0,1318.0,1319.0
cbpro_gemini_bch_btc,0.15,0.16,0.7,0.12,0.21,0.67,461.0,248.0,1458.0,2167.0
kraken_bitfinex_ltc_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1250.0,1250.0
gemini_hitbtc_eth_btc,0.01,0.01,0.98,0.01,0.01,0.98,94.0,55.0,6642.0,6791.0
bitfinex_kraken_etc_usd,0.59,0.01,0.39,0.93,0.0,0.07,77.0,152.0,3240.0,3469.0
cbpro_hitbtc_eos_btc,0.0,0.05,0.95,0.0,0.07,0.93,0.0,0.0,10831.0,10831.0
kraken_cbpro_dash_btc,0.01,0.0,0.99,0.01,0.0,0.99,9.0,6.0,2470.0,2485.0
bitfinex_gemini_bch_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1701.0,1709.0
cbpro_bitfinex_eth_usd,0.21,0.12,0.67,0.2,0.15,0.65,11030.0,449.0,54132.0,65611.0
gemini_hitbtc_ltc_btc,0.07,0.06,0.87,0.07,0.06,0.87,606.0,479.0,7085.0,8170.0
hitbtc_cbpro_btc_usdc,0.01,0.02,0.97,0.01,0.03,0.96,80.0,114.0,16029.0,16223.0
bitfinex_cbpro_dash_btc,0.01,0.0,0.99,0.01,0.0,0.98,14.0,20.0,2451.0,2485.0
kraken_hitbtc_bch_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1792.0,1792.0
bitfinex_hitbtc_eos_btc,0.02,0.01,0.97,0.03,0.02,0.96,34.0,27.0,44311.0,44372.0
hitbtc_bitfinex_btc_usdt,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12350.0,12350.0
gemini_cbpro_bch_usd,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1701.0,1709.0
kraken_gemini_ltc_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1624.0,1624.0
cbpro_bitfinex_eos_usd,0.09,0.01,0.9,0.13,0.01,0.86,14.0,0.0,10820.0,10834.0
kraken_bitfinex_ltc_btc,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,2485.0,2492.0
gemini_hitbtc_bch_btc,0.16,0.14,0.69,0.21,0.13,0.67,267.0,460.0,1441.0,2168.0
cbpro_hitbtc_xrp_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,13007.0,13009.0
bitfinex_hitbtc_ltc_btc,0.04,0.03,0.93,0.05,0.04,0.91,52.0,53.0,91691.0,91796.0
bitfinex_gemini_eth_btc,0.01,0.01,0.98,0.01,0.01,0.98,71.0,98.0,6622.0,6791.0
bitfinex_kraken_dash_btc,0.0,0.0,0.99,0.0,0.0,1.0,2.0,17.0,3005.0,3024.0
kraken_gemini_zec_usd,0.03,0.01,0.96,0.03,0.01,0.95,49.0,16.0,2264.0,2329.0
kraken_bitfinex_dash_usd,0.05,0.0,0.95,0.04,0.0,0.95,177.0,24.0,3466.0,3667.0
kraken_hitbtc_dash_btc,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3023.0,3026.0
kraken_hitbtc_eth_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,945.0,945.0
cbpro_hitbtc_eth_btc,0.02,0.04,0.94,0.02,0.05,0.93,0.0,0.0,65610.0,65610.0
kraken_bitfinex_zec_usd,0.05,0.0,0.95,0.03,0.0,0.97,282.0,24.0,3847.0,4153.0
cbpro_bitfinex_ltc_btc,0.02,0.04,0.93,0.03,0.05,0.92,32.0,54.0,60799.0,60885.0
bitfinex_cbpro_zrx_usd,0.01,0.45,0.54,0.01,0.57,0.42,105.0,294.0,19719.0,20118.0
hitbtc_kraken_xrp_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1295.0,1295.0
bitfinex_cbpro_bch_usd,0.03,0.43,0.54,0.04,0.55,0.41,73.0,27.0,18366.0,18466.0
kraken_hitbtc_ltc_btc,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2488.0,2492.0
bitfinex_gemini_zec_usd,0.0,0.01,0.99,0.0,0.0,1.0,0.0,26.0,1929.0,1955.0
gemini_kraken_ltc_btc,0.11,0.07,0.82,0.11,0.07,0.82,534.0,134.0,2193.0,2861.0
kraken_bitfinex_bch_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1100.0,1100.0
bitfinex_hitbtc_dash_btc,0.01,0.0,0.98,0.02,0.0,0.98,127.0,43.0,50418.0,50588.0
cbpro_bitfinex_xrp_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,13006.0,13009.0
bitfinex_cbpro_etc_usd,0.07,0.36,0.57,0.09,0.45,0.46,443.0,26.0,23008.0,23477.0
kraken_gemini_bch_btc,0.14,0.14,0.71,0.12,0.17,0.71,295.0,226.0,1637.0,2158.0
kraken_cbpro_dash_usd,0.02,0.0,0.98,0.02,0.0,0.98,43.0,10.0,2433.0,2486.0
cbpro_hitbtc_bch_btc,0.0,0.05,0.95,0.0,0.06,0.94,0.0,70.0,18577.0,18647.0
kraken_bitfinex_eos_usd,0.03,0.0,0.97,0.01,0.0,0.98,50.0,2.0,2889.0,2941.0
bitfinex_hitbtc_eos_usdt,0.05,0.04,0.91,0.06,0.04,0.89,297.0,324.0,10070.0,10691.0
kraken_cbpro_eth_btc,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,945.0,945.0
hitbtc_bitfinex_eth_usdt,0.0,0.01,0.99,0.0,0.01,0.99,8.0,5.0,12337.0,12350.0
hitbtc_bitfinex_xrp_btc,0.0,0.0,0.99,0.0,0.01,0.99,17.0,67.0,44560.0,44644.0
gemini_bitfinex_ltc_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1477.0,1477.0
bitfinex_hitbtc_bch_usdt,0.19,0.14,0.67,0.19,0.14,0.67,2429.0,1196.0,7066.0,10691.0
bitfinex_cbpro_eos_btc,0.05,0.0,0.95,0.07,0.0,0.93,0.0,0.0,10831.0,10831.0
gemini_kraken_eth_usd,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1114.0,1114.0
cbpro_bitfinex_ltc_usd,0.24,0.12,0.64,0.25,0.15,0.6,6666.0,396.0,53823.0,60885.0
