,closing_time,open,high,low,close,base_volume
0,1555063800,267.0,267.0,267.0,267.0,0.1
1,1555134900,279.1,279.1,279.1,279.1,0.98880983
2,1555151100,272.0,272.0,272.0,272.0,0.04346557
3,1555206900,276.29,276.29,276.29,276.29,0.01533263
4,1555248300,282.39,282.39,282.39,282.39,3.224
5,1555287900,289.0,289.0,289.0,289.0,0.38637577
6,1555290300,300.59,300.59,300.59,300.59,11.001
7,1555290600,300.59,300.59,299.21,299.21,7.0488800000000005
8,1555291800,304.03,304.03,303.28,303.28,33.79729682
9,1555333500,297.34,297.34,297.34,297.34,0.01
10,1555338600,310.36,310.9,310.36,310.9,2.61047096
11,1555338900,310.9,313.84,310.9,313.84,9.66920373
12,1555339200,323.8,323.8,319.25,319.25,9.86787078
13,1555340100,316.68,316.91,316.68,316.91,1.90248195
14,1555341900,323.5,323.5,323.5,323.5,90.0
15,1555342200,322.91,322.91,322.91,322.91,1.09947708
16,1555343700,322.0,322.0,322.0,322.0,0.07983968
17,1555344600,322.58,322.58,322.58,322.58,0.19
18,1555349700,309.6,309.6,309.6,309.6,1.44049999
19,1555351200,309.03,309.74,309.03,309.74,6.76617595
20,1555351500,309.52,309.52,309.52,309.52,7.72058819
21,1555351800,308.59,308.59,308.59,308.59,0.80383267
22,1555352100,310.32,310.32,310.32,310.32,0.03161072
23,1555353900,306.55,306.55,306.55,306.55,1.46794977
24,1555359000,306.29,306.3,306.29,306.3,4.15370696
25,1555361700,311.69,311.69,311.69,311.69,1.82347123
26,1555362900,310.47,310.47,310.47,310.47,0.48418335
27,1555363800,311.16,311.16,311.16,311.16,1.56461337
28,1555364100,308.7,308.7,308.59,308.59,13.20678522
29,1555364400,307.01,307.01,307.01,307.01,6.835999999999999
30,1555365300,307.13,307.13,307.13,307.13,0.81185964
31,1555366800,312.11,312.11,312.11,312.11,0.79845419
32,1555369800,314.78,315.52,314.78,315.52,0.67484202
33,1555370100,316.13,316.33,316.13,316.33,0.77681482
34,1555378500,318.23,318.23,318.23,318.23,0.47182902
35,1555392900,315.23,315.23,315.23,315.23,3.97941341
36,1555393800,313.1,313.1,313.1,313.1,0.7947861999999999
37,1555394100,312.83,312.83,312.83,312.83,0.46667348
38,1555395300,312.14,312.14,312.14,312.14,0.38663449
39,1555399800,313.64,313.64,313.64,313.64,0.46600086
40,1555402200,317.37,317.37,317.37,317.37,6.17704453
41,1555410300,315.74,317.0,315.74,317.0,33.0
42,1555425300,307.87,307.87,307.87,307.87,1.95542857
43,1555432200,307.32,307.32,307.16,307.16,8.66
44,1555432500,309.79,310.65,309.79,310.65,8.559999999999999
45,1555436100,315.32,315.32,315.31,315.31,1.3779625
46,1555447500,315.5,315.5,315.5,315.5,0.04
47,1555447800,316.08,316.08,316.08,316.08,0.04
48,1555448700,316.1,316.1,316.01,316.01,0.28917265000000003
49,1555449000,315.8,315.8,315.8,315.8,0.17827916
50,1555456200,317.55,317.55,317.55,317.55,6.14819784
51,1555464900,313.3,313.3,312.75,312.75,1.3968
52,1555501500,313.7,313.7,313.7,313.7,0.78651838
53,1555502100,313.12,313.12,313.12,313.12,0.78789751
54,1555515300,306.79,307.98,306.79,307.98,5.40582007
55,1555516500,307.14,307.14,305.43,305.43,0.31968906
56,1555617300,308.83,308.85,308.83,308.85,4.40946614
57,1555637700,295.0,295.0,295.0,295.0,0.19
58,1555638000,294.56,294.56,294.23,294.23,1.4958
59,1555674900,297.89,297.89,297.89,297.89,3.33790773
60,1555690800,298.94,298.94,298.94,298.94,5.50968966
61,1555691100,307.52,307.52,306.67,306.67,1.94670188
62,1555741800,305.23,305.23,305.23,305.23,0.47862329
63,1555758000,301.53,301.53,301.53,301.53,0.07957222
64,1555819800,299.12,299.12,299.12,299.12,0.04
65,1555853700,284.56,284.56,284.56,284.56,0.06226927
66,1555860300,282.24,282.24,282.24,282.24,2.71399999
67,1555861500,281.89,283.95,281.84,283.95,3.54993364
68,1555861800,283.01,283.01,283.01,283.01,12.09287544
69,1555873500,281.2,282.45,281.2,282.45,5.74718283
70,1555880700,283.33,283.52,283.33,283.46,34.1
71,1555881000,283.68,283.68,283.33,283.33,6.6000000000000005
72,1555886400,286.73,286.74,286.73,286.74,13.978
73,1555893900,290.09,290.55,290.09,290.55,1.03258236
74,1555896600,289.78,289.78,289.78,289.78,0.12769169
75,1555897800,289.93,290.6,289.93,290.6,18.46445225
76,1555901400,286.73,286.73,286.73,286.73,1.17909868
77,1555943400,289.94,289.94,289.94,289.94,0.59471928
78,1555955400,290.13,290.13,290.13,290.13,2.94289964
79,1555960500,289.38,289.38,289.38,289.38,1.13237474
80,1556019900,299.04,299.04,299.04,299.04,9.40628274
81,1556034000,296.66,296.66,296.66,296.66,0.49465668
82,1556069100,276.81,276.81,276.81,276.81,0.21562215
83,1556070300,283.44,283.45,283.37,283.37,4.43316864
84,1556084700,284.84,284.84,284.83,284.83,5.61051741
85,1556092500,273.55,273.55,273.55,273.55,14.95978914
86,1556158800,279.81,279.81,279.8,279.8,14.51612904
87,1556162400,274.75,274.75,274.75,274.75,0.07981
88,1556163000,276.15,276.15,275.87,275.87,31.11241924
89,1556177100,274.79,274.79,274.53,274.53,5.53228001
90,1556191800,280.63,280.63,280.63,280.63,0.523
91,1556229900,272.55,272.55,272.55,272.55,0.02
92,1556230200,270.67,270.67,266.83,266.83,23.35847518
93,1556230500,268.05,268.05,261.08,261.08,30.54791828
94,1556232000,270.92,270.92,270.92,270.92,0.36379687
95,1556232300,270.94,271.84,270.94,271.84,10.0
96,1556232600,269.55,269.7,269.55,269.7,3.10125231
97,1556233500,267.76,267.76,267.76,267.76,3.08099998
