,closing_time,open,high,low,close,base_volume
0,1552299000,3870.1,3890.0,3870.1,3890.0,0.05
1,1552302300,3875.3,3904.5,3875.3,3904.5,0.0099
2,1552303500,3876.9,3876.9,3876.9,3876.9,1.4479203799999998
3,1552303800,3876.9,3876.9,3876.9,3876.9,0.07641442
4,1552304100,3876.9,3907.7,3876.9,3907.7,0.005
5,1552305900,3870.0,3870.0,3870.0,3870.0,0.1
6,1552312200,3866.9,3866.9,3866.9,3866.9,0.3
7,1552312500,3865.5,3865.5,3865.5,3865.5,0.249
8,1552313100,3867.9,3868.0,3867.9,3868.0,1.52712423
9,1552313400,3857.3,3857.3,3857.3,3857.3,1.6188
10,1552313700,3858.7,3858.7,3858.7,3858.7,0.0776
11,1552314000,3860.1,3860.8,3860.1,3860.8,1.61427118
12,1552316100,3860.1,3860.1,3860.1,3860.1,0.25946096
13,1552316700,3860.1,3860.1,3860.1,3860.1,0.06343966
14,1552317000,3860.1,3860.1,3860.1,3860.1,0.08180762
15,1552320300,3850.0,3850.0,3850.0,3850.0,0.51790932
16,1552320600,3850.0,3850.0,3850.0,3850.0,0.07738244
17,1552320900,3853.5,3853.5,3853.5,3853.5,0.289381
18,1552336800,3869.7,3869.9,3869.7,3869.9,0.0133237
19,1552341300,3864.1,3864.1,3864.1,3864.1,0.27494194
20,1552343400,3864.1,3864.1,3864.1,3864.1,5.806e-05
21,1552348500,3866.1,3866.1,3866.1,3866.1,0.03881432
22,1552350600,3866.1,3866.1,3866.1,3866.1,0.21118568
23,1552352700,3845.1,3845.1,3839.3,3839.3,0.44490103
24,1552353000,3839.3,3839.3,3839.3,3839.3,0.05509897
25,1552353600,3841.3,3841.3,3841.3,3841.3,0.1
26,1552353900,3847.1,3847.1,3847.1,3847.1,0.1
27,1552355100,3845.1,3845.1,3845.1,3845.1,0.25
28,1552355700,3839.3,3839.3,3839.3,3839.3,0.25
29,1552356300,3833.5,3833.5,3833.5,3833.5,0.25
30,1552356600,3828.0,3828.0,3827.5,3827.5,0.76432981
31,1552356900,3829.7,3829.7,3829.7,3829.7,0.03975985
32,1552359000,3827.7,3827.7,3827.7,3827.7,0.02128898
33,1552359300,3827.7,3827.7,3821.9,3821.9,0.47871102
34,1552359600,3821.9,3821.9,3821.9,3821.9,0.09165692
35,1552360500,3823.9,3823.9,3823.9,3823.9,0.1
36,1552360800,3829.7,3829.7,3829.7,3829.7,0.1
37,1552363500,3827.7,3827.7,3827.7,3827.7,0.25
38,1552363800,3821.9,3821.9,3821.9,3821.9,0.25
39,1552364400,3823.9,3823.9,3823.9,3823.9,0.1
40,1552365900,3829.7,3829.7,3829.7,3829.7,0.1
41,1552367400,3835.5,3835.5,3835.5,3835.5,0.1
42,1552369200,3841.0,3842.8,3841.0,3842.8,1.1997655
43,1552370400,3841.0,3841.0,3839.3,3839.3,0.25154777
44,1552372500,3841.3,3844.5,3841.3,3844.5,2.4655801200000003
45,1552373100,3845.2,3845.6,3840.5,3840.5,1.47726454
46,1552373400,3846.6,3846.6,3846.6,3846.6,0.0914862
47,1552377600,3846.6,3846.6,3846.1,3846.1,0.16685195
48,1552377900,3847.8,3859.7,3847.8,3859.7,0.51
49,1552378200,3865.5,3876.9,3865.5,3869.3,1.10323887
50,1552378500,3871.3,3871.3,3871.3,3871.3,0.0250381
51,1552378800,3871.3,3875.6,3871.3,3875.6,0.10071009
52,1552379100,3877.2,3877.2,3877.2,3877.2,0.08390326000000001
53,1552380900,3880.3,3880.3,3880.3,3880.3,0.02408594
54,1552381800,3880.3,3880.3,3879.1,3879.1,0.17591406
55,1552382100,3877.9,3877.9,3877.9,3877.9,0.03868073
56,1552382400,3877.9,3877.9,3876.7,3876.7,0.09916511
57,1552383300,3879.1,3882.7,3879.1,3882.7,0.2
58,1552383600,3883.6,3883.6,3881.5,3881.5,0.56252384
59,1552383900,3881.5,3882.8,3880.3,3882.8,0.56491561
60,1552384200,3880.3,3880.3,3880.3,3880.3,0.03782156
61,1552384500,3881.3,3881.3,3881.3,3881.3,0.0552
62,1552385100,3882.7,3883.9,3882.7,3883.9,0.1
63,1552385400,3885.1,3887.5,3885.1,3887.5,0.16
64,1552386300,3897.0,3897.0,3897.0,3897.0,0.1281859
65,1552387500,3896.3,3896.3,3896.3,3896.3,0.5
66,1552387800,3895.1,3895.1,3893.9,3893.9,0.70690562
67,1552388100,3893.9,3893.9,3893.9,3893.9,0.03545465
68,1552388400,3893.9,3893.9,3891.0,3891.0,0.98894275
69,1552389300,3891.0,3891.0,3890.8,3890.8,0.16304547
70,1552390800,3893.3,3894.6,3893.3,3893.4,0.607157
71,1552391100,3893.4,3893.4,3889.8,3889.8,1.82988208
72,1552391400,3889.8,3889.8,3889.8,3889.8,0.08591618
73,1552392300,3887.5,3897.3,3887.5,3897.3,10.0
74,1552392600,3889.7,3889.7,3889.7,3889.7,0.10458586
75,1552392900,3889.0,3889.0,3889.0,3889.0,0.63743381
76,1552395300,3897.4,3897.7,3897.4,3897.7,1.97712047
77,1552395600,3897.7,3898.8,3897.7,3898.8,1.71396619
78,1552395900,3898.8,3898.8,3898.8,3898.8,0.22373758
79,1552396200,3900.5,3900.5,3900.5,3900.5,0.92167889
80,1552396500,3900.7,3900.7,3900.7,3900.7,0.07832111
81,1552398300,3885.1,3885.1,3885.1,3885.1,0.03780328
82,1552399800,3890.1,3890.1,3890.1,3890.1,0.0889181
83,1552400700,3892.5,3892.5,3892.5,3892.5,0.64
84,1552408200,3881.8,3881.8,3880.7,3880.7,3.73320448
85,1552408500,3879.5,3879.5,3878.6,3878.6,1.34534712
86,1552408800,3878.0,3878.5,3878.0,3878.1,1.30368667
87,1552409100,3878.5,3878.6,3878.5,3878.6,0.88113682
88,1552425600,3887.3,3888.6,3887.3,3888.6,1.18546776
89,1552425900,3889.0,3889.0,3888.6,3888.6,2.99753224
90,1552427700,3881.3,3881.3,3881.3,3881.3,0.001
91,1552438500,3885.9,3885.9,3885.9,3885.9,0.00848536
92,1552438800,3886.5,3886.5,3886.5,3886.5,0.93249755
93,1552439100,3886.5,3886.5,3886.5,3886.5,0.06750245
94,1552439400,3882.5,3882.5,3882.1,3882.1,2.1125025600000003
95,1552441200,3874.8,3874.8,3874.8,3874.8,0.08836238
96,1552443300,3874.8,3874.8,3874.8,3874.8,0.1264267
97,1552443600,3874.8,3874.8,3874.8,3874.8,0.0015
98,1552444500,3876.3,3876.3,3876.3,3876.3,0.1
99,1552446900,3877.2,3885.3,3877.2,3885.3,1.16
100,1552447800,3886.0,3886.0,3886.0,3886.0,0.1
101,1552450200,3889.1,3889.1,3889.1,3889.1,0.30127441
102,1552451700,3886.0,3886.0,3886.0,3886.0,3.09
103,1552452600,3882.1,3882.1,3882.1,3882.1,0.1
104,1552456800,3873.7,3873.7,3873.7,3873.7,0.001
105,1552465500,3877.9,3877.9,3877.9,3877.9,0.001
106,1552471200,3871.9,3871.9,3871.9,3871.9,0.1
107,1552471500,3861.8,3861.8,3861.8,3861.8,0.1
108,1552472700,3851.7,3851.7,3846.1,3846.1,0.102
109,1552480500,3856.2,3856.2,3856.2,3856.2,0.03891008
110,1552482000,3865.7,3865.7,3865.7,3865.7,0.03798294
111,1552490400,3865.0,3865.0,3865.0,3865.0,0.5
112,1552491900,3861.9,3861.9,3861.9,3861.9,0.04834612
113,1552519500,3863.1,3863.1,3863.1,3863.1,0.01374138
114,1552525200,3873.6,3876.3,3863.4,3875.7,7.08058018
115,1552525500,3876.9,3876.9,3876.9,3876.9,0.05
116,1552527600,3870.1,3870.1,3870.1,3870.1,0.15103854
117,1552527900,3870.1,3870.1,3870.1,3870.1,0.17958394
118,1552532100,3871.8,3871.8,3871.8,3871.8,0.007984
119,1552535100,3870.1,3870.1,3870.1,3870.1,0.17141419000000002
120,1552536600,3873.9,3874.3,3870.4,3874.1,0.71275237
121,1552542900,3870.1,3870.1,3870.1,3870.1,0.05796333
122,1552551000,3858.7,3858.7,3858.7,3858.7,0.01023312
123,1552556100,3864.6,3864.6,3864.6,3864.6,0.0342
124,1552560300,3867.0,3867.0,3867.0,3867.0,0.02505
125,1552560600,3867.0,3868.2,3867.0,3868.2,0.07495
126,1552561200,3869.4,3869.4,3869.4,3869.4,0.02579728
127,1552562400,3867.0,3867.0,3867.0,3867.0,0.12319515
128,1552562700,3867.0,3867.0,3865.8,3865.8,0.4666616
129,1552563000,3865.8,3865.8,3865.8,3865.8,0.41014325
130,1552563300,3864.6,3864.6,3864.6,3864.6,0.5
131,1552563600,3863.4,3863.4,3862.2,3862.2,0.53291396
132,1552563900,3862.2,3862.2,3862.2,3862.2,0.25211295
133,1552565100,3864.6,3865.8,3864.6,3865.8,0.063
134,1552565400,3865.8,3865.8,3865.8,3865.8,0.03500695
135,1552566300,3863.4,3863.4,3859.8,3859.8,1.52496713
136,1552570800,3876.3,3877.3,3876.3,3877.3,0.72214056
137,1552572900,3897.0,3897.0,3897.0,3897.0,0.02132552
138,1552573500,3869.1,3869.1,3800.9,3837.7,18.3170249
139,1552573800,3841.7,3845.6,3841.0,3841.0,1.11183281
140,1552575000,3870.8,3870.8,3870.8,3870.8,0.11458818
141,1552612500,3892.0,3892.0,3892.0,3892.0,0.0385676
142,1552628400,3886.6,3886.6,3886.6,3886.6,0.13097128
