,closing_time,open,high,low,close,base_volume
0,1555063500,5.3485,5.3485,5.3485,5.3485,5.0
1,1555076700,5.3461,5.3462,5.3322,5.3322,3954.92232509
2,1555077300,5.3456,5.3456,5.3456,5.3456,38.411
3,1555084800,5.3155,5.3155,5.3154,5.3154,209.80212875
4,1555085100,5.2965,5.2965,5.2965,5.2965,300.93363076
5,1555085400,5.3136,5.3136,5.3136,5.3136,105.76453177
6,1555086300,5.3376,5.3376,5.3376,5.3376,38.06733934
7,1555089900,5.325,5.325,5.325,5.325,27.27797324
8,1555150500,5.2744,5.2744,5.2743,5.2743,480.24364867
9,1555150800,5.2399,5.2399,5.2399,5.2399,410.18190007
10,1555152000,5.211,5.211,5.2,5.2,21.91517942
11,1555219200,5.2445,5.2445,5.2445,5.2445,213.64970997
12,1555228200,5.2695,5.2695,5.2695,5.2695,304.23931025
13,1555236600,5.2944,5.2944,5.2944,5.2944,212.00582642
14,1555237800,5.2932,5.2932,5.2932,5.2932,92.45838026
15,1555245300,5.2798,5.2798,5.2798,5.2798,309.07347691
16,1555256400,5.2806,5.2806,5.2806,5.2806,234.99747542
17,1555258800,5.3052,5.3052,5.3052,5.3052,604.83847901
18,1555262100,5.2883,5.2883,5.2883,5.2883,212.39062475
19,1555264800,5.2862,5.2862,5.2844,5.2844,14.21218556
20,1555279800,5.3372,5.3372,5.3372,5.3372,105.51317466
21,1555282200,5.4528,5.5261,5.4528,5.5261,534.0459776
22,1555282500,5.546,5.546,5.546,5.546,614.46280935
23,1555287300,5.5616,5.5616,5.5616,5.5616,644.80204619
24,1555287600,5.5339,5.5339,5.5339,5.5339,44.68954175
25,1555287900,5.5268,5.5268,5.5246,5.5246,89.44506802000002
26,1555293600,5.5726,5.5726,5.5726,5.5726,532.15056601
27,1555313100,5.5145,5.5145,5.5145,5.5145,32.17370608
28,1555323600,5.4649,5.4649,5.4649,5.4649,64.94330473
29,1555325100,5.4262,5.4262,5.4262,5.4262,517.12325246
30,1555338600,5.4398,5.4398,5.4398,5.4398,310.35914613
31,1555349700,5.3278,5.3278,5.2498,5.2498,1814.97491122
32,1555350000,5.2247,5.2247,5.2247,5.2247,5.7312
33,1555355700,5.2822,5.2822,5.2773,5.2773,505.5066055
34,1555377300,5.3773,5.3773,5.3773,5.3773,101.65675192
35,1555396200,5.3513,5.3513,5.3513,5.3513,2.20421206
36,1555405200,5.3878,5.3878,5.3871,5.3871,4.0
37,1555406400,5.3873,5.3873,5.3873,5.3873,86.9199
38,1555412700,5.3337,5.3337,5.3202,5.3202,343.9069218
39,1555413300,5.3394,5.3394,5.3236,5.3239,2720.96628796
40,1555423200,5.2877,5.2877,5.2877,5.2877,82.8293
41,1555435800,5.4289999999999985,5.4289999999999985,5.4289999999999985,5.4289999999999985,321.56331587
42,1555436100,5.4354,5.4354,5.4354,5.4354,82.9711642
43,1555437000,5.4658,5.4658,5.4658,5.4658,300.93724147
44,1555447800,5.4523,5.4523,5.4523,5.4523,4.62278577
45,1555448700,5.4461,5.4461,5.4461,5.4461,10.96832001
46,1555449000,5.4478,5.4478,5.4478,5.4478,5.79078327
47,1555465800,5.4675,5.4675,5.4675,5.4675,286.28889374
48,1555498200,5.4424,5.4424,5.4424,5.4424,206.64603366
49,1555525800,5.3627,5.3627,5.3627,5.3627,73.36207803
50,1555534200,5.4287,5.4287,5.4287,5.4287,95.2
51,1555540200,5.4291,5.4291,5.4291,5.4291,13.0
52,1555550700,5.4458,5.4458,5.4458,5.4458,106.9375
53,1555552200,5.477,5.477,5.477,5.477,3.0
54,1555552500,5.4953,5.4953,5.4953,5.4953,30.4873604
55,1555557600,5.4979,5.4979,5.4979,5.4979,71.0
56,1555588800,5.4302,5.4302,5.4302,5.4302,2.16744116
57,1555602900,5.4691,5.4691,5.4691,5.4691,703.87823017
58,1555620300,5.4943,5.4943,5.4943,5.4943,241.38410607
59,1555638600,5.4,5.4066,5.3967,5.4066,217.35228631
60,1555643700,5.3638,5.3638,5.3638,5.3638,58.74801125
61,1555669800,5.4321,5.4321,5.4321,5.4321,102.81408421
62,1555686900,5.4289999999999985,5.4289999999999985,5.4289999999999985,5.4289999999999985,28.90369328
63,1555691400,5.452000000000001,5.452000000000001,5.452000000000001,5.452000000000001,3.02965553
64,1555736100,5.471,5.4714,5.471,5.4714,511.54006449
65,1555803900,5.4322,5.4322,5.4322,5.4322,16.11253211
66,1555819800,5.4079,5.4079,5.4079,5.4079,2.0
67,1555827300,5.3604,5.3604,5.3538,5.3538,1263.32634803
68,1555834500,5.2874,5.2874,5.279,5.279,959.78224337
69,1555835100,5.2,5.2,5.0941,5.0941,943.97981366
70,1555835400,5.189,5.189,5.189,5.189,80.0
71,1555838400,5.178,5.178,5.1757,5.1757,375.0
72,1555842000,5.1608,5.1608,5.1608,5.1608,354.04391532
73,1555849500,5.0503,5.0503,5.0503,5.0503,329.60870921
74,1555849800,4.9529,4.9529,4.9529,4.9529,62.05830307
75,1555850100,4.9669,4.9896,4.9668,4.9896,281.98968739
76,1555854300,5.1110000000000015,5.1110000000000015,5.1110000000000015,5.1110000000000015,100.0
77,1555856400,5.1110000000000015,5.1110000000000015,5.1110000000000015,5.1110000000000015,381.88984019
78,1555856700,5.099,5.099,5.0982,5.0982,500.6977519
79,1555905000,5.1117,5.1117,5.0844,5.0844,3544.26508341
80,1555905300,5.0836,5.0946,5.0836,5.0946,86.806498
81,1555906500,5.0992,5.1022,5.0992,5.1022,96.73378836
82,1555907400,5.1097,5.1097,5.1097,5.1097,48.27746021
83,1555911900,5.1213,5.1213,5.1213,5.1213,100.0
84,1555915200,5.1281,5.1281,5.1281,5.1281,352.72879915
85,1555921200,5.1779,5.1779,5.1779,5.1779,50.09525903
86,1555945800,5.2257,5.2258,5.2257,5.2258,261.89897803
87,1555949700,5.1841,5.1841,5.1841,5.1841,47.66196197
88,1555955400,5.2308,5.2364,5.2308,5.2364,1017.18386865
89,1555955700,5.2308,5.2308,5.2308,5.2308,50.25428554
90,1555963500,5.2503,5.2503,5.2503,5.2503,712.80661541
91,1555986000,5.2132,5.2132,5.2132,5.2132,22.93270008
92,1555994100,5.3008,5.3285,5.3008,5.3285,1185.20546028
93,1556007900,5.3579,5.3579,5.3579,5.3579,22.3
94,1556031000,5.2835,5.2835,5.2834,5.2834,412.56781194
95,1556056200,5.2199,5.2199,5.2199,5.2199,10.46140214
96,1556057400,5.2075,5.2075,5.202000000000001,5.202000000000001,141.67820433
97,1556057700,5.1859,5.1859,5.1859,5.1859,47.71493191
98,1556058000,5.1303,5.1303,5.1303,5.1303,60.73894401
99,1556059800,5.1813,5.1814,5.1813,5.1814,459.62781455
100,1556068800,5.0385,5.0385,5.0385,5.0385,410.58272586
101,1556069100,5.033,5.033,5.033,5.033,375.22166823
102,1556076600,5.1134,5.1135,5.1134,5.1135,549.86834045
103,1556087400,5.1068,5.1068,5.1068,5.1068,674.68465825
104,1556090700,5.0541,5.0541,5.0541,5.0541,707.55037812
105,1556091600,5.016,5.016,4.9,4.9,1024.705071
106,1556091900,4.9,4.9,4.7876,4.7876,220.80570916
107,1556097900,4.8137,4.8137,4.8137,4.8137,29.97
108,1556100900,4.7998,4.8195,4.7947,4.8195,606.2317778299997
109,1556103300,4.7979,4.7979,4.7941,4.7941,322.39951553
110,1556106000,4.8104,4.8104,4.8104,4.8104,90.95992231
111,1556106300,4.8173,4.8173,4.8173,4.8173,61.52218179000001
112,1556107200,4.8173,4.8173,4.8173,4.8173,32.11877331
113,1556109000,4.8249,4.8249,4.8249,4.8249,112.32372849
114,1556109300,4.8249,4.8249,4.8222,4.8222,578.35686099
115,1556110200,4.8158,4.8158,4.8158,4.8158,989.53290857
116,1556110500,4.8158,4.8158,4.8158,4.8158,1010.46709143
117,1556110800,4.7904,4.7904,4.7904,4.7904,11.45
118,1556113500,4.7822,4.7822,4.7822,4.7822,24.9
119,1556114100,4.7476,4.7476,4.7476,4.7476,116.95286544
120,1556114700,4.7237,4.7237,4.7237,4.7237,350.87744186
121,1556123100,4.7029,4.7029,4.7029,4.7029,257.55584953
122,1556129400,4.6053,4.6053,4.6052,4.6052,360.30320127000016
123,1556131800,4.5977,4.5977,4.5977,4.5977,419.61935089
124,1556159400,4.793,4.793,4.793,4.793,1890.24269725
125,1556160900,4.7457,4.7457,4.7457,4.7457,6.99994023
126,1556163900,4.7298,4.7298,4.7298,4.7298,31.213873
127,1556190600,4.7394,4.7395,4.7394,4.7395,355.99564584
128,1556194200,4.7736,4.7736,4.7736,4.7736,361.47061092
129,1556229900,4.7402,4.7402,4.6122,4.6123,6331.51490999
130,1556230200,4.5937,4.604,4.5864,4.5974,267.82906868
131,1556230500,4.5974,4.6123,4.5974,4.6123,2757.24982665
132,1556231400,4.6163,4.6163,4.5939,4.5939,1390.2294241999994
133,1556232600,4.6216,4.6216,4.6216,4.6216,31.35967395
134,1556239800,4.5835,4.5835,4.5835,4.5835,13.37696417
135,1556240100,4.61,4.61,4.61,4.61,49.72776295
136,1556241000,4.6488,4.6488,4.6488,4.6488,2.0
137,1556242200,4.6357,4.6357,4.6329,4.6329,488.14963658
138,1556242800,4.6466,4.6551,4.6466,4.6551,150.64482626
139,1556243100,4.6568,4.6575,4.6568,4.6568,273.73898249
140,1556243400,4.652,4.6633,4.652,4.6629,236.11780585
141,1556243700,4.6673,4.6673,4.6673,4.6673,11.97342616
142,1556244000,4.6685,4.6685,4.6685,4.6685,53.60722938
143,1556245800,4.7199,4.7222,4.7199,4.7222,78.67020299999999
144,1556246100,4.7685,4.7685,4.7684,4.7684,714.14097281
145,1556246400,4.8453,4.9552,4.8453,4.9552,2905.67782893
146,1556246700,4.9551,4.9551,4.9029,4.9029,1420.09371964
147,1556247300,4.8132,4.8132,4.8132,4.8132,381.88129092
148,1556247600,4.7986,4.7986,4.7461,4.7461,436.12561639
149,1556248200,4.7612,4.7628,4.7612,4.7628,68.36333453
150,1556248500,4.7645,4.7645,4.7645,4.7645,11.29197104
151,1556248800,4.7475,4.7475,4.7475,4.7475,13.0386166
152,1556253300,4.7383,4.7392,4.7383,4.7392,2000.0
153,1556253900,4.7329,4.7329,4.7329,4.7329,170.0
154,1556260200,4.6493,4.652,4.6493,4.652,2000.0
155,1556260500,4.6461,4.6461,4.6461,4.6461,4.7064146
156,1556277600,4.7194,4.7194,4.7194,4.7194,510.0
157,1556289000,4.7108,4.7108,4.7107,4.7107,36.789695
158,1556295300,4.7492,4.752,4.7492,4.752,188.0751361
159,1556304000,4.739,4.739,4.739,4.739,110.10695997
160,1556305800,4.7231,4.7231,4.7231,4.7231,5.59244927
161,1556323200,4.7819,4.7819,4.7819,4.7819,188.39810554
162,1556359800,4.7384,4.7384,4.7382,4.7382,1000.0
163,1556360100,4.7382,4.7389,4.7381,4.7389,1100.0
164,1556362200,4.712,4.712,4.712,4.712,24.8751
165,1556440500,4.7609,4.7609,4.7609,4.7609,10.75
166,1556449200,4.7782,4.7782,4.7782,4.7782,50.70105885
