,closing_time,open,high,low,close,base_volume
0,1552298700,133.5,133.5,133.5,133.5,0.1
1,1552299000,133.01,133.01,133.01,133.01,5.0
2,1552300500,134.51,134.51,134.51,134.51,14.83980013
3,1552302000,133.95,133.95,133.95,133.95,0.058
4,1552302300,133.0,133.0,133.0,133.0,0.1
5,1552302900,133.84,133.84,133.84,133.84,18.2018722
6,1552304100,132.94,132.94,132.94,132.94,38.75096352
7,1552307400,132.58,132.58,132.58,132.58,0.01
8,1552314000,131.93,131.93,131.77,131.77,30.0
9,1552314300,131.81,131.81,131.78,131.78,25.0
10,1552315200,131.83,131.83,131.81,131.81,25.0
11,1552318500,131.69,131.69,131.69,131.69,0.09926186
12,1552326600,132.32,132.32,132.26,132.26,0.21
13,1552330200,132.65,132.65,132.65,132.65,51.34
14,1552333800,132.15,132.15,132.15,132.15,0.00905922
15,1552334100,131.69,131.69,131.69,131.69,0.4058363
16,1552334400,131.45,131.45,131.36,131.44,198.04246783
17,1552336500,132.22,132.22,132.19,132.19,49.89
18,1552336800,132.24,132.24,132.24,132.24,0.39066928
19,1552340100,132.64,132.64,132.64,132.64,0.30795887
20,1552345800,133.05,133.07,133.05,133.07,0.002
21,1552356300,131.09,131.09,130.28,130.28,97.55382017
22,1552356600,130.88,130.88,130.86,130.87,21.15053599
23,1552362300,130.21,130.21,130.21,130.21,0.01916876
24,1552362600,130.3,130.3,130.3,130.3,1.13376839
25,1552363800,129.22,129.22,128.27,128.27,3.08645255
26,1552364100,128.88,128.88,128.32,128.32,45.0
27,1552365000,129.76,129.81,129.76,129.81,42.56678942
28,1552377900,130.7,131.83,130.7,131.83,123.85335985
29,1552378200,132.74,132.94,132.74,132.94,84.16706572
30,1552378500,132.97,133.0,132.97,133.0,25.02
31,1552379100,134.05,136.17,134.05,136.17,109.14536358
32,1552379700,134.36,134.39,134.26,134.26,216.19400783
33,1552390200,133.7,133.7,133.69,133.69,52.15112
34,1552392300,134.08,134.09,134.08,134.09,110.0
35,1552399800,133.81,133.81,133.81,133.81,1.0003008
36,1552400400,133.81,133.81,133.72,133.72,1.5801775299999998
37,1552404000,133.61,133.61,133.61,133.61,16.3068511
38,1552405500,133.55,133.55,133.55,133.55,11.24227095
39,1552405800,133.55,133.55,133.55,133.55,21.51649517
40,1552413900,133.06,133.06,133.06,133.06,14.96401785
41,1552414200,133.06,133.06,133.06,133.06,3.75033612
42,1552443600,132.44,132.44,132.44,132.44,0.0437
43,1552448400,133.01,133.14,133.01,133.12,58.27604109
44,1552449600,133.1,133.1,133.1,133.1,2.90649691
45,1552450200,133.0,133.0,133.0,133.0,5.0
46,1552451100,132.94,132.94,132.94,132.94,11.384
