,closing_time,open,high,low,close,base_volume
0,1568739600,100.0,100.0,98.0,98.0,903.204
1,1568739900,97.99,99.0,97.0,97.0,592.975
2,1568740200,97.0,97.0,96.757,96.8,54.305
3,1568740500,96.801,96.801,96.8,96.8,45.173
4,1568740800,96.501,96.501,96.002,96.003,86.38799999999998
5,1568741100,96.003,98.213,96.003,98.077,92.452
6,1568741400,96.5,97.626,96.002,96.005,194.998
7,1568742000,96.005,105.0,96.005,96.15,1379.9
8,1568742300,96.15,98.689,96.15,96.714,214.652
9,1568742600,96.712,96.713,96.49,96.49,59.304
10,1568742900,96.499,96.499,96.38,96.4,178.65
11,1568743200,96.184,96.488,96.184,96.488,1.61
12,1568743800,96.489,96.489,96.3,96.307,51.105
13,1568744100,96.257,96.351,96.2,96.2,12.666
14,1568745000,96.2,96.2,96.15,96.15,33.706
15,1568745300,96.15,96.15,96.0,96.0,39.07
16,1568745600,96.0,96.0,95.896,95.896,54.70399999999999
17,1568745900,95.807,95.807,94.239,94.239,645.7280000000002
18,1568746200,94.236,95.024,94.0,95.024,17.654
19,1568746500,95.044,95.127,95.044,95.127,0.15
20,1568746800,95.195,95.327,95.195,95.327,5.0
21,1568747100,95.249,95.35,95.249,95.35,14.084
22,1568748000,95.453,95.494,95.453,95.494,20.425
23,1568748300,95.494,95.494,95.4,95.401,59.327
24,1568748600,95.495,95.495,95.495,95.495,2.35
25,1568748900,95.554,95.554,95.454,95.529,5.85
26,1568749200,95.524,95.555,95.522,95.555,25.834
27,1568749500,95.555,95.567,95.555,95.567,18.898
28,1568749800,95.705,95.778,95.705,95.778,4.972
29,1568750100,95.9,96.05,95.9,96.05,45.137
30,1568750400,96.05,96.413,96.05,96.413,97.914
31,1568750700,96.41,96.91,96.41,96.58,49.37300000000001
32,1568751000,96.595,96.595,96.52,96.52,32.812
33,1568751300,96.52,96.55,96.52,96.54,12.719
34,1568751600,96.54,96.542,96.423,96.44,43.543
35,1568751900,96.44,96.459,96.426,96.426,19.007
36,1568752200,96.423,96.423,96.421,96.423,12.175
37,1568752500,96.423,96.424,96.423,96.423,9.739
38,1568752800,96.482,96.482,96.482,96.482,5.0
39,1568753400,96.482,96.482,96.426,96.426,13.378
40,1568754000,96.426,96.489,96.424,96.424,7.685
41,1568755200,96.59,96.642,96.59,96.642,5.6110000000000015
42,1568755500,96.645,96.645,96.645,96.645,1.0
43,1568755800,96.64,96.64,96.483,96.566,7.095
44,1568756400,96.566,96.57,96.382,96.382,153.703
45,1568756700,96.371,96.371,95.449,95.449,19.155
