,closing_time,open,high,low,close,base_volume
0,1554831000,0.001071,0.001073,0.001071,0.001073,1441.5
1,1554831300,0.001072,0.001072,0.001072,0.001072,115.7
2,1554832500,0.001076,0.001079,0.001076,0.001079,2619.9
3,1554833100,0.001078,0.001078,0.001078,0.001078,142.6
4,1554833400,0.001077,0.001077,0.001074,0.001074,83.0
5,1554834300,0.001077,0.001077,0.001077,0.001077,67.8
6,1554835200,0.001076,0.001082,0.001076,0.001082,158.4
7,1554836100,0.001081,0.001081,0.001081,0.001081,111.9
8,1554836700,0.001075,0.001075,0.001075,0.001075,0.2
9,1554837000,0.001075,0.001075,0.001075,0.001075,35.3
10,1554837300,0.001077,0.001077,0.001077,0.001077,231.5
11,1554839400,0.001077,0.001077,0.001077,0.001077,76.0
12,1554840000,0.001078,0.001078,0.001078,0.001078,17.6
13,1554841800,0.001079,0.001079,0.001079,0.001079,2.0
14,1554842100,0.001079,0.001079,0.001079,0.001079,15.0
15,1554843000,0.001079,0.001079,0.001079,0.001079,100.0
16,1554843300,0.001077,0.001077,0.001077,0.001077,92.7
17,1554843600,0.001077,0.001077,0.001077,0.001077,2.0
18,1554844800,0.001076,0.001076,0.001076,0.001076,14.3
19,1554845100,0.001076,0.001077,0.001076,0.001077,16.8
20,1554845400,0.001076,0.001076,0.001076,0.001076,836.6
21,1554845700,0.001076,0.001076,0.001076,0.001076,290.5
22,1554846000,0.001076,0.001076,0.001076,0.001076,507.6
23,1554846300,0.001075,0.001075,0.001075,0.001075,14.5
24,1554846900,0.001073,0.001073,0.001073,0.001073,19.7
25,1554847800,0.001073,0.001073,0.001073,0.001073,47.0
26,1554848400,0.001073,0.001073,0.001073,0.001073,100.0
27,1554849300,0.001074,0.001074,0.001074,0.001074,5.1
28,1554849600,0.001074,0.001074,0.001071,0.001071,55.1
29,1554850800,0.001074,0.001074,0.001074,0.001074,9.5
30,1554851100,0.001073,0.001073,0.001071,0.001071,539.2
31,1554851700,0.001072,0.001072,0.001072,0.001072,102.6
32,1554852900,0.001072,0.001072,0.001072,0.001072,40.9
33,1554853200,0.001071,0.001073,0.00107,0.001073,172.4
34,1554855600,0.001074,0.001074,0.001074,0.001074,10.0
35,1554855900,0.001073,0.001073,0.001073,0.001073,15.4
36,1554856800,0.001073,0.001076,0.001073,0.001076,928.0
37,1554858300,0.001078,0.001078,0.001078,0.001078,260.2
38,1554858600,0.001078,0.001078,0.001078,0.001078,1.0
39,1554859200,0.00108,0.00108,0.00108,0.00108,6.0
40,1554859500,0.001085,0.001088,0.001085,0.001088,96.2
41,1554859800,0.001092,0.001115,0.001092,0.001115,647.6
42,1554860100,0.00112,0.00112,0.001114,0.001114,1059.3
43,1554860400,0.001113,0.001117,0.001113,0.001117,118.3
44,1554861000,0.001123,0.001123,0.001121,0.001121,20.0
45,1554861300,0.001119,0.001119,0.001119,0.001119,30.2
46,1554861600,0.001118,0.001118,0.001118,0.001118,67.9
47,1554861900,0.001117,0.001118,0.001117,0.001118,117.2
48,1554862200,0.00112,0.001121,0.001119,0.001121,347.9
49,1554862500,0.001121,0.0011220000000000002,0.001121,0.0011220000000000002,266.8
50,1554862800,0.0011220000000000002,0.001127,0.00112,0.001127,55.9
51,1554863100,0.001127,0.001133,0.001123,0.001123,909.7
52,1554863400,0.001125,0.001125,0.001125,0.001125,33.0
53,1554863700,0.001124,0.001139,0.001124,0.001139,481.3
54,1554864000,0.001128,0.001128,0.001111,0.001111,2529.5
55,1554864300,0.001112,0.001125,0.001111,0.001125,3080.3
56,1554864600,0.001114,0.001114,0.001113,0.001113,2367.6
57,1554864900,0.001113,0.001114,0.001112,0.001112,4348.2
58,1554866700,0.001115,0.001115,0.001115,0.001115,447.3
59,1554867300,0.001114,0.001114,0.001109,0.001109,1543.9
60,1554867600,0.001106,0.001107,0.001106,0.001106,974.6
61,1554868800,0.001104,0.001104,0.001104,0.001104,45.0
62,1554869400,0.001111,0.001111,0.001111,0.001111,1363.4
63,1554869700,0.001111,0.001113,0.001111,0.001113,65.8
64,1554870000,0.001111,0.001111,0.001111,0.001111,9.1
65,1554870600,0.001115,0.001115,0.001115,0.001115,572.7
66,1554870900,0.001115,0.001115,0.001114,0.001114,2014.5
67,1554871200,0.001112,0.001112,0.001112,0.001112,426.9
68,1554874200,0.001116,0.001116,0.001116,0.001116,147.7
69,1554874500,0.001117,0.001118,0.001117,0.001118,267.7
70,1554874800,0.001114,0.001114,0.001114,0.001114,764.4
71,1554876000,0.001117,0.001119,0.001117,0.001119,136.3
72,1554876600,0.001121,0.001121,0.001121,0.001121,233.6
73,1554877500,0.001117,0.001117,0.001117,0.001117,40.0
74,1554878400,0.001116,0.001116,0.001116,0.001116,34.8
75,1554879000,0.001119,0.001128,0.001119,0.001128,708.7
76,1554879900,0.001115,0.001115,0.001115,0.001115,1.0
77,1554883200,0.00111,0.00111,0.00111,0.00111,101.0
78,1554884400,0.001113,0.001113,0.001113,0.001113,1.0
79,1554885600,0.001112,0.001112,0.001112,0.001112,18.0
80,1554886200,0.001112,0.001114,0.001112,0.001112,233.5
81,1554886800,0.001113,0.001113,0.001113,0.001113,237.6
82,1554887700,0.001115,0.001115,0.001115,0.001115,8.9
83,1554888000,0.001112,0.001116,0.001112,0.001116,1159.2
84,1554888300,0.001112,0.001112,0.001112,0.001112,8.9
85,1554888600,0.001115,0.001115,0.001112,0.001112,512.3
86,1554891000,0.001111,0.001111,0.001111,0.001111,0.5
87,1554891600,0.001111,0.001111,0.001111,0.001111,139.4
88,1554892200,0.00111,0.00111,0.00111,0.00111,56.2
89,1554892500,0.001109,0.001109,0.001109,0.001109,25.0
90,1554893700,0.001113,0.001114,0.001113,0.001114,147.2
91,1554894000,0.001117,0.001121,0.001117,0.001121,499.1
92,1554894900,0.001123,0.001123,0.001123,0.001123,1.5
93,1554895500,0.001118,0.001119,0.001118,0.001119,74.9
94,1554896400,0.001118,0.001118,0.001118,0.001118,100.0
95,1554897000,0.001117,0.001117,0.001117,0.001117,300.0
