,closing_time,open,high,low,close,base_volume
0,1570034400,224.44,224.44,223.5,224.36,0.043128
1,1570034700,224.28,224.28,224.28,224.28,0.25
2,1570035000,224.14,224.14,224.14,224.14,0.107657
3,1570035300,224.16,224.16,223.75,223.85,2.229126
4,1570035600,223.67,223.67,223.08,223.08,0.003714
5,1570035900,222.34,222.83,222.34,222.83,1.886459
6,1570036200,222.76,223.25,222.76,223.25,1.03243
7,1570036500,223.25,223.25,223.07,223.1,1.105228
8,1570036800,223.27,223.57,223.21,223.21,0.012064
9,1570037100,223.01,223.01,222.88,222.88,0.029358
10,1570037400,222.29,222.29,221.59,221.59,4.004932
11,1570037700,222.16,222.16,222.16,222.16,0.001933
12,1570038000,222.75,222.75,222.52,222.52,0.003785
13,1570038300,222.52,222.52,221.52,221.52,0.502612
14,1570038600,222.78,222.78,222.59,222.59,0.002999
15,1570038900,222.45,222.48,222.45,222.48,0.003
16,1570039200,221.79,222.48,221.79,222.48,1.183668
17,1570039500,222.86,223.63,222.86,223.63,0.004655
18,1570039800,223.52,223.52,223.52,223.52,0.001714
19,1570040100,223.4,223.4,223.4,223.4,0.003785
20,1570040400,223.28,223.28,223.07,223.07,0.003716
21,1570040700,223.76,223.83,223.76,223.83,0.433121
22,1570041000,223.69,223.69,223.47,223.47,0.0035
23,1570041300,223.45,223.45,223.45,223.45,0.010476
24,1570041600,223.16,223.16,223.08,223.08,0.003214
25,1570041900,223.0,223.0,222.84,222.84,0.002857
26,1570042200,222.83,222.83,222.83,222.83,0.001642
27,1570042500,222.83,222.83,222.83,222.83,0.014645
28,1570042800,222.65,222.84,222.65,222.84,16.363556
29,1570043100,223.35,223.35,223.32,223.32,0.003499
30,1570043400,223.07,223.07,223.07,223.07,0.216933
31,1570043700,223.07,223.07,223.07,223.07,0.001571
32,1570044000,223.07,223.38,222.75,222.75,0.017952
33,1570044300,223.34,223.34,223.34,223.34,0.001571
34,1570044600,223.34,223.34,223.34,223.34,0.003285
35,1570044900,223.34,223.34,223.3,223.3,0.881177
36,1570045200,223.26,223.26,223.22,223.22,0.019986
37,1570045500,223.16,223.16,223.16,223.16,0.003428
38,1570045800,223.1,223.1,223.1,223.1,0.002071
39,1570046100,223.21,223.21,223.21,223.21,0.003214
40,1570046400,223.21,223.22,223.21,223.21,0.012557
41,1570046700,223.21,223.75,223.21,223.75,22.401727
42,1570047000,223.17,223.17,223.17,223.17,0.001571
43,1570047300,223.17,223.17,223.17,223.17,0.001357
44,1570047600,223.12,223.12,223.06,223.06,0.012576
45,1570047900,223.06,223.42,223.06,223.42,2.021615
46,1570048200,222.78,222.78,222.78,222.78,4.0
47,1570048500,223.19,223.19,222.75,222.75,0.003214
48,1570048800,222.01,222.52,221.64,221.64,37.485106
49,1570049100,222.23,222.23,222.23,222.23,0.661703
50,1570049400,222.11,222.11,222.11,222.11,0.55144509
51,1570049700,222.05,222.05,220.03,220.03,76.001642
52,1570050000,222.04,222.04,222.04,222.04,0.001714
53,1570050300,222.03,222.04,222.03,222.04,18.999833
54,1570050600,223.35,223.35,223.35,223.35,0.003094
55,1570050900,223.35,223.35,223.35,223.35,0.250516
56,1570051200,223.98,224.2,223.98,224.2,0.06151
57,1570051500,224.47,224.47,224.47,224.47,0.060961
58,1570051800,224.47,224.47,224.47,224.47,0.001857
59,1570052100,224.43,224.43,224.43,224.43,0.009
60,1570052400,224.39,224.39,224.39,224.39,0.001357
61,1570052700,224.27,224.27,224.27,224.27,1.003142
62,1570053000,224.27,224.27,223.32,224.17,54.348823
63,1570053300,224.28,224.28,224.28,224.28,0.001357
64,1570053600,224.27,224.3,224.27,224.3,0.0035
65,1570053900,224.3,224.3,223.24,223.24,0.003137
66,1570054200,223.15,223.15,223.15,223.15,0.001928
67,1570054500,224.0,224.1,223.65,224.1,19.378215
68,1570054800,223.98,223.98,222.61,222.61,1.158413
69,1570055100,222.54,223.18,222.54,223.18,0.590258
70,1570055400,223.12,223.13,222.78,222.78,4.436464
71,1570055700,223.81,223.81,223.81,223.81,0.001572
72,1570056000,223.79,224.25,223.79,224.25,0.003356
73,1570056300,224.12,224.12,224.12,224.12,0.001428
74,1570056600,224.12,224.12,224.12,224.12,2.197061
75,1570056900,224.12,224.12,224.12,224.12,0.001428
76,1570057200,224.09,224.09,224.07,224.07,0.003427
77,1570057500,224.3,225.1,223.76,223.76,28.906209
78,1570057800,225.1,225.1,225.1,225.1,0.002071
79,1570058100,225.02,225.1,224.98,225.1,4.05189
80,1570058400,225.65,225.65,225.65,225.65,2.001642
81,1570058700,225.63,225.63,225.59,225.59,0.983586
82,1570059000,225.45,225.45,224.59,225.16,4.233745
83,1570059300,225.16,225.16,225.16,225.16,0.04292
84,1570059900,225.15,225.15,225.15,225.15,0.010187
85,1570060200,225.15,225.65,225.15,225.65,36.730441
86,1570060500,225.65,225.65,225.65,225.65,0.001785
87,1570060800,225.98,225.98,225.75,225.76,0.980476
88,1570061100,226.0,226.0,225.99,225.99,0.003714
89,1570061400,225.42,225.42,225.42,225.42,4.007995
90,1570061700,225.17,225.17,225.17,225.17,0.001915
91,1570062000,225.09,225.09,225.09,225.09,0.0021
92,1570062300,225.09,225.46,225.09,225.46,0.0036
93,1570062600,223.99,224.63,223.78,224.63,0.418082
94,1570062900,224.63,224.87,224.63,224.87,0.010715
95,1570063200,224.14,224.77,224.14,224.77,2.184211
96,1570063500,224.3,224.3,224.3,224.3,2.183638
97,1570063800,224.66,224.66,224.66,224.66,0.0017
98,1570064100,224.96,224.96,224.9,224.9,0.020621
99,1570064400,224.9,224.9,224.9,224.9,0.010948
100,1570064700,224.78,224.78,224.77,224.77,0.003285
101,1570065000,224.76,224.76,224.76,224.76,0.001571
102,1570065300,224.76,224.76,224.76,224.76,0.043314
103,1570065600,224.64,224.64,224.46,224.46,0.012864
104,1570066200,223.71,224.09,223.71,224.09,0.003641
105,1570066500,224.09,224.09,224.09,224.09,0.04038
106,1570066800,224.09,224.09,224.03,224.06,23.321742
107,1570067100,224.61,224.61,224.47,224.47,0.0035
108,1570067400,224.46,224.46,224.46,224.46,0.0018
109,1570067700,224.47,224.47,224.39,224.39,0.004028
110,1570068000,224.39,224.85,224.39,224.85,14.765208
111,1570068300,224.56,224.57,224.56,224.57,0.04761623
112,1570068600,224.57,224.57,224.06,224.55,0.320717
113,1570068900,224.54,224.54,224.54,224.54,0.001428
114,1570069200,224.53,224.53,224.53,224.53,0.0015
115,1570069500,224.51,224.51,224.51,224.51,0.050732
116,1570069800,224.51,224.51,224.49,224.49,1.007567
117,1570070100,224.49,224.49,224.49,224.49,0.002071
118,1570070400,224.47,224.47,224.47,224.47,0.003142
119,1570070700,224.47,224.47,224.47,224.47,0.0037
120,1570071000,224.47,224.97,224.47,224.97,39.214002
121,1570071300,224.77,224.77,224.77,224.77,0.233518
122,1570071600,224.77,224.77,224.77,224.77,0.010924
123,1570071900,225.26,225.38,225.26,225.38,0.0035
124,1570072200,225.31,225.31,224.86,224.86,0.003713
125,1570072500,224.86,224.86,224.82,224.82,0.050386
126,1570072800,224.71,224.71,224.71,224.71,0.001642
127,1570073100,224.71,224.71,224.71,224.71,0.002091
128,1570073400,224.69,224.69,224.61,224.61,0.910574
129,1570073700,224.61,224.61,224.61,224.61,0.003885
130,1570074000,224.86,224.86,224.82,224.82,0.010751
131,1570074300,224.64,224.64,224.64,224.64,0.019543
132,1570074600,224.64,224.64,224.64,224.64,0.002
133,1570074900,224.64,224.64,224.22,224.22,0.021757
134,1570075200,224.64,224.64,224.6,224.6,0.056451
135,1570075500,224.6,224.6,224.6,224.6,0.0017
136,1570075800,224.6,224.6,224.6,224.6,1.09179
137,1570076100,224.6,224.6,224.6,224.6,0.001714
138,1570076400,224.6,224.6,224.6,224.6,0.064867
139,1570076700,224.6,225.34,224.6,225.34,0.003428
140,1570077000,225.34,225.34,225.34,225.34,0.984644
141,1570077300,225.34,225.34,225.34,225.34,0.003042
142,1570077600,225.34,225.34,225.34,225.34,0.010831
143,1570077900,225.08,225.08,224.86,224.86,0.00307
144,1570078200,224.26,224.95,223.85,224.95,4.196505
145,1570078500,224.96,224.96,224.96,224.96,0.0019
146,1570078800,224.78,224.78,224.78,224.78,0.002
147,1570079100,224.63,224.63,224.63,224.63,0.001928
148,1570079400,224.55,224.55,224.51,224.51,1.092592
149,1570079700,224.51,224.51,224.45,224.45,0.012362
150,1570080000,224.45,224.45,224.45,224.45,0.002
151,1570080300,224.11,224.11,223.64,223.64,0.00349
152,1570080600,224.04,224.04,224.04,224.04,0.00888
153,1570080900,223.89,223.89,223.89,223.89,0.003574
154,1570081200,223.81,223.81,223.81,223.81,0.010291
155,1570081500,223.81,223.81,223.28,223.28,2.995155
156,1570081800,222.75,223.37,222.75,223.37,1.245271
157,1570082100,223.36,223.36,223.36,223.36,0.001857
158,1570082400,223.37,223.37,223.29,223.3,1.101188
159,1570083000,223.18,223.18,223.14,223.14,0.003571
160,1570083300,223.14,223.44,223.14,223.44,0.021023
161,1570083600,223.2,223.2,223.2,223.2,0.0015
162,1570083900,223.2,223.2,223.2,223.2,0.0037
163,1570084200,222.72,223.45,222.72,223.45,0.017153
164,1570084500,223.45,223.45,223.45,223.45,0.003785
165,1570084800,223.44,223.44,223.44,223.44,0.003457
166,1570085100,223.4,223.4,223.4,223.4,0.0018
167,1570085400,223.4,223.4,223.4,223.4,0.0014
168,1570085700,223.4,223.4,223.4,223.4,0.0017
169,1570086000,223.16,223.16,223.16,223.16,0.001
170,1570086600,222.52,222.52,222.52,222.52,0.442719
171,1570088100,222.92,222.92,222.92,222.92,0.008926
172,1570091700,223.31,223.31,223.31,223.31,0.008911
173,1570092600,223.16,223.16,223.16,223.16,1.543347
174,1570092900,223.45,223.45,223.45,223.45,12.9947
175,1570093200,223.9,223.9,223.9,223.9,0.665475
176,1570094400,223.78,223.78,223.78,223.78,0.06006
177,1570095000,223.32,223.78,223.32,223.78,0.103822
178,1570095600,222.97,222.97,222.95,222.95,0.860275
179,1570097400,223.65,223.65,223.65,223.65,0.008896
180,1570099200,222.94,222.94,222.94,222.94,0.049004
181,1570099500,222.94,222.94,222.94,222.94,0.008926
182,1570099800,222.74,222.74,222.74,222.74,0.214464
183,1570101600,222.95,222.95,222.95,222.95,0.008925
184,1570101900,222.95,222.95,222.95,222.95,4.395609
185,1570102200,222.8,222.8,222.8,222.8,0.693729
186,1570102500,222.4,222.4,222.39,222.39,1.94653
187,1570103400,222.64,222.64,222.64,222.64,0.008938
188,1570103700,222.65,222.65,222.65,222.65,0.008937
189,1570104600,222.63,222.63,222.63,222.63,1.973486
190,1570105200,222.63,222.63,222.63,222.63,2.026514
191,1570105800,222.35,223.05,222.35,223.05,9.309992
192,1570106100,223.05,223.05,223.05,223.05,10.685659
193,1570107000,223.78,223.93,223.78,223.93,17.45278
