,closing_time,open,high,low,close,base_volume
0,1571703900,8207.25,8207.75,8196.61,8196.61,1.26799397
1,1571704200,8196.62,8196.62,8196.61,8196.62,0.79924568
2,1571704500,8196.61,8196.61,8187.82,8190.22,1.7544406
3,1571704800,8192.56,8200.64,8189.12,8196.29,0.55678883
4,1571705100,8196.37,8198.4,8192.16,8193.29,0.25079442
5,1571705400,8197.95,8202.88,8195.64,8200.29,0.12425007
6,1571705700,8198.0,8198.89,8189.91,8190.38,0.57873035
7,1571706000,8192.46,8203.4,8184.05,8195.31,0.43105348
8,1571706300,8193.87,8194.02,8193.85,8194.02,0.01957
9,1571706600,8198.45,8204.61,8196.59,8204.61,0.9207802706
10,1571706900,8204.61,8215.11,8203.0,8212.34,0.28292054
11,1571707200,8210.05,8216.08,8208.57,8208.58,8.87777988
12,1571707500,8210.85,8211.57,8209.64,8210.85,0.1026962029
13,1571707800,8210.0,8210.0,8197.63,8200.75,0.38720695
14,1571708100,8207.37,8207.37,8187.89,8188.4,0.45213958
15,1571708400,8187.25,8192.79,8187.25,8189.51,0.17006758
16,1571708700,8189.5,8189.65,8189.5,8189.5,0.28630994
17,1571709000,8189.51,8190.0,8189.51,8190.0,0.04025051
18,1571709300,8190.0,8190.0,8189.75,8189.91,5.02219556
19,1571709600,8189.51,8189.51,8180.36,8180.37,0.40193842
20,1571709900,8180.02,8182.45,8180.02,8181.18,1.60494367
21,1571710200,8182.44,8187.46,8182.44,8187.46,1.15625139
22,1571710500,8186.94,8188.47,8186.94,8187.42,0.79892753
23,1571710800,8187.44,8189.99,8187.44,8187.44,0.05166298
24,1571711100,8189.25,8189.99,8187.45,8187.5,0.0222372695
25,1571711400,8189.02,8193.29,8189.02,8193.29,1.17940429
26,1571711700,8195.43,8203.98,8195.43,8199.46,0.5471952616
27,1571712000,8199.47,8201.66,8199.47,8201.66,0.10765046
28,1571712300,8201.66,8201.66,8201.66,8201.66,0.09379882
29,1571712600,8201.65,8201.66,8201.65,8201.66,0.17695258
30,1571712900,8201.66,8201.67,8201.65,8201.67,2.88596731
31,1571713200,8201.67,8201.67,8201.63,8201.67,0.71759212
32,1571713500,8201.67,8201.67,8199.0,8199.0,0.23680894
33,1571713800,8199.01,8199.01,8199.01,8199.01,0.12371463
34,1571714100,8199.01,8199.01,8199.01,8199.01,0.00182236
35,1571714400,8199.01,8202.45,8199.01,8202.45,0.0602128
36,1571714700,8202.45,8212.2,8202.45,8210.31,0.06945503
37,1571715000,8212.31,8212.31,8210.3,8210.76,0.61163801
38,1571715300,8211.13,8211.71,8210.4,8210.4,2.20173778
39,1571715600,8211.11,8211.71,8210.41,8211.0,0.80475428
40,1571715900,8210.99,8211.0,8210.99,8211.0,3.8130487374
41,1571716200,8211.0,8217.98,8211.0,8217.98,1.3110288926
42,1571716500,8217.98,8221.0,8215.94,8216.63,0.43249576
43,1571716800,8220.18,8220.18,8219.06,8219.16,0.01246901
44,1571717100,8221.0,8221.0,8221.0,8221.0,0.06735285
45,1571717400,8220.99,8221.0,8214.51,8214.51,0.21808701
46,1571717700,8214.53,8214.87,8211.09,8211.13,1.46265994
47,1571718000,8213.99,8214.0,8211.17,8214.0,0.01460358
48,1571718300,8214.0,8214.0,8202.56,8202.56,0.207449
49,1571718600,8202.47,8208.47,8202.47,8207.29,0.03725214
50,1571718900,8204.09,8215.37,8203.44,8215.37,2.9334786869
