,closing_time,open,high,low,close,base_volume
0,1571436600,173.87,173.87,173.87,173.87,0.312142
1,1571436900,173.7,173.7,173.59,173.59,0.022916
2,1571437200,173.59,173.62,173.59,173.62,35.2064
3,1571437500,173.7,174.04,173.7,174.04,134.82207606
4,1571437800,173.91,173.92,173.91,173.92,10.187313
5,1571438100,173.68,173.82,173.42,173.82,79.40246
6,1571438400,173.64,173.67,173.64,173.67,12.45
7,1571438700,173.76,174.03,173.76,173.88,90.426527
8,1571439000,173.63,173.64,173.63,173.64,5.67
9,1571439300,173.48,173.82,173.48,173.8,2.371381
10,1571439600,174.05,174.05,173.93,174.01,3.461972
11,1571439900,174.24,174.24,174.24,174.24,3.656407
12,1571440200,173.87,173.87,173.72,173.72,0.291343
13,1571440500,173.62,173.73,173.62,173.64,0.099913
14,1571440800,173.49,173.5,173.49,173.5,27.62
15,1571441400,173.61,173.61,173.28,173.28,2.038874
16,1571441700,173.25,173.25,173.25,173.25,3.45083
17,1571442000,173.26,173.26,173.26,173.26,0.28757711
18,1571442300,172.99,172.99,172.63,172.63,13.217179
19,1571442600,172.72,172.72,172.72,172.72,50.2805
20,1571442900,172.74,172.82,172.74,172.81,55.279517
21,1571443200,172.74,172.77,172.73,172.77,56.787465
22,1571443500,172.96,173.06,172.96,173.06,25.245675
23,1571443800,173.17,173.17,173.15,173.15,0.174733
24,1571444100,172.77,172.77,172.72,172.72,1.884579
25,1571444400,172.72,172.73,172.72,172.73,1.314228
26,1571444700,172.72,172.72,172.53,172.53,1.605854
27,1571445000,172.33,172.37,172.11,172.11,9.130867
28,1571445300,172.19,172.49,172.19,172.46,29.361859
29,1571445600,172.02,172.03,172.02,172.03,9.07214
30,1571445900,172.0,172.23,172.0,172.23,4.001953
31,1571446200,172.23,172.23,172.23,172.23,1.076137
32,1571446800,172.29,172.29,172.29,172.29,0.277258
33,1571447100,172.1,172.28,172.09,172.28,5.079218
34,1571447400,172.45,172.45,172.45,172.45,0.023164
35,1571447700,172.4,172.4,172.28,172.28,33.562697
36,1571448000,172.26,172.4,172.26,172.4,39.061854
37,1571448300,172.54,172.59,172.54,172.59,0.026623
38,1571449500,172.15,172.15,172.0,172.0,10.19984
39,1571449800,172.05,172.24,172.02,172.23,2.92646
40,1571450400,172.04,172.12,172.04,172.12,0.847911
41,1571450700,172.05,172.05,172.05,172.05,7.795054
42,1571451000,171.95,171.98,171.95,171.98,0.17384107
43,1571451600,171.78,171.78,171.78,171.78,6.210212
44,1571452800,172.19,172.19,172.19,172.19,2.189
45,1571453100,172.33,172.33,172.11,172.11,1.983769
46,1571453400,172.11,172.11,172.11,172.11,6.200231
47,1571453700,172.49,172.49,172.42,172.42,5.617806
48,1571454000,172.49,172.5,172.49,172.5,0.477794
49,1571454600,172.6,172.64,172.46,172.46,2.595742
50,1571454900,172.63,172.63,172.63,172.63,0.668126
51,1571455200,172.84,172.84,172.84,172.84,0.314029
52,1571455500,173.05,173.05,173.05,173.05,1.234834
53,1571457000,174.08,174.08,173.9,173.9,2.428703
54,1571457300,173.68,173.68,173.68,173.68,1.8
55,1571457600,173.91,173.94,173.91,173.94,0.554945
56,1571457900,173.69,173.72,173.69,173.72,2.821181
57,1571458200,173.9,173.9,173.9,173.9,0.797869
58,1571459700,173.59,173.63,173.59,173.63,0.123323
59,1571460000,173.69,173.88,173.69,173.88,1.288544
60,1571460300,173.8,173.8,173.8,173.8,0.841499
61,1571462100,173.77,173.88,173.77,173.88,1.139536
62,1571462400,173.65,173.65,173.65,173.65,0.01146
63,1571462700,173.49,173.49,173.49,173.49,0.5582
64,1571463300,173.44,173.44,173.37,173.37,1.430507
65,1571463900,173.39,173.39,173.39,173.39,0.011477
66,1571464200,173.41,173.41,173.41,173.41,0.146372
67,1571465100,173.57,173.57,173.57,173.57,2.589297
68,1571465400,173.8,173.8,173.8,173.8,0.019522
69,1571465700,173.51,173.51,173.51,173.51,0.291028
70,1571466000,173.51,173.51,173.51,173.51,0.011927
71,1571468100,173.18,173.33,173.18,173.33,0.789493
72,1571469600,173.18,173.18,173.18,173.18,0.58
73,1571469900,173.41,173.41,173.41,173.41,0.034484
74,1571470200,173.41,173.41,173.35,173.35,1.20008
75,1571470800,173.01,173.01,173.01,173.01,0.01823
76,1571472300,174.33,174.33,174.33,174.33,2.716202
77,1571472600,174.28,174.33,174.28,174.33,2.547355
78,1571473200,174.7,174.71,174.7,174.71,0.989566
79,1571474100,174.79,174.79,174.79,174.79,42.924
80,1571474400,174.93,174.93,174.93,174.93,1.4402
81,1571476200,174.3,174.3,174.3,174.3,0.553646
82,1571476500,174.31,174.31,174.31,174.31,0.011416
83,1571477100,174.0,174.0,173.79,173.79,7.4323
84,1571478600,173.56,173.56,173.56,173.56,4.114721
85,1571478900,173.18,173.65,173.15,173.65,1.367435
86,1571481000,173.38,173.59,173.38,173.59,0.503555
87,1571481600,173.1,173.1,173.1,173.1,4.6538
88,1571482500,173.28,173.32,173.28,173.32,2.856018
89,1571483100,173.47,173.48,173.47,173.48,0.570677
90,1571483700,173.56,173.58,173.56,173.58,6.132614
91,1571485200,173.5,173.5,173.5,173.5,0.843092
92,1571485500,173.54,173.54,173.54,173.54,0.045926
93,1571485800,173.56,173.56,173.56,173.56,0.981886
94,1571487000,173.35,173.35,173.35,173.35,2.089179
95,1571487300,173.05,173.05,172.65,172.65,60.748492
96,1571487600,172.05,172.05,170.64,171.52,44.80997
97,1571487900,171.71,171.74,171.71,171.74,0.630869
98,1571488500,171.98,171.98,171.98,171.98,0.25
99,1571488800,172.21,172.27,172.21,172.23,19.188277
100,1571489100,171.88,172.06,171.88,172.06,0.277674
101,1571489400,171.89,171.89,171.89,171.89,0.654476
102,1571489700,172.15,172.15,172.15,172.15,0.096
103,1571490000,172.82,175.09,172.82,173.99,190.550102
104,1571490600,174.57,174.8,174.57,174.64,41.333039
105,1571490900,174.47,174.75,174.41,174.75,16.727165
106,1571491200,174.69,174.8,174.35,174.46,13.196127
107,1571491500,174.26,174.26,173.98,173.98,1.595125
108,1571491800,174.43,174.43,174.43,174.43,1.595125
109,1571492100,174.67,174.67,174.66,174.66,1.96354
110,1571492400,174.65,174.65,174.62,174.62,1.019646
111,1571492700,174.41,174.41,174.01,174.01,7.267329
112,1571493300,173.58,173.91,173.58,173.91,0.846255
113,1571493600,173.87,174.08,173.87,174.08,1.220095
114,1571493900,173.92,173.95,173.89,173.95,2.080039
115,1571494200,173.88,173.88,173.88,173.88,11.6
116,1571494800,173.81,173.81,173.46,173.46,100.0
117,1571495100,173.63,173.63,173.63,173.63,0.23234
