,closing_time,open,high,low,close,base_volume
0,1559265900,0.01307,0.01307,0.01307,0.01307,6.19961
1,1559268600,0.01303,0.01303,0.01303,0.01303,1.6473752
2,1559270100,0.01305,0.01305,0.01305,0.01305,1.92786
3,1559294400,0.01278,0.01278,0.01277,0.01277,228.73095
4,1559300700,0.01306,0.01306,0.01306,0.01306,1.54722
5,1559301000,0.01306,0.01306,0.01306,0.01306,2.66
6,1559304600,0.01307,0.01307,0.01307,0.01307,34.447
7,1559305200,0.01307,0.01307,0.01307,0.01307,0.69211
8,1559305500,0.01307,0.01307,0.01307,0.01307,9.15
9,1559305800,0.01307,0.01307,0.01307,0.01307,1.05554
10,1559306100,0.01307,0.01307,0.01307,0.01307,66.7559
11,1559307000,0.01321,0.01321,0.01321,0.01321,0.04368
12,1559308800,0.01311,0.01311,0.01309,0.01309,2.17597
13,1559310900,0.01307,0.01307,0.01307,0.01307,10.81922
14,1559334300,0.0131,0.0131,0.0131,0.0131,0.10363
15,1559337000,0.01309,0.01309,0.01309,0.01309,0.74144
16,1559337300,0.01312,0.01312,0.01312,0.01312,1.05
17,1559337600,0.01313,0.01313,0.01313,0.01313,15.83528
18,1559337900,0.01314,0.01314,0.01314,0.01314,0.01685
19,1559338500,0.01313,0.01313,0.01313,0.01313,109.8
20,1559358600,0.01339,0.01339,0.01339,0.01339,0.467
21,1559368500,0.01324,0.01324,0.01324,0.01324,2.24933
22,1559377500,0.0133,0.0133,0.01327,0.01327,10.19945
23,1559380500,0.01333,0.01333,0.01332,0.01332,21.27461
24,1559384400,0.01324,0.01324,0.01324,0.01324,2.52418
25,1559387700,0.01328,0.01328,0.01328,0.01328,0.84151
26,1559393700,0.01328,0.01328,0.01328,0.01328,0.02528
27,1559403900,0.01324,0.01324,0.01324,0.01324,0.68117
28,1559434800,0.01313,0.01313,0.01313,0.01313,105.0
29,1559435400,0.0132,0.0132,0.0132,0.0132,26.51515
30,1559442900,0.01313,0.01313,0.01313,0.01313,0.14517
31,1559460900,0.01318,0.01318,0.01318,0.01318,8.71
32,1559464200,0.01329,0.01329,0.01329,0.01329,11.90032
33,1559477400,0.0132,0.0132,0.0132,0.0132,0.01722
34,1559480100,0.0132,0.0132,0.0132,0.0132,0.02647
35,1559503800,0.01307,0.01307,0.01307,0.01307,0.99009
36,1559517600,0.01312,0.01312,0.01309,0.01309,0.96
37,1559519100,0.01316,0.01316,0.01316,0.01316,1.0
38,1559531400,0.01326,0.01329,0.01326,0.01329,186.15
39,1559533200,0.01331,0.01331,0.01331,0.01331,2.0
40,1559533800,0.01336,0.01339,0.01336,0.01338,129.90156
41,1559534100,0.01337,0.01338,0.01335,0.01338,202.35038
42,1559534400,0.01332,0.01337,0.01332,0.01337,312.50018
43,1559534700,0.01328,0.01329,0.01325,0.01326,130.81358
44,1559537100,0.01331,0.01332,0.01331,0.01332,97.997
45,1559537400,0.01333,0.01333,0.01332,0.01332,111.14
46,1559538000,0.0133,0.01331,0.0133,0.01331,25.96117
47,1559538900,0.01333,0.01333,0.01333,0.01333,7.24
48,1559539500,0.0133,0.0133,0.0133,0.0133,4.98
49,1559541600,0.01335,0.01335,0.01335,0.01335,2.5
50,1559542800,0.01331,0.01331,0.01331,0.01331,4.99707
51,1559544000,0.01329,0.01329,0.01329,0.01329,1.089
52,1559544300,0.01329,0.01329,0.01329,0.01329,55.57
53,1559546100,0.0132,0.01321,0.01306,0.01306,390.11603
54,1559546400,0.01306,0.01306,0.01303,0.01303,26.86303
55,1559546700,0.0131,0.0131,0.0131,0.0131,0.93867
56,1559558400,0.01327,0.01327,0.01327,0.01327,0.2102637
57,1559559300,0.01329,0.01329,0.01329,0.01329,13.40452
58,1559565300,0.01321,0.01321,0.01321,0.01321,0.68066
59,1559574600,0.01311,0.01311,0.01311,0.01311,2.46
60,1559574900,0.01313,0.01313,0.01313,0.01313,49.0
61,1559575500,0.01313,0.01313,0.01313,0.01313,3.7968
62,1559577300,0.01313,0.01313,0.01313,0.01313,4.06102
63,1559577600,0.01313,0.01313,0.01313,0.01313,42.14218
64,1559582700,0.01313,0.01313,0.01307,0.01308,797.75704
65,1559583600,0.01313,0.01313,0.01313,0.01313,54.34
66,1559585700,0.01304,0.01304,0.01304,0.01304,5.42
67,1559586000,0.01305,0.01305,0.01305,0.01305,7.65
68,1559588700,0.01306,0.01306,0.01306,0.01306,0.03775
69,1559593500,0.01309,0.01309,0.01309,0.01309,20.0
70,1559597400,0.01307,0.0131,0.01307,0.0131,57.677
71,1559598000,0.01313,0.01313,0.01313,0.01313,6.33
72,1559600400,0.01301,0.01301,0.01301,0.01301,14.76207
73,1559600700,0.01304,0.01304,0.01304,0.01304,3.0
74,1559604300,0.01295,0.01296,0.01284,0.01296,428.92399
75,1559604600,0.01305,0.0131,0.01305,0.0131,34.06245
76,1559606700,0.01301,0.01302,0.01301,0.01302,109.11
77,1559607000,0.01306,0.01314,0.01304,0.01314,478.08114
78,1559608200,0.01306,0.01309,0.01306,0.01309,13.77017
79,1559608500,0.0131,0.0131,0.0131,0.0131,17.056
80,1559608800,0.01315,0.01315,0.01315,0.01315,0.49013
81,1559609400,0.01318,0.01318,0.01318,0.01318,20.0
82,1559610000,0.01324,0.01324,0.01318,0.01318,13.27118
83,1559610900,0.01325,0.01325,0.01321,0.01321,7.4724288
84,1559611200,0.0132,0.0132,0.0132,0.0132,5.9386
85,1559628600,0.01286,0.01286,0.01286,0.01286,1.60722
86,1559629200,0.01293,0.01293,0.01293,0.01293,0.83451
87,1559633100,0.01293,0.01293,0.01293,0.01293,44.83301
88,1559639400,0.01305,0.01305,0.01305,0.01305,1.22622
89,1559650800,0.01319,0.01319,0.01319,0.01319,0.01627
90,1559652000,0.01319,0.01319,0.01319,0.01319,0.68582
91,1559654100,0.01321,0.01321,0.01321,0.01321,0.106
92,1559655300,0.0132,0.0132,0.0132,0.0132,37.93626
93,1559658900,0.01313,0.01313,0.01313,0.01313,6.24945
94,1559665200,0.01312,0.01312,0.01312,0.01312,18.29269
95,1559665500,0.01313,0.01313,0.01313,0.01313,18.27876
96,1559668500,0.01324,0.01324,0.01324,0.01324,42.68
97,1559668800,0.01325,0.01325,0.01325,0.01325,23.802
98,1559670300,0.01322,0.01324,0.01321,0.01321,69.44653
99,1559676000,0.01305,0.01305,0.01305,0.01305,1.53103
100,1559710800,0.0131,0.0131,0.0131,0.0131,56.53
101,1559740200,0.0131,0.0131,0.01309,0.01309,1.57286
102,1559754900,0.01319,0.01319,0.01319,0.01319,27.9537149
103,1559755200,0.01318,0.01318,0.01316,0.01316,60.0
104,1559767800,0.01323,0.01326,0.01323,0.01326,224.021
105,1559792100,0.01342,0.01342,0.01342,0.01342,3.56495
106,1559794200,0.01335,0.01335,0.01335,0.01335,14.9
107,1559794800,0.01333,0.01333,0.01333,0.01333,19.09829
108,1559802000,0.01335,0.01335,0.01335,0.01335,0.12146
109,1559811000,0.01331,0.01331,0.01331,0.01331,1.67693
110,1559825700,0.0133,0.0133,0.0133,0.0133,0.02749
111,1559826600,0.01327,0.01327,0.01327,0.01327,11.51175
112,1559832600,0.0133,0.0133,0.0133,0.0133,5.0
113,1559840100,0.01348,0.01348,0.01348,0.01348,1.09461
114,1559843400,0.01348,0.01348,0.01348,0.01348,9.54
115,1559845500,0.0135,0.0135,0.0135,0.0135,35.55556
116,1559846400,0.01361,0.01361,0.01361,0.01361,58.77489
