,closing_time,open,high,low,close,base_volume
0,1570420800,54.86,54.86,54.86,54.86,0.03626
1,1570421400,54.91,54.91,54.91,54.91,0.03736
2,1570422000,54.83,54.83,54.83,54.83,0.03629
3,1570422300,54.8,54.8,54.8,54.8,0.03631
4,1570422900,54.77,54.77,54.77,54.77,0.9446
5,1570423200,54.85,54.85,54.85,54.85,0.03627
6,1570424100,54.74,54.74,54.71,54.71,91.01175
7,1570424700,54.58,54.64,54.58,54.64,0.14593
8,1570425000,54.56,54.6,54.56,54.56,4.11172
9,1570425300,54.59,54.66,54.59,54.66,0.07284
10,1570425600,54.67,54.67,54.59,54.59,0.15036
11,1570425900,54.55,54.62,54.55,54.62,1.17963
12,1570426200,54.56,54.56,54.56,54.56,0.24635
13,1570426500,54.63,54.69,54.59,54.59,0.50125
14,1570426800,54.54,54.54,54.54,54.54,0.17966
15,1570427700,54.59,54.59,54.59,54.59,2.94
16,1570428000,54.72,54.73,54.7,54.7,1.69309
17,1570428300,54.74,54.74,54.74,54.74,0.42729
18,1570429800,54.59,54.59,54.59,54.59,2.2
19,1570430700,54.57,54.57,54.56,54.56,0.07294
20,1570433700,54.87,54.94,54.87,54.94,105.64
21,1570434000,54.76,54.76,54.76,54.76,0.03633
22,1570435200,54.88,54.88,54.88,54.88,1.36203
23,1570435800,55.03,55.03,55.03,55.03,0.03615
24,1570436100,55.2,55.28,55.2,55.28,3.65604
25,1570436400,55.27,55.27,55.22,55.22,0.09017
26,1570436700,55.3,55.31,55.3,55.31,0.13597
27,1570437300,55.17,55.17,55.17,55.17,0.03606
28,1570437900,55.17,55.17,55.17,55.17,0.06565
29,1570438200,55.13,55.13,55.09,55.09,0.35922
30,1570438800,55.05,55.05,55.05,55.05,0.08458
31,1570440900,55.27,55.31,55.27,55.31,5.45599
32,1570441200,55.4,55.4,55.4,55.4,0.1
33,1570441500,55.6,55.64,55.6,55.64,0.2
34,1570441800,55.71,55.71,55.71,55.71,0.1
35,1570442700,55.81,55.85,55.81,55.85,0.27563
36,1570443000,55.9,55.9,55.9,55.9,0.1
37,1570443300,56.0,56.17,56.0,56.17,11.36445
38,1570443900,56.08,56.13,56.08,56.13,77.65325
39,1570444200,55.89,55.89,55.89,55.89,0.08331
