,closing_time,open,high,low,close,base_volume
0,1569623400,37.8,37.96,37.8,37.96,6.366994
1,1569624000,37.99,37.99,37.99,37.99,0.052383
2,1569624300,37.76,37.76,37.76,37.76,1.332382
3,1569624600,37.9,37.9,37.9,37.9,12.867032
4,1569624900,37.86,37.86,37.86,37.86,0.052507
5,1569625200,37.71,37.72,37.71,37.72,48.894723
6,1569625800,37.56,37.56,37.56,37.56,0.05298
7,1569626400,37.62,37.62,37.62,37.62,1.340649
8,1569627300,37.6,37.6,37.6,37.6,0.052924
9,1569627900,37.7,37.71,37.62,37.71,12.057451
10,1569629700,37.6,37.6,37.6,37.6,0.053146
11,1569630300,37.5,37.5,37.5,37.5,10.52136
12,1569631500,37.47,37.47,37.47,37.47,3.0
13,1569631800,37.46,37.46,37.36,37.38,13.671857
14,1569632100,37.37,37.4,37.37,37.4,1.835902
15,1569633300,37.38,37.38,37.38,37.38,0.053233
16,1569633600,37.4,37.4,37.4,37.4,0.053205
17,1569633900,37.31,37.31,37.31,37.31,13.047682
18,1569634800,37.34,37.37,37.34,37.37,0.106805
19,1569635100,37.4,37.4,37.4,37.4,2.580739
20,1569635700,37.37,37.37,37.33,37.33,0.16001
21,1569636000,37.31,37.31,37.31,37.31,0.158666
22,1569636600,37.34,37.34,37.34,37.34,0.05329
23,1569636900,37.34,37.34,37.34,37.34,0.827
24,1569637500,37.34,37.34,37.34,37.34,0.240074
25,1569637800,37.28,37.28,37.28,37.28,0.026824
26,1569638400,37.2,37.2,37.2,37.2,0.10698
27,1569639000,37.29,37.29,37.29,37.29,13.033871
28,1569640200,37.53,37.53,37.53,37.53,0.053022
29,1569640500,37.49,37.49,37.49,37.49,0.053078
30,1569640800,37.49,37.49,37.49,37.49,1.061835
31,1569642600,37.43,37.43,37.36,37.36,1.329458
32,1569643500,37.39,37.39,37.39,37.39,0.053219
33,1569643800,37.39,37.39,37.39,37.39,0.197977
34,1569644100,37.39,37.39,37.39,37.39,2.581426
35,1569645300,37.42,37.42,37.42,37.42,0.053177
36,1569645600,37.42,37.42,37.42,37.42,6.713905
37,1569647400,37.32,37.32,37.32,37.32,1.71654604
38,1569647700,37.36,37.36,37.36,37.36,0.10679
39,1569648000,37.36,37.36,37.35,37.35,0.106524
40,1569648300,37.28,37.29,37.28,37.29,4.296424
41,1569648600,37.29,37.29,37.29,37.29,0.680628
42,1569649500,37.28,37.28,37.28,37.28,0.053376
43,1569649800,37.28,37.28,37.28,37.28,0.053376
44,1569650100,37.29,37.29,37.29,37.29,114.153361
45,1569651000,37.29,37.29,37.29,37.29,13.030423
46,1569651300,37.29,37.29,37.29,37.29,5.852464
47,1569651900,37.3,37.3,37.3,37.3,0.053347
48,1569652500,37.46,37.46,37.46,37.46,0.99757628
49,1569652800,37.45,37.45,37.45,37.45,0.053134
50,1569654000,37.47,37.47,37.47,37.47,0.053106
51,1569654900,37.55,38.28,37.55,38.15,42.890213
52,1569655200,38.1,38.6,38.1,38.6,16.056042
53,1569655500,38.58,38.58,38.27,38.27,166.758714
54,1569655800,38.5,38.71,38.5,38.71,6.199
55,1569656100,38.9,39.15,38.9,39.1,20.238
56,1569656400,39.17,39.2,38.98,39.2,21.021721
57,1569656700,39.6,39.69,39.6,39.69,2.63011
58,1569657000,39.68,40.7,39.68,40.7,81.335789
59,1569657300,40.9,40.9,40.7,40.8,1162.222
60,1569657900,40.4,40.4,39.95,39.95,30.205984
61,1569658200,40.07,40.07,40.07,40.07,0.1
62,1569658500,39.93,39.93,39.89,39.89,1.395069
63,1569658800,39.8,39.8,39.8,39.8,5.814546
64,1569659100,39.64,39.64,39.64,39.64,0.464608
65,1569659400,39.65,39.65,39.65,39.65,0.050188
66,1569659700,39.75,39.75,39.75,39.75,0.225588
67,1569660000,39.78,39.78,39.78,39.78,0.081561
68,1569660600,39.61,39.61,39.46,39.46,5.24
69,1569660900,39.55,39.55,39.51,39.54,11.0
70,1569661800,39.54,39.54,39.54,39.54,0.175496
71,1569662100,39.67,39.67,39.67,39.67,2.433768
72,1569662400,39.66,39.66,39.66,39.66,0.05168
73,1569662700,39.9,39.9,39.9,39.9,0.049875
74,1569663000,39.9,40.1,39.9,40.1,54.192225
75,1569663300,40.2,40.2,40.2,40.2,0.1
76,1569663600,40.2,40.2,40.2,40.2,2.44
77,1569663900,40.22,40.22,40.22,40.22,0.4
78,1569664200,39.88,39.88,39.6,39.6,2.831136
79,1569664800,39.6,39.62,39.6,39.62,0.930099
80,1569666000,39.57,39.57,39.57,39.57,0.1
81,1569666300,39.58,39.58,39.58,39.58,0.050276
82,1569666600,39.5,39.5,39.33,39.33,0.350594
83,1569666900,39.3,39.3,39.3,39.3,0.101518
84,1569667200,39.21,39.26,39.21,39.26,0.105179
85,1569667500,39.19,39.19,39.0,39.0,5.646651
86,1569667800,39.2,39.2,39.2,39.2,0.1
87,1569668100,39.24,39.29,39.24,39.29,1.315443
88,1569668400,39.33,39.33,39.33,39.33,0.050594
89,1569669600,39.07,39.07,39.07,39.07,0.050929
90,1569669900,39.03,39.03,39.03,39.03,0.050955
91,1569670800,38.88,38.88,38.88,38.88,0.050473
92,1569672000,38.95,38.95,38.95,38.95,2.47664
93,1569672900,38.74,38.74,38.74,38.74,1.024846
94,1569673800,38.65,38.67,38.58,38.67,10.164462
95,1569674100,38.5,38.5,38.5,38.5,5.688311
96,1569674400,38.52,38.52,38.52,38.52,0.051679
97,1569675000,38.83,38.83,38.83,38.83,0.230848
98,1569675600,38.7,38.7,38.7,38.7,0.450385
99,1569676200,38.65,38.65,38.65,38.65,0.05312
100,1569676800,39.0,39.3,38.92,39.3,11.886881
101,1569677100,39.21,39.21,39.21,39.21,0.962278
102,1569677400,39.01,39.01,38.91,38.97,1.329603
103,1569678000,38.94,38.94,38.94,38.94,0.051098
104,1569679200,39.31,39.44,39.31,39.44,0.939051
105,1569679800,39.24,39.24,39.24,39.24,0.050709
106,1569680100,39.28,39.28,39.28,39.28,0.050658
107,1569680400,39.12,39.18,39.11,39.18,8.383556
108,1569680700,39.12,39.12,39.11,39.11,11.67497
109,1569681000,39.18,39.18,39.18,39.18,0.050774
110,1569681300,39.11,39.11,39.0,39.0,0.115424
111,1569681600,39.06,39.06,39.06,39.06,0.229495
112,1569681900,39.01,39.01,39.01,39.01,0.051007
113,1569682200,39.01,39.01,39.01,39.01,5.0
114,1569682500,38.89,38.89,38.89,38.89,0.115424
115,1569683100,38.79,38.79,38.72,38.72,0.282808
116,1569684000,38.45,38.45,38.42,38.42,4.060903
117,1569684600,38.84,38.84,38.8,38.8,5.274111
118,1569685200,38.69,38.69,38.69,38.69,0.836204
119,1569685500,38.69,38.69,38.69,38.69,0.051427
120,1569686100,38.85,38.85,38.85,38.85,12.523518
121,1569686400,38.85,38.85,38.85,38.85,0.051216
122,1569686700,38.95,38.95,38.78,38.82,0.332866
123,1569687000,39.6,40.01,39.6,40.01,3.2
124,1569687900,39.85,39.86,39.85,39.86,14.172543
125,1569688200,39.82,39.82,39.8,39.8,5.512311
126,1569688500,39.31,39.31,39.12,39.12,90.5325
127,1569688800,39.04,39.13,39.04,39.13,2.012415
128,1569689100,39.11,39.11,39.11,39.11,5.22
129,1569689400,39.23,39.23,39.23,39.23,0.051242
130,1569689700,39.4,39.4,39.4,39.4,0.1
131,1569690900,39.23,39.58,39.23,39.58,47.009568
132,1569691500,39.64,39.72,39.64,39.72,0.1501
133,1569692100,39.7,39.7,39.7,39.7,0.050075
134,1569692400,39.7,39.73,39.62,39.67,99.477671
135,1569692700,39.54,39.54,39.54,39.54,0.050441
136,1569693000,39.44,39.44,39.44,39.44,0.057077
137,1569693300,39.77,39.82,39.77,39.82,11.016153
138,1569693600,39.72,39.81,39.7,39.81,4.89
139,1569693900,39.89,39.89,39.89,39.89,4.288456
140,1569694200,39.93,39.93,39.93,39.93,0.049825
141,1569694800,39.68,39.68,39.68,39.68,0.951915
142,1569695100,39.47,39.47,39.47,39.47,0.050415
143,1569695400,39.64,39.64,39.64,39.64,0.176086
144,1569696000,39.66,39.71,39.66,39.71,24.51863
145,1569696300,39.73,40.23,39.73,40.23,21.530728
146,1569696600,40.43,40.43,40.43,40.43,0.1
147,1569696900,40.52,40.6,40.52,40.6,0.2
148,1569697200,40.64,40.64,40.64,40.64,2.374204
149,1569697500,40.71,40.71,40.71,40.71,7.7663
150,1569697800,40.55,40.55,40.5,40.5,93.722
151,1569698100,40.31,40.38,39.6,40.33,62.457067
152,1569698400,40.41,40.53,40.41,40.53,0.2
153,1569699000,40.59,40.71,40.59,40.71,0.162007
154,1569699300,40.73,40.82,40.72,40.72,53.738727
155,1569699600,40.89,40.89,40.89,40.89,0.219221
156,1569700200,40.51,40.57,40.51,40.51,27.241067
157,1569700500,40.84,40.84,40.84,40.84,7.185266
158,1569701700,40.38,40.38,40.38,40.38,0.049321
159,1569702000,40.29,40.29,40.29,40.29,0.1
160,1569702600,40.42,40.62,40.42,40.62,3.664343
161,1569702900,40.76,40.76,40.76,40.76,0.048768
162,1569703200,40.72,40.72,40.7,40.7,0.148863
163,1569703500,40.79,40.79,40.79,40.79,3.0
164,1569703800,40.77,41.0,40.77,41.0,273.831542
165,1569704100,41.1,41.1,41.1,41.1,0.1
166,1569704400,41.08,41.08,41.08,41.08,5.328467
167,1569704700,40.85,40.93,40.85,40.93,6.018489
168,1569705300,40.9,40.9,40.9,40.9,0.048649
169,1569705900,41.15,41.15,41.15,41.15,2.344935
170,1569706500,40.92,41.05,40.92,41.05,3.556335
171,1569707400,40.82,40.82,40.82,40.82,0.05312
172,1569707700,40.6,40.6,40.6,40.6,0.1
173,1569708000,40.4,40.4,40.18,40.18,0.449401
174,1569708300,40.61,40.61,40.27,40.27,23.204034
175,1569708600,40.26,40.26,40.22,40.22,1.149455
176,1569709200,40.25,40.25,40.25,40.25,44.02347
177,1569710100,40.19,40.25,40.08,40.25,7.815731
178,1569710700,40.55,40.93,40.55,40.93,148.626621
179,1569711000,41.1,41.17,39.94,40.39,379.761188
180,1569711300,40.4,40.5,40.4,40.5,0.2
181,1569711600,40.4,40.4,40.4,40.4,1.25550671
182,1569712500,40.35,40.35,40.35,40.35,0.536735
183,1569712800,40.35,40.35,40.35,40.35,0.747128
184,1569713100,40.45,40.47,40.34,40.47,7.919486
185,1569714000,40.47,40.48,40.47,40.48,2.612037
186,1569714600,40.55,40.55,40.55,40.55,0.049067
187,1569714900,40.48,40.48,40.48,40.48,0.049152
188,1569715800,40.58,40.58,40.47,40.47,2.378311
189,1569716700,40.13,40.13,40.13,40.13,0.049529
190,1569717300,40.05,40.05,40.05,40.05,0.049677
191,1569717900,40.1,40.1,40.1,40.1,3.026792
