,closing_time,open,high,low,close,base_volume
0,1569895800,0.0282,0.0282,0.02816,0.02816,1.16723858
1,1569896100,0.02808,0.02808,0.02803,0.02803,18.94743717
2,1569896400,0.02802,0.02804,0.02795,0.02797,5.4328396
3,1569897000,0.0279,0.0279,0.0279,0.0279,0.01043181
4,1569897300,0.0279,0.0279,0.02788,0.02788,0.92128153
5,1569897600,0.02788,0.02788,0.02788,0.02788,0.01
6,1569897900,0.02787,0.02787,0.02787,0.02787,0.00047
7,1569898200,0.02782,0.02782,0.02782,0.02782,0.0004
8,1569898500,0.02787,0.02787,0.02787,0.02787,0.00220349
9,1569898800,0.02786,0.02786,0.02786,0.02786,0.0021405
10,1569899100,0.0278,0.0278,0.0278,0.0278,25.39609345
11,1569899400,0.0277,0.02778,0.02769,0.02777,0.04952635
12,1569899700,0.02775,0.02775,0.02773,0.02773,0.00520974
13,1569900000,0.02773,0.02773,0.02765,0.02765,3.20724018
14,1569900300,0.02765,0.02765,0.02765,0.02765,0.00214
15,1569900600,0.02763,0.02764,0.0276,0.0276,8.8459347
16,1569900900,0.0276,0.0276,0.0276,0.0276,0.00589108
17,1569901200,0.02756,0.02756,0.02746,0.02746,46.91277871
18,1569901500,0.02746,0.02746,0.02746,0.02746,6.18e-06
19,1569901800,0.02746,0.02746,0.02746,0.02746,10.97190718
20,1569902100,0.02746,0.02753,0.02746,0.02753,0.03137
21,1569902400,0.02746,0.02746,0.02734,0.02734,9.34582473
22,1569902700,0.02741,0.02741,0.02741,0.02741,0.00024
23,1569903000,0.0276,0.0276,0.02757,0.02757,0.10054595
24,1569903300,0.02756,0.02756,0.02753,0.02753,0.01496354
25,1569903600,0.02753,0.0276,0.02753,0.0276,7.05123649
26,1569903900,0.02757,0.02757,0.02752,0.02752,0.0154878
27,1569904200,0.02752,0.02752,0.02752,0.02752,0.00245302
28,1569904500,0.02752,0.02752,0.02752,0.02752,0.00043
29,1569904800,0.02752,0.02752,0.02744,0.02744,0.00175298
30,1569905100,0.02744,0.02747,0.02744,0.02747,0.00068
31,1569905700,0.02742,0.02742,0.02742,0.02742,0.01230424
32,1569906600,0.02747,0.02749,0.02747,0.02749,0.00970818
33,1569906900,0.02747,0.02747,0.02742,0.02746,0.01339873
34,1569907200,0.02743,0.02743,0.02742,0.02742,0.01397505
35,1569907500,0.02742,0.02742,0.02741,0.02742,6.43988807
36,1569907800,0.02743,0.02743,0.02743,0.02743,0.00262342
37,1569908100,0.02743,0.02743,0.02743,0.02743,0.00011
38,1569908700,0.02743,0.02743,0.02743,0.02743,0.63206148
39,1569909000,0.02743,0.02743,0.02737,0.02737,0.0019994
40,1569909600,0.02743,0.02743,0.02743,0.02743,6.4595487
41,1569909900,0.02743,0.02743,0.02737,0.02737,0.02709833
42,1569910200,0.02739,0.02746,0.02739,0.02746,0.00415808
43,1569910500,0.02738,0.02738,0.02738,0.02738,0.00081
44,1569910800,0.02737,0.02737,0.02737,0.02737,0.00228226
45,1569911700,0.02734,0.02734,0.02734,0.02734,0.00204812
46,1569912000,0.02734,0.02734,0.02734,0.02734,0.00099
