,closing_time,open,high,low,close,base_volume
0,1571049000,226.4,226.7,226.4,226.7,30.1
1,1571049300,226.7,226.8,226.7,226.7,70.74683914
2,1571049600,226.5,226.6,226.5,226.6,0.07316413
3,1571049900,226.5,226.5,226.5,226.5,0.2
4,1571050800,226.6,226.6,226.6,226.6,81.22326733
5,1571051400,226.5,226.5,226.5,226.5,9.32
6,1571052000,226.2,226.3,226.1,226.2,70.0
7,1571052300,226.2,226.2,225.9,226.0,30.0
8,1571052900,226.6,226.6,226.6,226.6,0.87978
9,1571054100,226.5,226.5,226.3,226.3,2.422
10,1571054700,225.4,225.4,225.0,225.0,30.05198752
11,1571055300,225.2,225.2,224.6,224.6,0.437
12,1571055600,224.1,224.1,224.1,224.1,0.237
13,1571056500,224.5,224.5,224.5,224.5,9.08998811
14,1571056800,224.5,224.7,224.5,224.7,7.09952476
15,1571058000,224.9,224.9,224.9,224.9,3.54133634
16,1571058300,225.0,225.0,225.0,225.0,7.5
17,1571058900,225.1,225.6,225.1,225.4,112.13806378
18,1571059200,225.4,225.4,225.4,225.4,2.92483654
19,1571059500,225.4,225.4,225.4,225.4,3.0
20,1571060100,225.4,225.6,225.4,225.6,1.335
21,1571061000,225.6,225.6,225.5,225.5,7.00471
22,1571061300,225.5,225.5,225.4,225.4,4.11185922
23,1571061900,225.7,225.7,225.7,225.7,0.16835627
24,1571062800,225.6,225.6,225.6,225.6,0.28802525
25,1571063400,225.9,225.9,225.9,225.9,11.7748463
26,1571063700,225.8,225.8,225.8,225.8,0.30181709
27,1571064900,225.0,225.1,225.0,225.1,3.1422078
28,1571065800,224.8,224.8,224.8,224.8,1.52
29,1571066100,224.8,224.8,224.8,224.8,30.68632316
30,1571067300,225.1,225.2,225.1,225.2,0.86944443
31,1571068200,224.7,224.9,224.5,224.9,10.24956513
32,1571068800,224.7,224.7,224.7,224.7,10.0
33,1571069100,224.8,224.8,224.7,224.7,5.45795803
34,1571069400,224.8,225.2,224.8,225.2,8.57554981
35,1571069700,225.2,226.3,225.2,226.3,297.821
36,1571070300,225.1,225.1,224.2,224.2,38.67256459
37,1571070600,224.4,225.5,224.4,225.5,131.53425794
38,1571070900,225.2,226.7,225.2,226.7,41.37790276
39,1571071200,227.0,230.7,227.0,228.8,303.66097825
40,1571071500,229.0,230.2,229.0,229.1,62.21321
41,1571071800,229.0,229.8,228.9,228.9,32.02650385
42,1571072100,228.6,228.6,227.8,227.8,59.88459698
43,1571072400,228.2,229.0,228.2,229.0,70.45222919
44,1571072700,228.4,229.4,228.4,229.2,11.24528755
45,1571073000,229.3,229.3,229.2,229.2,4.80164326
46,1571073300,228.7,228.7,228.2,228.2,2.02235639
47,1571073600,228.2,228.5,228.2,228.5,71.40608129
48,1571073900,228.3,228.8,228.3,228.8,3.39137689
49,1571074200,228.8,228.8,228.3,228.3,4.27287391
50,1571074500,228.4,228.4,228.4,228.4,3.70650798
51,1571074800,228.0,228.0,226.7,226.7,128.73760418
52,1571075100,226.7,227.8,226.7,227.6,10.15015308
53,1571075700,227.4,227.4,227.4,227.4,0.1535
54,1571076000,227.4,227.7,227.4,227.4,14.30324487
55,1571076300,227.6,227.6,227.6,227.6,0.140624
56,1571076600,227.7,227.8,227.6,227.6,11.8359854
57,1571077200,227.6,227.6,227.6,227.6,0.616061
58,1571077500,227.9,227.9,227.9,227.9,4.0
59,1571078400,227.9,227.9,227.9,227.9,3.0
60,1571078700,227.7,227.7,227.7,227.7,0.339
61,1571079300,228.1,228.1,227.8,227.8,0.002
62,1571079900,228.2,228.2,228.2,228.2,199.909
63,1571080200,228.3,228.3,227.8,227.8,3.2626
64,1571080500,227.5,227.5,227.2,227.2,5.4978
65,1571080800,227.0,227.2,227.0,227.2,13.3747427
66,1571081400,227.6,227.6,227.6,227.6,13.49275741
67,1571082000,227.9,227.9,227.9,227.9,3.1676619
68,1571082600,227.9,227.9,227.9,227.9,0.2639
69,1571082900,227.9,228.0,227.9,228.0,7.54434856
70,1571083500,228.0,228.0,227.9,227.9,6.44586167
71,1571083800,228.0,228.0,228.0,228.0,37.74751002
72,1571084100,228.2,228.2,228.2,228.2,3.0
73,1571084400,228.1,228.1,228.1,228.1,0.2635
74,1571084700,227.9,227.9,227.9,227.9,0.0908
75,1571085000,227.5,227.5,227.5,227.5,3.4393627
76,1571085600,227.5,227.5,227.5,227.5,0.68883706
77,1571085900,227.5,227.5,227.5,227.5,1.1884
78,1571086200,227.5,227.6,227.5,227.6,0.045493
79,1571086500,227.5,227.5,227.5,227.5,8.64671752
80,1571087100,227.5,227.5,227.5,227.5,1.06
81,1571087700,227.3,227.3,226.2,226.5,571.53891037
82,1571088000,226.3,226.3,226.0,226.1,101.76339156
83,1571088300,226.1,226.4,226.0,226.4,109.8103743
84,1571088600,226.5,226.6,226.5,226.6,2.0027046
85,1571089200,226.9,226.9,226.9,226.9,20.467
86,1571090100,227.2,227.2,227.2,227.2,15.577
87,1571090700,227.3,227.3,227.3,227.3,2.0
88,1571091000,227.4,227.4,227.4,227.4,1.03402473
89,1571091300,227.4,227.4,227.4,227.4,6.0
90,1571092800,227.3,227.3,227.3,227.3,36.86426332
91,1571093100,227.4,227.6,227.4,227.6,157.16403981
92,1571093400,227.8,228.0,227.8,228.0,50.0
93,1571093700,227.9,227.9,227.9,227.9,0.18881119
94,1571094600,228.0,228.1,228.0,228.1,34.49320254
95,1571096100,227.7,227.7,227.7,227.7,0.21
