,closing_time,open,high,low,close,base_volume
0,1571709300,8188.1,8194.3,8184.3,8184.3,7.27575302
1,1571709600,8184.9,8184.9,8180.1,8180.8,0.31844382
2,1571709900,8180.1,8181.3,8180.0,8181.1,0.70905917
3,1571710200,8181.2,8184.9,8180.0,8184.3,1.75663855
4,1571710500,8184.4,8189.6,8184.4,8185.1,7.48998716
5,1571710800,8184.9,8185.0,8180.0,8180.0,2.09636392
6,1571711100,8185.4,8189.0,8183.4,8189.0,3.18701608
7,1571711400,8188.6,8190.0,8186.1,8190.0,9.52920024
8,1571711700,8190.0,8200.0,8190.0,8198.6,14.54878075
9,1571712000,8199.3,8200.0,8191.8,8200.0,5.04583336
10,1571712300,8200.0,8204.3,8200.0,8204.3,0.02901
11,1571712600,8205.3,8206.1,8201.2,8201.3,4.5752314
12,1571712900,8200.5,8202.0,8199.8,8199.8,0.2054633
13,1571713200,8199.3,8204.4,8199.3,8203.0,25.453981
14,1571713500,8203.1,8203.1,8194.5,8197.1,15.60385528
15,1571713800,8197.1,8197.4,8197.1,8197.4,0.09591144
16,1571714100,8197.4,8198.3,8197.4,8198.3,3.53272937
17,1571714400,8197.9,8207.8,8197.9,8207.8,5.80411255
18,1571714700,8207.5,8211.8,8207.5,8211.8,1.25209834
19,1571715000,8212.7,8214.3,8209.0,8211.8,2.24363698
20,1571715300,8211.5,8214.2,8211.2,8212.5,7.74151141
21,1571715600,8213.3,8213.6,8213.2,8213.4,1.26115922
22,1571715900,8213.1,8214.2,8213.1,8214.2,3.84187214
23,1571716200,8214.1,8230.9,8214.1,8220.6,63.54766836
24,1571716500,8220.5,8226.8,8220.0,8220.1,14.03030299
25,1571716800,8220.1,8220.4,8220.0,8220.0,6.01612773
26,1571717100,8220.0,8226.6,8220.0,8220.5,1.942935
27,1571717400,8220.5,8220.5,8220.0,8220.0,8.53934333
28,1571717700,8220.0,8220.0,8212.3,8214.5,7.51180857
29,1571718000,8216.6,8216.8,8214.8,8216.0,0.23523347
30,1571718300,8212.4,8212.4,8204.3,8204.3,2.13764285
31,1571718600,8204.4,8204.4,8204.3,8204.4,0.06884798
32,1571718900,8204.4,8221.9,8203.9,8216.8,4.87145596
33,1571719200,8220.5,8222.5,8217.3,8222.5,1.98822471
34,1571719500,8222.4,8224.4,8222.4,8224.4,0.42780092
35,1571719800,8224.4,8227.5,8224.4,8225.8,0.42069546
36,1571720100,8225.0,8232.5,8225.0,8232.5,12.00736959
37,1571720400,8229.2,8229.4,8229.2,8229.4,0.09378329
38,1571720700,8230.2,8237.9,8229.0,8230.2,36.42800972
39,1571721000,8230.1,8230.1,8230.0,8230.0,5.91836602
40,1571721300,8230.0,8230.0,8209.9,8212.4,25.76962514
41,1571721600,8211.5,8218.9,8211.4,8218.9,0.21918456
42,1571721900,8218.9,8219.0,8218.9,8218.9,1.0391
43,1571722200,8219.8,8222.2,8219.0,8222.2,3.08924966
44,1571722500,8222.0,8222.0,8222.0,8222.0,0.2
45,1571722800,8219.9,8222.0,8219.9,8222.0,0.00600334
46,1571723100,8220.2,8221.9,8220.2,8221.9,0.032115
47,1571723400,8222.8,8226.5,8222.8,8226.5,27.57080795
48,1571723700,8226.9,8230.0,8226.4,8228.3,36.3975
49,1571724000,8225.4,8225.4,8225.1,8225.1,0.2248953
