,closing_time,open,high,low,close,base_volume
0,1567839900,0.0078,0.0078,0.0078,0.0078,0.454257
1,1567840500,0.0078,0.0078,0.0078,0.0078,22.0
2,1567840800,0.0078,0.00781,0.0078,0.00781,5.02784
3,1567841100,0.0078,0.0078,0.0078,0.0078,23.0
4,1567841400,0.00778,0.00778,0.00778,0.00778,0.0868889
5,1567842000,0.0078,0.0078,0.0078,0.0078,0.95056589
6,1567842600,0.0078,0.0078,0.0078,0.0078,2.9087799
7,1567843800,0.00779,0.00779,0.00778,0.00778,0.92116375
8,1567844700,0.00779,0.0078,0.00779,0.0078,2.0
9,1567845000,0.0078,0.0078,0.0078,0.0078,3.99999993
10,1567845900,0.0078,0.0078,0.0078,0.0078,0.17508118
11,1567846500,0.00778,0.00778,0.00778,0.00778,0.2199856
12,1567846800,0.00779,0.00779,0.00779,0.00779,0.94501079
13,1567850700,0.00782,0.00782,0.00782,0.00782,0.03242729
14,1567851000,0.00783,0.00783,0.00783,0.00783,0.80582467
15,1567851600,0.00782,0.00782,0.00782,0.00782,1.46951072
16,1567854900,0.00783,0.00783,0.00783,0.00783,0.71822251
17,1567855200,0.00782,0.00782,0.00782,0.00782,0.80995938
18,1567855500,0.00779,0.00779,0.00779,0.00779,0.03287773
19,1567855800,0.00779,0.00779,0.00779,0.00779,1.2665
20,1567856100,0.00784,0.00784,0.00784,0.00784,1.67837015
21,1567856400,0.00781,0.00781,0.00781,0.00781,1.55575291
22,1567857600,0.00781,0.00781,0.00781,0.00781,1.25586475
23,1567857900,0.00782,0.00782,0.00782,0.00782,0.055944
24,1567858500,0.00782,0.00782,0.00782,0.00782,0.71822251
25,1567858800,0.00783,0.00783,0.00783,0.00783,1.06066101
26,1567859700,0.00784,0.00784,0.00784,0.00784,1.67837015
27,1567860000,0.00785,0.00785,0.00785,0.00785,4.2
28,1567860900,0.00786,0.00786,0.00786,0.00786,3.130869
29,1567861200,0.00786,0.00786,0.00786,0.00786,0.03244908
30,1567862100,0.00788,0.00788,0.00788,0.00788,0.69926208
31,1567862400,0.00786,0.00786,0.00786,0.00786,5.22069315
32,1567863000,0.00788,0.00788,0.00788,0.00788,2.41320519
33,1567863300,0.00788,0.00788,0.00787,0.00787,5.67457124
34,1567863900,0.00787,0.00787,0.00787,0.00787,2.12329035
35,1567864500,0.00787,0.00787,0.00787,0.00787,3.64556113
36,1567865100,0.00787,0.00787,0.00787,0.00787,2.54560988
37,1567866900,0.00785,0.00785,0.00785,0.00785,1.64457124
38,1567867800,0.00787,0.00787,0.00787,0.00787,1.37907176
39,1567869300,0.00788,0.00791,0.00786,0.00786,4.97258814
40,1567869600,0.0079,0.0079,0.0079,0.0079,0.03096899
41,1567869900,0.00787,0.00787,0.00787,0.00787,0.53397703
42,1567870500,0.00789,0.00789,0.00789,0.00789,2.62368845
43,1567870800,0.00788,0.00789,0.00788,0.00789,1.13167371
44,1567871400,0.00791,0.00792,0.00791,0.00792,1.06462777
45,1567871700,0.00793,0.00793,0.00793,0.00793,1.23217649
46,1567872000,0.00791,0.00791,0.00791,0.00791,1.41543899
47,1567873200,0.0079,0.0079,0.0079,0.0079,3.50173532
48,1567874100,0.00791,0.00791,0.00791,0.00791,3.4312713
49,1567874400,0.00791,0.00791,0.00789,0.0079,0.61355063
50,1567875600,0.00788,0.00788,0.00788,0.00788,1.10202937
51,1567876200,0.0079,0.0079,0.0079,0.0079,1.33744214
52,1567876800,0.00794,0.00794,0.00794,0.00794,0.07278499
53,1567877400,0.00794,0.00794,0.00794,0.00794,1.5557529
54,1567878300,0.00793,0.00793,0.00793,0.00793,0.99790552
