,closing_time,open,high,low,close,base_volume
0,1566770700,90.408,90.412,90.268,90.316,275.56553533
1,1566771000,90.406,90.441,90.406,90.441,0.46069972
2,1566771300,90.457,90.664,90.457,90.664,0.3350093
3,1566771900,91.199,91.199,91.199,91.199,0.03948539
4,1566777000,91.026,91.026,90.812,90.812,45.0
5,1566777900,91.053,91.053,91.053,91.053,1.55443625
6,1566778200,91.484,91.484,91.484,91.484,0.70974627
7,1566778500,91.541,91.541,91.541,91.541,0.03028152
8,1566778800,92.392,93.765,92.39,93.765,47.79311658
9,1566779100,93.343,93.343,93.305,93.305,2.56210241
10,1566779400,92.885,92.885,92.885,92.885,0.18960658
11,1566782700,93.157,93.157,92.886,92.886,1.3665
12,1566783300,92.859,92.859,92.859,92.859,0.55271472
13,1566787200,92.48,92.48,92.48,92.48,0.10813148
14,1566790500,92.43,92.43,92.2,92.2,20.0
15,1566792000,92.018,92.018,91.656,91.931,29.66595771
16,1566799800,92.029,92.029,92.029,92.029,0.11389275
17,1566803700,92.212,92.212,92.212,92.212,0.2714
18,1566806400,91.705,91.705,91.705,91.705,0.82853548
19,1566807900,91.59,91.59,91.59,91.59,0.16828132
20,1566815700,91.361,91.361,91.361,91.361,0.1513397
21,1566821700,92.42,92.42,92.032,92.032,0.8126
22,1566828300,91.245,91.358,91.118,91.118,1.63641999
23,1566829800,91.471,91.471,91.471,91.471,1.2
24,1566831300,91.257,91.257,91.257,91.257,0.14974
25,1566832200,91.314,91.314,91.314,91.314,0.2235
26,1566833400,91.904,91.904,91.904,91.904,0.147428
27,1566834900,91.339,91.339,91.339,91.339,4.79588472
28,1566836700,91.781,91.781,91.183,91.183,5.80343573
29,1566837300,92.097,92.1,92.097,92.098,4.31148349
30,1566840000,91.591,91.591,91.591,91.591,0.04494
31,1566840900,91.544,91.544,91.544,91.544,0.38096
32,1566841800,91.51,91.51,91.51,91.51,0.05438001
33,1566843300,91.956,91.957,91.956,91.957,30.19323671
34,1566843900,91.821,91.979,91.821,91.979,20.14535659
35,1566848400,91.519,91.519,91.519,91.519,0.1025
36,1566849900,91.51,91.51,91.378,91.378,1.0
37,1566851100,91.35,91.35,91.15,91.15,1.0
38,1566860700,91.572,91.572,91.572,91.572,0.10861945
39,1566861900,91.388,91.462,91.388,91.462,5.66216001
40,1566862500,92.096,92.1,92.096,92.1,20.88840587
41,1566862800,92.1,92.1,92.1,92.1,86.06854122
42,1566866400,92.1,92.1,92.1,92.1,0.08
43,1566867300,92.1,92.1,91.887,91.887,0.23749078
44,1566873300,91.373,91.373,91.215,91.223,82.84518245
45,1566873600,91.223,91.223,91.223,91.223,6.60580687
46,1566873900,91.223,91.223,91.14,91.14,2.1503
47,1566874200,91.221,91.221,91.221,91.221,3.64442139
48,1566875100,90.85,90.85,90.803,90.803,3.90374
49,1566875700,90.803,90.803,90.644,90.644,15.46837658
50,1566876000,90.6,90.64,90.6,90.64,1.0
51,1566879600,90.467,90.467,90.467,90.467,10.41871068
52,1566880800,90.478,90.478,90.477,90.477,1.4
53,1566889800,91.127,91.128,91.127,91.128,73.52478135
54,1566890400,91.127,91.127,91.127,91.127,2.1947392
55,1566891600,90.439,90.439,90.389,90.389,27.82686909
56,1566891900,90.389,90.389,90.389,90.389,11.90718418
57,1566892200,90.389,90.389,90.389,90.389,0.38828673
58,1566899700,90.306,90.306,90.306,90.306,0.87201525
59,1566901500,90.723,90.723,90.709,90.709,0.27356416
60,1566902100,90.3,90.3,90.3,90.3,1.07108776
61,1566902700,90.3,90.3,90.3,90.3,0.25865111
62,1566904800,90.472,90.472,90.472,90.472,0.54
63,1566905400,90.3,90.3,90.3,90.3,2.505
64,1566905700,90.3,90.3,90.3,90.3,0.71930113
65,1566909000,90.179,90.179,90.06,90.12,9.8
66,1566911400,90.1,90.1,90.1,90.1,3.0
67,1566911700,90.1,90.1,90.1,90.1,4.0
68,1566912600,89.947,89.947,89.945,89.945,7.16
69,1566912900,90.1,90.1,90.1,90.1,14.71696767
70,1566913200,90.1,90.1,90.1,90.1,78.28303233
71,1566914100,90.588,91.385,90.588,90.72,275.68305989
72,1566919500,90.6,90.733,90.6,90.733,30.0
73,1566919800,90.324,90.324,90.324,90.324,3.52232322
74,1566920700,90.602,90.602,90.602,90.602,2.4865786
75,1566921600,90.825,90.87,90.825,90.87,351.33757
76,1566921900,90.929,91.0,90.929,91.0,35.58251338
77,1566927600,91.149,91.149,91.149,91.149,0.292
78,1566930300,91.14,91.18,91.14,91.18,0.38839939
79,1566933300,91.051,91.051,90.538,90.538,7.23006
80,1566937200,90.782,90.784,90.782,90.784,15.0
81,1566937500,90.873,90.873,90.873,90.873,8.6
82,1566941100,90.743,90.743,90.743,90.743,0.51660325
83,1566944400,90.266,90.441,90.264,90.441,2.04933469
84,1566962700,90.269,90.269,90.128,90.128,5.4534144
85,1566963300,89.943,89.943,89.62,89.62,1.03060828
86,1566968400,89.397,89.397,88.812,89.252,14.24084613
87,1566968700,89.09,89.15,89.09,89.15,0.24481692
88,1566969000,88.99,88.99,88.99,88.99,0.11858019
89,1566969300,88.99,88.99,88.617,88.617,0.64494887
90,1566969900,89.096,89.096,89.047,89.047,0.84489942
91,1566970200,89.079,89.079,89.077,89.077,0.24492009
92,1566973500,89.71,89.852,89.71,89.736,1.46121085
93,1566973800,89.736,89.736,89.736,89.736,0.03948539
94,1566975600,89.86,89.86,89.86,89.86,186.0
95,1566980700,89.852,89.852,89.852,89.852,2.0
96,1566988500,89.472,89.472,89.472,89.472,0.07373
97,1566992400,88.881,88.881,88.881,88.881,0.1
98,1566992700,89.231,89.231,89.217,89.217,0.3
99,1566993300,88.952,88.952,88.952,88.952,0.03
100,1566998100,89.774,90.383,89.774,90.035,4.9405931
101,1566998700,89.591,89.591,89.591,89.591,0.17560525
102,1566999600,89.279,89.292,89.279,89.292,1.88333834
103,1567000500,89.272,89.272,89.179,89.179,1.8833383
104,1567001400,89.073,89.073,89.073,89.073,1.8833383
105,1567002300,89.079,89.079,89.073,89.073,47.90971336
106,1567002900,89.575,89.575,89.575,89.575,0.221186
107,1567005000,90.053,90.053,90.053,90.053,0.762
108,1567005900,89.556,89.556,89.556,89.556,0.0381
109,1567006800,89.639,89.639,89.639,89.639,0.0381
110,1567007400,89.639,89.639,89.639,89.639,0.0381
111,1567008300,89.502,89.502,89.502,89.502,0.0381
112,1567009200,89.855,89.855,89.66,89.851,11.0381
113,1567009500,89.76,89.76,89.76,89.76,0.4
114,1567010100,89.484,89.484,89.484,89.484,0.51732746
115,1567011000,89.632,89.639,89.632,89.639,0.89240653
116,1567011600,89.637,89.637,89.637,89.637,0.038618
117,1567011900,89.651,89.651,89.65,89.65,0.89240654
118,1567012800,89.622,89.622,89.622,89.622,0.93102455
119,1567013400,89.657,89.657,89.657,89.657,11.1205111
120,1567013700,89.555,89.564,89.551,89.557,114.63855801
121,1567014600,89.413,89.422,89.413,89.414,4.7253698
122,1567014900,89.414,89.819,89.185,89.185,158.54034675
123,1567015200,89.206,89.206,89.203,89.203,22.57854344
124,1567015500,88.84,88.84,87.91,87.91,25.69870039
125,1567015800,87.911,88.442,87.911,88.281,2.7947392
126,1567016100,87.5,87.769,86.628,86.783,136.64709517
127,1567016400,86.849,87.284,85.0,85.349,245.75490831
128,1567016700,85.348,86.205,84.407,85.588,96.07035634
129,1567017000,86.16,86.2,85.607,85.97,4.668
130,1567017300,85.77,86.14,85.77,86.14,32.78358593
131,1567017600,86.21,86.21,86.2,86.2,2.6
132,1567017900,86.0,86.207,85.81,86.111,4.01644455
133,1567018200,85.598,85.615,85.596,85.6,72.83198158
134,1567019400,86.132,86.402,86.132,86.39,4.80897358
135,1567019700,86.266,86.266,86.266,86.266,0.077661
136,1567020000,86.108,86.108,86.108,86.108,0.05961733
137,1567020600,85.6,85.6,85.598,85.598,66.25309498
138,1567020900,85.598,85.6,85.598,85.6,34.75151502
139,1567022100,84.839,85.169,84.746,85.158,5.7701815
140,1567022400,84.519,85.012,84.517,85.004,18.30064367
141,1567022700,84.623,85.004,84.623,84.795,0.6
142,1567023000,84.693,84.693,84.609,84.609,1.22603591
143,1567023900,84.413,84.413,84.413,84.413,0.03027464
144,1567025400,84.722,84.722,84.722,84.722,0.075983
145,1567031100,84.68,84.68,84.368,84.368,0.64101
146,1567031400,84.655,84.655,84.112,84.112,48.36087126
147,1567031700,84.659,84.661,84.659,84.661,4.19101735
148,1567032000,84.781,84.781,84.781,84.781,11.351173
149,1567033200,84.362,84.365,84.21,84.222,125.91625
150,1567033800,84.971,84.971,84.971,84.971,0.9
151,1567034100,85.0,85.0,84.957,84.957,2.24828969
152,1567034700,84.538,84.538,84.538,84.538,0.54
153,1567035600,84.871,84.873,84.871,84.873,2.70409129
154,1567036200,84.683,84.683,84.683,84.683,0.29111556
155,1567036500,84.214,84.222,84.214,84.222,1.19999999
156,1567037400,84.181,84.181,84.181,84.181,0.13412
157,1567038300,84.471,84.471,84.33,84.33,4.6531409
158,1567038600,84.33,84.33,84.126,84.126,21.66999
159,1567040400,84.052,84.052,83.924,83.925,78.97154706
160,1567040700,83.927,84.19,83.927,84.13,4.86426
161,1567041300,84.06,84.06,84.06,84.06,1.2
162,1567043400,83.756,83.758,83.587,83.591,21.19591236
163,1567044000,83.972,83.972,83.966,83.966,5.0
164,1567044300,83.94,83.94,83.94,83.94,0.84023409
165,1567044600,83.887,83.887,83.887,83.887,0.04765308
166,1567044900,83.795,83.795,83.795,83.795,0.04768319
167,1567045200,83.544,83.545,83.541,83.541,4.27908631
168,1567045500,83.475,83.475,83.403,83.403,0.11459487
169,1567046400,83.295,83.295,83.29,83.29,0.4214036
170,1567046700,82.819,82.819,82.672,82.672,55.16436002
171,1567047000,82.306,82.442,82.0,82.076,13.96505137
172,1567047300,82.143,82.147,82.08,82.111,12.6
173,1567047600,81.97,81.97,81.97,81.97,2.019
