,closing_time,open,high,low,close,base_volume
0,1565945100,0.0003555,0.0003555,0.0003555,0.0003555,30.0
1,1565945400,0.0003557,0.0003557,0.0003535,0.0003535,76.0
2,1565946300,0.000353,0.000353,0.000353,0.000353,25.0
3,1565947500,0.0003542,0.0003542,0.0003542,0.0003542,91.15736439
4,1565948100,0.0003542,0.0003542,0.0003542,0.0003542,10.0
5,1565948700,0.000353,0.000353,0.000353,0.000353,14.48737579
6,1565950800,0.000353,0.000353,0.0003528,0.0003528,52.0760803
7,1565951100,0.0003528,0.0003528,0.0003526,0.0003526,65.98
8,1565951400,0.0003526,0.0003526,0.0003521,0.0003521,128.61559949
9,1565951700,0.000352,0.000352,0.0003518,0.0003518,20.43479265
10,1565952600,0.0003518,0.0003518,0.0003518,0.0003518,11.05
11,1565952900,0.0003517,0.0003518,0.0003517,0.0003518,35.97501
12,1565954100,0.000353,0.000353,0.000353,0.000353,70.0
13,1565954400,0.000353,0.000353,0.000353,0.000353,56.65722379
14,1565954700,0.0003539,0.0003539,0.0003524,0.0003524,37.55817713
15,1565955000,0.0003543,0.0003543,0.0003543,0.0003543,5.55644695
16,1565955300,0.0003538,0.0003538,0.0003533,0.0003533,398.8
17,1565955600,0.0003544,0.0003547,0.0003544,0.0003547,2193.30965371
18,1565956200,0.0003518,0.0003522,0.0003482,0.0003482,1671.17707703
19,1565956500,0.0003485,0.0003485,0.0003485,0.0003485,100.0
20,1565958300,0.00035,0.00035,0.0003498,0.0003498,80.39827344
21,1565959800,0.0003494,0.0003494,0.0003491,0.0003491,933.2754
22,1565960400,0.0003504,0.0003504,0.0003504,0.0003504,3.18464597
23,1565961300,0.0003518,0.0003518,0.0003518,0.0003518,37.22013742
24,1565962200,0.000352,0.0003525,0.000352,0.0003525,70.0
25,1565963100,0.0003516,0.0003516,0.00035,0.00035,177.04641853
26,1565964300,0.0003502,0.0003502,0.0003499,0.0003499,46.3072122
27,1565964900,0.0003512,0.0003512,0.0003512,0.0003512,50.0
28,1565965200,0.0003499,0.0003499,0.0003499,0.0003499,50.0
29,1565965800,0.0003505,0.0003505,0.0003505,0.0003505,175.26846615
30,1565966400,0.0003518,0.0003518,0.0003518,0.0003518,50.0
31,1565967600,0.0003513,0.0003513,0.0003513,0.0003513,3.0
32,1565968200,0.0003511,0.0003511,0.0003498,0.0003498,86.99605047
33,1565969100,0.0003503,0.0003503,0.0003503,0.0003503,3.0
34,1565969400,0.0003495,0.0003495,0.0003495,0.0003495,4.964
35,1565969700,0.000349,0.000349,0.000348,0.000348,73.82304044
36,1565970300,0.0003463,0.0003463,0.0003463,0.0003463,225.0
37,1565971800,0.0003463,0.0003463,0.0003462,0.0003462,340.0061898
38,1565972700,0.000346,0.000346,0.0003452,0.0003452,43.33176517
39,1565973300,0.0003456,0.0003456,0.0003456,0.0003456,155.51738223
40,1565974500,0.0003456,0.0003463,0.0003456,0.0003463,34.64
41,1565976600,0.000344,0.000344,0.0003439,0.0003439,20.0
42,1565978700,0.0003448,0.000345,0.0003448,0.000345,145.35231616
43,1565979300,0.0003446,0.0003446,0.0003446,0.0003446,3.0
44,1565979600,0.0003446,0.0003446,0.0003446,0.0003446,17.63071529
45,1565980800,0.000345,0.000345,0.000345,0.000345,55.281854
46,1565981100,0.000345,0.0003454,0.000345,0.0003454,3.03401741
47,1565983200,0.0003451,0.0003451,0.0003451,0.0003451,3.0
48,1565986500,0.0003422,0.0003422,0.0003421,0.0003421,299.52075084
49,1565986800,0.0003429,0.0003441,0.0003429,0.0003441,504.98699996
50,1565989200,0.0003468,0.0003468,0.0003468,0.0003468,3.16909046
51,1565990100,0.0003464,0.0003464,0.0003464,0.0003464,3.0
52,1565991900,0.0003459,0.0003459,0.0003459,0.0003459,25.0
53,1565993100,0.0003481,0.0003489,0.0003481,0.0003489,392.37499032
54,1565993400,0.0003481,0.0003481,0.0003481,0.0003481,14.45
55,1565994900,0.0003496,0.0003496,0.0003493,0.0003493,350.05799716
56,1565996100,0.000347,0.000347,0.000347,0.000347,143.741141
57,1565997300,0.0003469,0.0003469,0.0003469,0.0003469,3.0
58,1565998200,0.0003469,0.0003469,0.0003469,0.0003469,51.03248072
59,1565999700,0.0003463,0.0003474,0.0003463,0.0003474,9.65738141
60,1566004500,0.0003467,0.0003467,0.0003467,0.0003467,50.39630046
61,1566005400,0.0003461,0.0003461,0.0003461,0.0003461,29.79645704
62,1566007500,0.0003452,0.0003452,0.0003446,0.0003446,500.0
