,closing_time,open,high,low,close,base_volume
0,1567980900,3.7302,3.7302,3.7302,3.7302,131.99954504
1,1567984800,3.7448,3.7448,3.7446,3.7446,149.0
2,1567985400,3.755,3.7658,3.755,3.7656,3636.65310733
3,1567985700,3.7681,3.77,3.7681,3.77,967.56433779
4,1567986300,3.7649,3.7658,3.7649,3.7658,75.31299734
5,1567986600,3.7605,3.7605,3.7605,3.7605,16.29824284
6,1567986900,3.781,3.781,3.781,3.781,33.0
7,1567987200,3.7773,3.79,3.772,3.79,447.93506752
8,1567987500,3.8001,3.8005,3.7967,3.798,510.86532937
9,1567987800,3.778,3.778,3.758,3.758,958.64021655
10,1567988700,3.7593,3.7593,3.7593,3.7593,80.0
11,1567991400,3.7245,3.7245,3.7218,3.7218,1600.0
12,1567991700,3.7367,3.7367,3.7313,3.7313,139.87280869
13,1567992600,3.7416,3.7416,3.7363,3.7363,154.89803374
14,1567993800,3.7263,3.7263,3.7263,3.7263,312.9384
15,1567994100,3.7218,3.7218,3.7218,3.7218,268.68719437
16,1567994700,3.7267,3.7332,3.7267,3.7332,86.2269045
17,1567997100,3.71,3.71,3.7047,3.7047,62.762
18,1567997400,3.697,3.697,3.6912,3.6912,417.22421815
19,1567998000,3.6872,3.6872,3.6412,3.6635,8491.04731543
20,1567998300,3.6663,3.6793,3.6663,3.6792,372.13308541
21,1567999500,3.688,3.688,3.688,3.688,3.453405
22,1567999800,3.6861,3.6861,3.6861,3.6861,149.61101137
23,1568000400,3.671,3.671,3.6694,3.6694,812.7768
24,1568000700,3.6688,3.6688,3.6688,3.6688,110.0
25,1568001600,3.6795,3.6795,3.6795,3.6795,86.79
26,1568001900,3.6839,3.6839,3.6839,3.6839,139.74910879
27,1568002500,3.6713,3.6713,3.6614,3.6614,2000.0
28,1568002800,3.6589,3.6589,3.6469,3.6529,1034.725
29,1568003100,3.6416,3.6416,3.6295,3.6295,753.93
30,1568003400,3.6381,3.6381,3.6331,3.6376,126.39422805
31,1568003700,3.6392,3.6392,3.6392,3.6392,55.72808999
32,1568004000,3.6474,3.6474,3.6474,3.6474,236.06797749
