,closing_time,open,high,low,close,base_volume
0,1567099800,6.095,6.095,6.081,6.081,30.802
1,1567100100,6.118,6.118,6.118,6.118,2.0
2,1567100400,6.11,6.111,6.11,6.111,216.76094811
3,1567100700,6.11,6.117,6.099,6.099,598.09488064
4,1567101000,6.091,6.091,6.091,6.091,14.05605605
5,1567101600,6.075,6.075,6.051,6.051,30.16994595
6,1567101900,6.023,6.067,6.023,6.067,11.9168
7,1567103400,6.039,6.039,6.039,6.039,9.8927
8,1567103700,6.097,6.097,6.097,6.097,34.23
9,1567104000,6.096,6.097,6.096,6.097,42.19768154
10,1567104600,6.065,6.065,6.065,6.065,19.21
11,1567104900,6.047,6.048,6.046,6.048,120.07669717
12,1567105200,6.036,6.036,6.025,6.028,273.15131265
13,1567105500,6.026,6.026,6.026,6.026,5.25039827
14,1567105800,6.024,6.024,6.008,6.008,9.9625
15,1567106700,6.025,6.046,6.025,6.046,34.9917
16,1567107000,6.038,6.038,6.036,6.036,27.57671277
17,1567107300,6.036,6.036,6.036,6.036,9.9254
18,1567108200,6.042,6.043,6.033,6.033,26.86863857
19,1567108500,6.033,6.054,6.033,6.045,89.77585661
20,1567108800,6.055,6.055,6.055,6.055,15.0
21,1567109100,6.02,6.057,6.02,6.054,266.09020909
22,1567110900,6.052,6.053,5.976,6.053,690.13320917
23,1567111800,6.06,6.062,6.054,6.054,22.925845
24,1567115100,6.09,6.09,5.999,5.999,1426.4257747
25,1567116300,6.072,6.072,6.072,6.072,5.21986166
26,1567116600,6.071,6.072,6.069,6.072,76.58786041
27,1567117200,6.06,6.06,6.06,6.06,36.03146
28,1567117500,6.06,6.06,6.06,6.06,18.5
29,1567117800,6.056,6.058,6.044,6.044,60.53049
30,1567118100,6.032,6.033,6.032,6.033,43.41653866
31,1567118400,6.029,6.029,6.028,6.029,235.56984452
32,1567120200,6.02,6.032,6.02,6.032,510.38211
33,1567120500,6.05,6.05,6.049,6.049,73.291132
34,1567120800,6.051,6.051,6.046,6.051,314.87134144
35,1567121100,6.046,6.046,6.046,6.046,606.75012476
36,1567122300,6.052,6.055,6.052,6.055,46.90294416
37,1567122600,6.055,6.055,6.055,6.055,36.25004305
38,1567123500,6.051,6.103,6.051,6.103,24.64215399
39,1567124100,6.026,6.026,5.933,5.941,1003.23077154
40,1567124400,6.021,6.021,5.977,5.977,963.90359934
41,1567124700,5.962,5.962,5.946,5.946,334.18539144
42,1567125000,5.934,5.934,5.934,5.934,197.0
43,1567126200,5.93,5.93,5.93,5.93,500.0
44,1567126800,5.948,5.948,5.948,5.948,42.51785474
45,1567127400,5.919,5.919,5.872,5.872,405.05283491
46,1567127700,5.881,5.881,5.875,5.875,90.09264263
47,1567128300,5.89,5.89,5.89,5.89,52.83105656
48,1567128600,5.919,5.949,5.919,5.949,367.9634085
49,1567128900,5.926,5.937,5.907,5.937,522.67794447
50,1567129200,5.906,5.906,5.906,5.906,515.66984
51,1567130700,5.982,5.982,5.981,5.981,0.611388
52,1567131000,6.0,6.0,6.0,6.0,42.18450258
53,1567131300,6.038,6.038,6.038,6.038,66.09865819
54,1567132500,6.027,6.027,6.027,6.027,35.03592
55,1567132800,6.061,6.062,6.061,6.062,25.0
56,1567133100,6.006,6.006,6.006,6.006,25.0
57,1567136700,6.093,6.094,6.093,6.094,150.999
58,1567138500,6.1,6.1,6.078,6.078,36.31610727
59,1567138800,6.062,6.063,6.062,6.063,18.8088088
60,1567140000,6.079,6.079,6.079,6.079,316.25205109
61,1567140300,6.129,6.15,6.129,6.15,37.00149817
62,1567140600,6.136,6.144,6.136,6.144,7.15869234
63,1567141200,6.149,6.149,6.142,6.142,201.6026026
64,1567141500,6.144,6.144,6.144,6.144,4.42098023
65,1567141800,6.15,6.18,6.15,6.18,52.13491283
66,1567144200,6.18,6.18,6.18,6.18,15.3021711
67,1567145700,6.208,6.228,6.207,6.228,22.6258
68,1567146000,6.241,6.241,6.241,6.241,0.30588047
69,1567146300,6.264,6.3,6.264,6.3,432.44629196
70,1567146600,6.3,6.3,6.279,6.279,23.52772671
71,1567146900,6.285,6.285,6.285,6.285,18.10894781
72,1567148700,6.271,6.271,6.248,6.248,30.01543174
73,1567150200,6.289,6.289,6.289,6.289,26.8840778
74,1567153200,6.3,6.305,6.3,6.305,50.03766614
75,1567153500,6.301,6.301,6.301,6.301,24.40832346
76,1567154400,6.346,6.375,6.346,6.375,620.12814404
77,1567154700,6.39,6.395,6.39,6.395,123.44014404
78,1567155000,6.4,6.4,6.4,6.4,100.0
79,1567155300,6.417,6.417,6.417,6.417,269.4
80,1567155900,6.392,6.392,6.389,6.389,1030.30647837
81,1567156200,6.388,6.388,6.387,6.387,200.0
82,1567156500,6.435,6.435,6.433,6.435,20.73815986
83,1567156800,6.459,6.46,6.456,6.456,416.38283373
84,1567157400,6.457,6.467,6.457,6.457,606.31561418
85,1567157700,6.457,6.475,6.457,6.475,38.64264448
86,1567158600,6.477,6.477,6.477,6.477,3.39223406
87,1567158900,6.448,6.448,6.447,6.447,163.70439567
88,1567159500,6.479,6.479,6.465,6.465,183.19026438
89,1567159800,6.461,6.461,6.46,6.46,37.52981542
90,1567160100,6.483,6.483,6.483,6.483,650.15479876
91,1567161600,6.414,6.439,6.414,6.439,162.01245739
92,1567161900,6.415,6.415,6.304,6.304,2047.47274121
93,1567162200,6.371,6.371,6.371,6.371,9.99839899
94,1567162500,6.366,6.366,6.366,6.366,2.0
95,1567163100,6.347,6.35,6.347,6.35,300.1
96,1567163700,6.333,6.333,6.278,6.282,281.49623282
97,1567164000,6.296,6.328,6.29,6.328,684.26587731
98,1567164300,6.335,6.346,6.335,6.346,102.0
99,1567166700,6.318,6.318,6.318,6.318,25.0
100,1567167000,6.372,6.372,6.372,6.372,0.30210296
101,1567167300,6.388,6.389,6.388,6.389,25.99785741
102,1567167900,6.405,6.405,6.405,6.405,94.27501
103,1567168200,6.4,6.401,6.381,6.381,243.81528375
104,1567168500,6.369,6.369,6.318,6.318,641.017
105,1567168800,6.328,6.341,6.328,6.341,296.55111541
106,1567169400,6.341,6.341,6.34,6.34,4.2
107,1567170000,6.361,6.382,6.361,6.382,25.37209647
108,1567170300,6.367,6.367,6.367,6.367,9.4638
109,1567171500,6.359,6.359,6.359,6.359,88.42313989
110,1567171800,6.36,6.36,6.36,6.36,9.4255
111,1567173900,6.392,6.392,6.378,6.378,193.59938857
112,1567174500,6.35,6.35,6.335,6.335,545.223
113,1567174800,6.33,6.33,6.329,6.329,383.223
114,1567175100,6.324,6.324,6.323,6.323,300.1
115,1567175400,6.319,6.319,6.284,6.284,462.7
116,1567175700,6.293,6.293,6.284,6.284,236.407182
117,1567176600,6.291,6.291,6.291,6.291,17.81
118,1567176900,6.271,6.271,6.243,6.243,36.014106
119,1567177200,6.255,6.288,6.244,6.271,17.44607044
120,1567178100,6.287,6.287,6.264,6.266,36.61178557
121,1567178400,6.309,6.309,6.309,6.309,0.87949375
122,1567180200,6.273,6.273,6.273,6.273,9.5104
123,1567181400,6.256,6.256,6.24,6.242,149.63728942
124,1567181700,6.274,6.289,6.274,6.289,5.553045
125,1567182000,6.283,6.31,6.283,6.31,1.998
126,1567182300,6.31,6.31,6.247,6.247,547.27571
127,1567182600,6.312,6.38,6.312,6.365,1210.34806714
128,1567182900,6.37,6.37,6.37,6.37,3.003003
129,1567183200,6.346,6.346,6.332,6.332,523.25357197
130,1567183500,6.339,6.339,6.339,6.339,0.30657979
131,1567184100,6.38,6.382,6.364,6.382,15815.55979463
132,1567184400,6.4,6.439,6.4,6.439,31.85303812
133,1567184700,6.427,6.427,6.422,6.422,20.0
134,1567185000,6.447,6.447,6.447,6.447,1.998
135,1567185300,6.466,6.473,6.466,6.473,11.50478515
136,1567185600,6.475,6.497,6.475,6.497,500.32538095
137,1567185900,6.492,6.492,6.471,6.471,19.2363
138,1567186200,6.5,6.5,6.5,6.5,10.0
139,1567186500,6.515,6.515,6.515,6.515,0.30904908
140,1567187100,6.511,6.519,6.511,6.519,1190.0
141,1567187400,6.52,6.533,6.52,6.52,14.2096
142,1567187700,6.52,6.52,6.512,6.513,240.14783824
143,1567188300,6.517,6.517,6.517,6.517,12.302685
144,1567188600,6.528,6.528,6.525,6.525,47.11859071
145,1567188900,6.531,6.531,6.518,6.53,72.85322172
146,1567189200,6.531,6.531,6.531,6.531,0.91900252
147,1567189500,6.531,6.544,6.531,6.544,20.85838121
148,1567189800,6.556,6.556,6.556,6.556,10.22516901
149,1567190100,6.534,6.534,6.534,6.534,115.439082
150,1567190400,6.546,6.632,6.539,6.554,330.49633419
151,1567190700,6.555,6.555,6.552,6.552,66.64211405
152,1567191000,6.538,6.539,6.538,6.539,85.66826347
153,1567191300,6.547,6.55,6.547,6.55,49.58950134
154,1567191600,6.554,6.554,6.525,6.525,79.25155653
155,1567191900,6.509,6.509,6.5,6.5,24.6977
156,1567192800,6.503,6.503,6.503,6.503,11.562648
157,1567193700,6.525,6.525,6.525,6.525,1.96050665
158,1567194000,6.525,6.525,6.511,6.511,16.81527291
159,1567194300,6.516,6.516,6.516,6.516,7.27
160,1567194600,6.524,6.525,6.524,6.525,16.47057139
161,1567195200,6.525,6.525,6.522,6.522,34.96003668
162,1567195500,6.522,6.526,6.522,6.526,44.5633799
163,1567195800,6.558,6.562,6.558,6.562,14.1971
164,1567196100,6.558,6.558,6.533,6.533,3.4724
165,1567196700,6.541,6.544,6.541,6.544,97.3269077
166,1567197000,6.557,6.557,6.557,6.557,2.05
167,1567197300,6.54,6.54,6.54,6.54,2.2599503
168,1567198200,6.549,6.558,6.549,6.558,76.60536713
169,1567198500,6.552,6.552,6.552,6.552,19.98
170,1567198800,6.539,6.539,6.539,6.539,29.90237094
171,1567199700,6.531,6.531,6.531,6.531,5.0
172,1567200300,6.519,6.519,6.519,6.519,6.006006
173,1567200600,6.533,6.533,6.53,6.53,20.35350802
174,1567200900,6.53,6.53,6.508,6.508,300.0
175,1567201200,6.502,6.502,6.48,6.48,74.30490531
176,1567201500,6.482,6.482,6.42,6.426,2874.05524922
177,1567208100,6.428,6.428,6.428,6.428,4.2
178,1567209300,6.431,6.431,6.431,6.431,25.0
179,1567209600,6.404,6.404,6.404,6.404,160.0
180,1567210800,6.39,6.407,6.362,6.407,101.42127992
181,1567211100,6.398,6.398,6.398,6.398,0.30462
182,1567211400,6.398,6.398,6.398,6.398,6.45e-06
183,1567213500,6.444,6.444,6.444,6.444,4.573
184,1567214700,6.481,6.488,6.481,6.488,300.0
185,1567215000,6.492,6.492,6.492,6.492,36.23068185
186,1567215300,6.505,6.505,6.505,6.505,84.87059837
187,1567217100,6.467,6.467,6.467,6.467,2.84775
188,1567217700,6.431,6.431,6.431,6.431,100.0
189,1567221000,6.506,6.598,6.5,6.5,1232.906007
190,1567221300,6.516,6.516,6.516,6.516,0.31150551
191,1567223400,6.509,6.509,6.509,6.509,17.0
192,1567225200,6.45,6.45,6.45,6.45,50.0
193,1567225500,6.412,6.412,6.412,6.412,1.0
194,1567226100,6.441,6.441,6.441,6.441,1.70860515
195,1567226700,6.46,6.46,6.46,6.46,1.54798761
196,1567228500,6.436,6.438,6.436,6.438,6.666665
197,1567233600,6.435,6.435,6.42,6.42,139.15908346
198,1567238100,6.363,6.363,6.363,6.363,0.30755933
199,1567238700,6.352,6.352,6.352,6.352,15.93
200,1567239000,6.333,6.333,6.303,6.303,519.25948626
201,1567240200,6.303,6.303,6.303,6.303,76.9526741
202,1567240500,6.337,6.364,6.337,6.364,11.0
203,1567243200,6.376,6.379,6.376,6.379,493.7
204,1567244400,6.345,6.345,6.343,6.343,14.21174822
205,1567248600,6.377,6.379,6.377,6.379,168.02223
206,1567249800,6.401,6.401,6.401,6.401,11.33733733
207,1567250100,6.385,6.385,6.369,6.369,21.01354282
208,1567251600,6.412,6.412,6.412,6.412,3.5
209,1567252500,6.421,6.421,6.421,6.421,0.320679
210,1567253100,6.392,6.393,6.392,6.393,20.02002002
211,1567253400,6.384,6.384,6.384,6.384,26.03229229
212,1567254600,6.358,6.358,6.352,6.352,32.97163793
213,1567255200,6.395,6.395,6.395,6.395,0.310689
214,1567255800,6.402,6.402,6.382,6.382,9.79025304
215,1567256700,6.433,6.433,6.406,6.409,47.77518815
216,1567257900,6.406,6.407,6.406,6.407,21.51761611
217,1567259100,6.398,6.398,6.396,6.396,16.97766957
218,1567261500,6.408,6.408,6.408,6.408,11.45905906
219,1567261800,6.434,6.434,6.434,6.434,2.6
220,1567262100,6.435,6.443,6.435,6.443,15.93
221,1567262700,6.401,6.407,6.401,6.407,50.91018232
222,1567264200,6.4,6.4,6.4,6.4,0.3225
223,1567268100,6.385,6.396,6.385,6.396,40.04004004
224,1567268400,6.364,6.364,6.364,6.364,0.42996513
225,1567269600,6.4,6.4,6.378,6.378,162.12314186
226,1567271700,6.361,6.361,6.361,6.361,4.9949827
227,1567275900,6.361,6.361,6.361,6.361,7.01001001
228,1567280400,6.351,6.351,6.351,6.351,15.412376
229,1567282500,6.351,6.351,6.351,6.351,6.59950634
230,1567282800,6.322,6.322,6.321,6.321,65.58849103
231,1567284000,6.31,6.31,6.31,6.31,15.93
232,1567284600,6.3,6.3,6.3,6.3,33.31466666
233,1567285800,6.297,6.297,6.258,6.267,368.00763654
234,1567287600,6.361,6.361,6.361,6.361,56.69585147
235,1567287900,6.351,6.364,6.35,6.364,621.90285245
236,1567288500,6.408,6.418,6.408,6.418,2.002
237,1567290300,6.432,6.432,6.432,6.432,11.01101101
238,1567290900,6.41,6.41,6.41,6.41,4.88888888
239,1567291200,6.443,6.443,6.443,6.443,3.0
240,1567291800,6.392,6.392,6.392,6.392,10.0
241,1567293000,6.37,6.37,6.367,6.367,52.05389005
242,1567293900,6.378,6.378,6.378,6.378,105.45824
243,1567294500,6.38,6.38,6.38,6.38,3.69154116
244,1567295100,6.369,6.369,6.356,6.359,153.40669984
245,1567295400,6.35,6.35,6.349,6.349,25.78031614
246,1567296600,6.349,6.349,6.343,6.343,141.5237
247,1567297200,6.367,6.367,6.367,6.367,11.0
248,1567298700,6.369,6.369,6.369,6.369,22.0
249,1567311300,6.412,6.413,6.405,6.405,119.98917172
250,1567311600,6.397,6.397,6.397,6.397,17.30780375
251,1567311900,6.42,6.42,6.42,6.42,15.93
252,1567312500,6.377,6.377,6.377,6.377,15.4131523
253,1567312800,6.372,6.372,6.365,6.366,276.53970232
254,1567314300,6.35,6.35,6.35,6.35,1.001001
255,1567319100,6.358,6.358,6.358,6.358,1.001001
256,1567319400,6.359,6.359,6.341,6.341,26.92001001
257,1567319700,6.323,6.323,6.323,6.323,35.53737376
258,1567320300,6.349,6.349,6.338,6.338,16.61381
259,1567321500,6.34,6.34,6.34,6.34,1.0
260,1567324200,6.397,6.397,6.395,6.395,250.0
261,1567325100,6.355,6.355,6.338,6.338,285.5
262,1567326300,6.3,6.3,6.3,6.3,50.79365
263,1567328400,6.348,6.348,6.348,6.348,10.0
264,1567332900,6.299,6.299,6.279,6.279,35.3765411
265,1567338000,6.315,6.315,6.304,6.304,45.46626196
266,1567338600,6.315,6.318,6.315,6.318,46.2665568
267,1567339200,6.316,6.333,6.316,6.33,29.306
268,1567339800,6.316,6.316,6.313,6.313,555.53954476
269,1567340100,6.292,6.292,6.292,6.292,4.82882882
270,1567340700,6.324,6.332,6.324,6.332,16.88176
271,1567341000,6.334,6.334,6.32,6.32,11.11629
272,1567343100,6.285,6.285,6.285,6.285,20.02002002
273,1567347000,6.285,6.285,6.285,6.285,20.02002002
274,1567347300,6.283,6.283,6.28,6.282,18.62613127
275,1567350600,6.32,6.32,6.32,6.32,0.1
276,1567352400,6.335,6.335,6.335,6.335,24.58842039
