,closing_time,open,high,low,close,base_volume
0,1571307000,0.02193,0.02193,0.0219,0.0219,61.03747525
1,1571307300,0.02189,0.02189,0.02187,0.02187,49.89
2,1571307600,0.0219,0.02196,0.0219,0.02192,88.72902242
3,1571307900,0.02193,0.02193,0.02193,0.02193,0.40955352
4,1571308200,0.02192,0.02195,0.02192,0.02195,16.60021064
5,1571308500,0.02193,0.02193,0.02191,0.02191,4.02848248
6,1571308800,0.02191,0.02191,0.02191,0.02191,11.32768516
7,1571309100,0.0219,0.0219,0.02187,0.02187,4.31827458
8,1571309400,0.02189,0.02189,0.02187,0.02189,0.58502609
9,1571309700,0.02187,0.02187,0.02186,0.02186,6.88951928
10,1571310000,0.02187,0.02188,0.02187,0.02188,2.86171127
11,1571310300,0.02188,0.02188,0.02185,0.02185,51.67366774
12,1571310600,0.02185,0.02185,0.02183,0.02183,4.51599183
13,1571310900,0.02184,0.02188,0.02184,0.02188,4.066
14,1571312100,0.02184,0.02185,0.0218,0.0218,125.98085651
15,1571312400,0.02184,0.02186,0.02183,0.02184,2.44696227
16,1571312700,0.02186,0.02186,0.02185,0.02185,11.08254245
17,1571313000,0.02182,0.02182,0.02182,0.02182,0.25381256
18,1571313300,0.02184,0.02184,0.02184,0.02184,0.65
19,1571313900,0.02185,0.02187,0.02185,0.02187,20.0
20,1571314200,0.02187,0.02188,0.02187,0.02188,2.30239821
21,1571314500,0.02187,0.0219,0.02187,0.0219,18.13131507
22,1571314800,0.02187,0.02189,0.02187,0.02189,1.09389264
23,1571315100,0.0219,0.0219,0.0219,0.0219,0.02
24,1571315400,0.02188,0.02188,0.02188,0.02188,1.497
25,1571315700,0.02191,0.02192,0.0219,0.0219,5.02
26,1571316300,0.0219,0.0219,0.0219,0.0219,20.084
27,1571316600,0.02191,0.02194,0.02191,0.02194,28.04953454
28,1571316900,0.02194,0.02194,0.02194,0.02194,0.31651681
29,1571317500,0.02196,0.02196,0.02196,0.02196,0.61171079
30,1571317800,0.02197,0.022,0.02197,0.022,176.605
31,1571318400,0.02197,0.02199,0.02197,0.02199,35.0
32,1571318700,0.02194,0.022,0.02194,0.022,95.92152302
33,1571319900,0.02197,0.02197,0.02197,0.02197,18.19621906
34,1571320500,0.02196,0.02196,0.02194,0.02195,1.41098997
35,1571320800,0.02192,0.02192,0.02191,0.02191,50.58495632
36,1571321100,0.0219,0.0219,0.0219,0.0219,11.22623226
37,1571321400,0.0219,0.02192,0.0219,0.02192,2.14674968
38,1571321700,0.0219,0.0219,0.0219,0.0219,25.36308061
39,1571322000,0.02188,0.02188,0.02188,0.02188,1.26530293
40,1571322600,0.02187,0.02187,0.02187,0.02187,4.0
41,1571322900,0.0219,0.0219,0.0219,0.0219,0.51987196
42,1571323200,0.0219,0.02193,0.0219,0.02193,58.41189626
43,1571323500,0.02193,0.02193,0.02193,0.02193,1.381323
44,1571323800,0.02196,0.02196,0.02196,0.02196,2.415391
45,1571324100,0.02193,0.02195,0.02193,0.02195,7.31
46,1571324400,0.02194,0.02194,0.02194,0.02194,0.02168193
47,1571324700,0.02196,0.02198,0.02196,0.02197,3.52
48,1571325000,0.02196,0.02196,0.02196,0.02196,0.93223698
49,1571325300,0.02198,0.02199,0.02197,0.02197,35.52125476
50,1571325600,0.02197,0.02197,0.02196,0.02196,4.55336022
51,1571325900,0.02198,0.02199,0.02196,0.02196,21.551319
52,1571326200,0.02196,0.02196,0.02194,0.02194,1.686132
53,1571326800,0.02196,0.022,0.02196,0.022,21.73279482
54,1571327400,0.02199,0.02199,0.02199,0.02199,0.18333641
55,1571327700,0.02197,0.02197,0.02197,0.02197,5.74199999
56,1571328000,0.02197,0.02197,0.02197,0.02197,2.75424165
57,1571328300,0.02198,0.02198,0.02196,0.02196,13.77380723
58,1571328600,0.02194,0.02194,0.02194,0.02194,0.3
59,1571328900,0.02195,0.02195,0.02195,0.02195,0.1
60,1571329200,0.02199,0.02206,0.02199,0.02204,2958.01632561
61,1571329500,0.02206,0.02206,0.02204,0.02204,24.35665856
62,1571329800,0.02203,0.02203,0.022,0.022,20.53982688
63,1571330100,0.022,0.022,0.022,0.022,0.44817713
64,1571330400,0.02203,0.02204,0.02203,0.02203,22.31838209
65,1571330700,0.02204,0.02204,0.02203,0.02203,1.03667713
66,1571331000,0.022,0.02202,0.022,0.022,7.63593915
67,1571331300,0.022,0.022,0.02199,0.02199,15.84697918
68,1571331600,0.02198,0.02198,0.02195,0.02195,39.52933796
69,1571331900,0.02195,0.02196,0.02195,0.02196,7.07629796
70,1571332500,0.02199,0.02199,0.02197,0.02197,24.1069188
71,1571332800,0.02196,0.02198,0.02196,0.02198,0.50516931
72,1571333100,0.02196,0.02196,0.02196,0.02196,0.84488483
73,1571333400,0.02196,0.02199,0.02196,0.02199,2.65648368
74,1571333700,0.02198,0.02198,0.02198,0.02198,16.4729468
75,1571334000,0.02196,0.02196,0.02194,0.02195,200.62577664
76,1571334600,0.02194,0.02194,0.02194,0.02194,68.76959
77,1571334900,0.02193,0.02195,0.02193,0.02195,2.07828651
78,1571335200,0.02195,0.02196,0.02195,0.02196,0.98464422
79,1571335500,0.02193,0.02193,0.02193,0.02193,0.59038197
80,1571335800,0.02193,0.02193,0.02193,0.02193,0.25296072
81,1571336100,0.02195,0.02196,0.02194,0.02194,1.49388562
82,1571336400,0.02193,0.02193,0.02193,0.02193,0.025
83,1571336700,0.02195,0.02197,0.02195,0.02197,5.40694885
84,1571337600,0.02198,0.02198,0.02198,0.02198,1.0
85,1571338500,0.02199,0.02199,0.02198,0.02198,2.53691688
86,1571338800,0.02198,0.02198,0.02196,0.02196,2.84098027
87,1571339100,0.02193,0.02193,0.02193,0.02193,1.53007023
88,1571339700,0.02199,0.02199,0.02199,0.02199,0.06749328
89,1571340000,0.02198,0.02198,0.02198,0.02198,2.24863435
90,1571340300,0.02197,0.022,0.02197,0.022,56.69441592
91,1571340600,0.02198,0.02198,0.02198,0.02198,0.03793571
92,1571340900,0.02197,0.02197,0.02197,0.02197,0.25840858
93,1571341500,0.02198,0.02198,0.02198,0.02198,0.25229596
94,1571341800,0.02194,0.02194,0.02193,0.02193,2.40858462
95,1571342100,0.02193,0.02193,0.02193,0.02193,37.93383493
96,1571342400,0.02192,0.02192,0.02192,0.02192,10.17457605
97,1571342700,0.02192,0.02192,0.0219,0.0219,45.9
98,1571343600,0.02191,0.02193,0.02191,0.02193,7.80819262
99,1571343900,0.02194,0.02196,0.02194,0.02196,25.72878783
100,1571344200,0.02195,0.02195,0.02195,0.02195,0.39667216
101,1571344500,0.02194,0.02194,0.02194,0.02194,0.55564194
102,1571344800,0.02194,0.02194,0.02194,0.02194,7.65265315
103,1571345100,0.02193,0.02193,0.02193,0.02193,0.80549383
104,1571345400,0.02195,0.02195,0.02195,0.02195,23.6370538
105,1571345700,0.02194,0.02194,0.02193,0.02193,4.48030919
106,1571346000,0.02192,0.02192,0.02192,0.02192,3.27290651
107,1571346300,0.02191,0.02191,0.02185,0.02185,5.28180153
108,1571346600,0.02185,0.02185,0.02183,0.02185,16.1230119
109,1571346900,0.02185,0.02185,0.0218,0.0218,94.81818119
110,1571347200,0.02188,0.02188,0.02187,0.02187,1.38726085
111,1571347500,0.02188,0.02188,0.02182,0.02182,2.236543
112,1571347800,0.02179,0.02179,0.02179,0.02179,11.72170037
113,1571348100,0.02179,0.0218,0.02179,0.0218,0.76686116
114,1571348400,0.02182,0.02182,0.02182,0.02182,3.0
115,1571349000,0.02185,0.02185,0.02185,0.02185,0.83455377
116,1571349300,0.02187,0.02187,0.02184,0.02184,32.62489879
117,1571349600,0.02184,0.02188,0.02184,0.02188,1.60680073
118,1571350200,0.02185,0.02187,0.02185,0.02187,46.68585558
119,1571350500,0.02187,0.02187,0.02187,0.02187,4.37016912
120,1571350800,0.02186,0.02187,0.02186,0.02186,4.67890449
121,1571351100,0.02186,0.02186,0.02186,0.02186,1.4
122,1571351400,0.02185,0.02185,0.02185,0.02185,0.41516165
123,1571352000,0.02187,0.02187,0.02187,0.02187,0.4229
124,1571352300,0.02187,0.02187,0.02187,0.02187,0.06
125,1571353200,0.02188,0.02189,0.02188,0.02189,1.77283962
126,1571353500,0.02189,0.02193,0.02189,0.02193,22.60616999
127,1571353800,0.02192,0.02192,0.02192,0.02192,0.30554015
128,1571354100,0.02191,0.02194,0.02191,0.02194,8.599995
129,1571355900,0.02192,0.02192,0.02192,0.02192,37.58
130,1571356200,0.02191,0.02191,0.02191,0.02191,0.40399739
131,1571356500,0.02191,0.02199,0.02191,0.02199,12.35459399
132,1571356800,0.02198,0.02198,0.02198,0.02198,53.73894156
133,1571357100,0.02197,0.02198,0.02193,0.02196,7.36451222
134,1571357400,0.02192,0.02192,0.02191,0.02191,0.94478676
135,1571357700,0.02192,0.02192,0.02192,0.02192,0.06448282
136,1571358000,0.02192,0.02193,0.02192,0.02193,5.1452235
137,1571358600,0.02194,0.02194,0.02194,0.02194,20.0
138,1571358900,0.0219,0.0219,0.0219,0.0219,0.39866477
139,1571359200,0.02191,0.02191,0.02191,0.02191,1.634
140,1571359800,0.02192,0.02192,0.02192,0.02192,0.85038875
141,1571360700,0.02188,0.02188,0.02188,0.02188,0.18498357
142,1571361000,0.02186,0.02187,0.02186,0.02187,5.69803748
