,closing_time,open,high,low,close,base_volume
0,1570798800,56.32,56.32,56.32,56.32,1.151
1,1570799100,56.32,56.32,56.17,56.29,11.32510515
2,1570799400,56.29,56.29,56.27,56.27,1.676072
3,1570799700,56.21,56.37,56.21,56.36,5.80014286
4,1570800000,56.32,56.32,56.32,56.32,0.8
5,1570800300,56.31,56.31,56.29,56.29,8.19100855
6,1570800600,56.32,56.32,56.32,56.32,1.2987
7,1570800900,56.32,56.32,56.32,56.32,41.52172766
8,1570801200,56.36,56.36,56.36,56.36,0.8
9,1570801800,56.41,56.45,56.41,56.45,3.43445733
10,1570802100,56.44,56.44,56.4,56.4,3.11244143
11,1570802400,56.37,56.37,56.37,56.37,1.6
12,1570802700,56.32,56.32,56.32,56.32,0.792
13,1570803000,56.18,56.18,56.18,56.18,3.1307901
14,1570803300,56.2,56.2,56.17,56.17,176.78494392
15,1570803600,56.19,56.19,56.06,56.06,4.93707566
16,1570804200,56.11,56.11,56.02,56.02,1.375
17,1570804800,56.03,56.03,56.03,56.03,0.507
18,1570805100,56.12,56.12,56.08,56.08,9.92701319
19,1570805400,56.06,56.12,56.06,56.12,2.63726
20,1570805700,56.1,56.12,56.09,56.1,27.595363
21,1570806000,56.04,56.04,56.04,56.04,0.72151382
22,1570806600,55.91,55.97,55.91,55.97,40.653
23,1570806900,55.95,55.97,55.95,55.97,41.17
24,1570807200,55.98,56.06,55.98,56.06,17.17986894
25,1570807500,56.09,56.09,56.02,56.02,99.46175455
26,1570807800,56.03,56.03,56.03,56.03,20.29775706
27,1570808100,55.99,56.03,55.99,56.03,24.225
28,1570808400,56.0,56.03,55.99,56.03,45.84806462
29,1570808700,56.02,56.02,56.02,56.02,2.22081459
30,1570809300,56.12,56.22,56.12,56.22,24.52633803
31,1570809600,56.21,56.21,56.21,56.21,0.604
32,1570809900,56.09,56.16,56.09,56.16,71.13981629
33,1570810200,56.05,56.07,55.87,56.0,300.80214713
34,1570810500,56.0,56.0,56.0,56.0,19.17077281
35,1570810800,56.02,56.12,55.96,55.96,191.15521514
36,1570811100,56.05,56.05,56.05,56.05,29.5577
37,1570811400,56.04,56.04,56.04,56.04,1.0
38,1570812000,56.28,56.35,56.28,56.35,6.66572652
39,1570812300,56.29,56.29,56.29,56.29,0.37954008
40,1570812600,56.3,56.3,56.3,56.3,0.549
41,1570813200,56.27,56.28,56.27,56.28,8.43732022
42,1570813500,56.28,56.28,56.28,56.28,12.511978
43,1570813800,56.28,56.39,56.28,56.39,6.82464208
44,1570814400,56.47,56.47,56.47,56.47,1.5
45,1570814700,56.47,56.47,56.43,56.43,22.57
46,1570815000,56.39,56.39,56.38,56.38,126.10938525
47,1570815300,56.38,56.38,56.34,56.34,1.9140376
48,1570815600,56.31,56.31,56.31,56.31,0.5
49,1570815900,56.18,56.19,56.18,56.19,9.051467
50,1570816200,56.19,56.19,56.19,56.19,0.5
51,1570816500,56.19,56.26,56.19,56.26,9.06312343
52,1570817100,56.23,56.24,56.23,56.24,2.53294
53,1570818000,56.22,56.22,56.22,56.22,0.5
54,1570818300,56.22,56.22,56.15,56.17,104.0
55,1570819200,56.02,56.02,56.01,56.01,1.835088
56,1570819500,56.0,56.01,56.0,56.01,70.15889772
57,1570819800,56.04,56.04,56.04,56.04,1.48571429
58,1570820100,56.02,56.02,56.0,56.0,97.59344388
59,1570820400,55.96,55.96,55.96,55.96,1.2
60,1570821000,56.06,56.06,56.06,56.06,0.5
61,1570821300,56.03,56.03,56.03,56.03,0.597
62,1570821600,56.0,56.01,56.0,56.01,9.16773392
63,1570821900,56.01,56.01,56.0,56.0,101.44655179
64,1570822200,55.87,55.88,55.82,55.82,21.463
65,1570822500,55.94,55.94,55.93,55.93,2.935684
66,1570822800,55.9,55.95,55.9,55.95,11.82980225
67,1570823100,55.95,55.99,55.95,55.97,7.49971429
68,1570823400,56.0,56.0,56.0,56.0,6.3252597
69,1570823700,56.0,56.0,56.0,56.0,0.71428571
70,1570824000,55.88,55.94,55.88,55.94,2.204
71,1570824300,55.93,55.93,55.89,55.92,1.28571429
72,1570824600,55.91,55.91,55.86,55.86,14.5
73,1570824900,55.93,55.97,55.93,55.96,13.4
74,1570825200,55.94,55.96,55.94,55.95,14.5
75,1570825500,55.95,55.95,55.95,55.95,8.0
76,1570825800,55.95,55.95,55.92,55.92,12.218
77,1570826100,55.9,55.9,55.9,55.9,11.17
78,1570826400,55.87,55.87,55.79,55.83,7.986
79,1570826700,55.84,55.84,55.77,55.8,20.771
80,1570827000,55.87,55.87,55.87,55.87,0.713
81,1570827300,55.87,55.87,55.85,55.85,4.676
82,1570827600,55.81,55.81,55.81,55.81,1.0
83,1570827900,55.81,55.81,55.71,55.71,75.63
84,1570828200,55.82,55.82,55.79,55.79,2.22595286
85,1570828800,55.77,55.77,55.76,55.76,4.98350071
86,1570829100,55.76,55.76,55.75,55.75,226.4816548
87,1570829400,55.74,55.79,55.68,55.76,25.72225853
88,1570829700,55.72,55.72,55.56,55.56,31.33674555
89,1570830000,55.61,55.61,55.56,55.56,29.633
90,1570830300,55.65,55.65,55.63,55.63,2.96544276
91,1570830600,55.66,55.71,55.66,55.71,10.241018
92,1570830900,55.66,55.66,55.63,55.63,6.5
93,1570831200,55.63,55.63,55.55,55.56,11.6248221
94,1570831500,55.61,55.63,55.61,55.63,2.5
95,1570831800,55.64,55.64,55.64,55.64,2.5
96,1570832100,55.72,55.72,55.71,55.71,31.0
97,1570832400,55.8,55.8,55.79,55.79,5.254
98,1570832700,55.79,55.79,55.68,55.68,187.042
99,1570833000,55.79,55.79,55.79,55.79,0.64285714
100,1570833300,55.75,55.92,55.75,55.92,173.63664412
101,1570833900,55.92,55.92,55.92,55.92,2.24281907
102,1570834200,55.84,55.85,55.8,55.83,40.929
103,1570834800,55.71,55.71,55.69,55.69,28.272
104,1570835100,55.75,55.75,55.75,55.75,0.858
105,1570835400,55.77,55.77,55.77,55.77,0.42857143
106,1570835700,55.78,55.78,55.78,55.78,0.42857143
107,1570836000,55.8,55.8,55.8,55.8,0.42857143
108,1570836300,55.76,55.76,55.76,55.76,4.756
109,1570836600,55.67,55.73,55.67,55.7,7.32905935
110,1570836900,55.74,55.79,55.74,55.75,304.5785
111,1570837200,55.79,55.79,55.76,55.76,10.2098773
112,1570837800,55.6,55.6,55.47,55.57,953.24566483
113,1570838100,55.59,55.65,55.59,55.65,42.31642274
114,1570838400,55.87,55.91,55.8,55.91,52.662
115,1570838700,56.01,56.1,56.01,56.04,419.85581871
116,1570839000,55.99,55.99,55.97,55.97,9.34200349
117,1570839300,55.98,56.02,55.98,56.02,4.3799128
118,1570839600,56.07,56.07,56.07,56.07,16.00160817
119,1570839900,56.05,56.05,56.05,56.05,0.35714286
120,1570840200,56.08,56.15,56.08,56.15,50.62428571
121,1570840800,56.19,56.19,56.12,56.13,5.48151396
122,1570841100,56.15,56.15,56.13,56.15,27.3294902
123,1570841400,56.05,56.05,56.05,56.05,40.178
124,1570841700,56.06,56.06,56.01,56.01,1.96500623
125,1570842000,56.05,56.05,56.05,56.05,0.8
