,closing_time,open,high,low,close,base_volume
0,1570725000,3.187e-05,3.187e-05,3.186e-05,3.186e-05,5000.0
1,1570725300,3.189e-05,3.189e-05,3.189e-05,3.189e-05,140.0
2,1570725900,3.19e-05,3.19e-05,3.19e-05,3.19e-05,500.0
3,1570726200,3.189e-05,3.189e-05,3.182e-05,3.188e-05,14121.76227757
4,1570726500,3.187e-05,3.187e-05,3.182e-05,3.182e-05,212.63090771
5,1570727400,3.19e-05,3.19e-05,3.19e-05,3.19e-05,686.0
6,1570728300,3.184e-05,3.187e-05,3.184e-05,3.187e-05,1627.35540498
7,1570728900,3.174e-05,3.181e-05,3.174e-05,3.181e-05,613.13910298
8,1570729200,3.177e-05,3.177e-05,3.177e-05,3.177e-05,30.0
9,1570729500,3.181e-05,3.181e-05,3.181e-05,3.181e-05,3815.88908
10,1570730100,3.191e-05,3.193e-05,3.191e-05,3.192e-05,1664.77970887
11,1570730700,3.192e-05,3.192e-05,3.19e-05,3.19e-05,582.66566507
12,1570731000,3.189e-05,3.189e-05,3.189e-05,3.189e-05,87.88938386
13,1570731600,3.189e-05,3.189e-05,3.188e-05,3.188e-05,500.0
14,1570731900,3.184e-05,3.184e-05,3.182e-05,3.182e-05,19999.99999997
15,1570732500,3.186e-05,3.19e-05,3.186e-05,3.19e-05,22341.57499924
16,1570732800,3.186e-05,3.188e-05,3.186e-05,3.188e-05,982.79403842
17,1570733100,3.188e-05,3.188e-05,3.188e-05,3.188e-05,100.0
18,1570733400,3.184e-05,3.184e-05,3.181e-05,3.181e-05,210.99372682
19,1570733700,3.18e-05,3.18e-05,3.179e-05,3.179e-05,11106.17585
20,1570734300,3.182e-05,3.182e-05,3.182e-05,3.182e-05,238.8107
21,1570734600,3.181e-05,3.181e-05,3.181e-05,3.181e-05,100.0
22,1570734900,3.183e-05,3.185e-05,3.182e-05,3.185e-05,4725.94626093
23,1570735800,3.187e-05,3.187e-05,3.187e-05,3.187e-05,74.25303059
24,1570736100,3.193e-05,3.193e-05,3.189e-05,3.189e-05,339.48512004
25,1570736700,3.19e-05,3.19e-05,3.19e-05,3.19e-05,64.28303432
26,1570737000,3.188e-05,3.189e-05,3.188e-05,3.189e-05,722.18324657
27,1570737300,3.19e-05,3.19e-05,3.189e-05,3.189e-05,4920.50332885
28,1570737900,3.182e-05,3.182e-05,3.182e-05,3.182e-05,80.66339824
29,1570738200,3.185e-05,3.185e-05,3.185e-05,3.185e-05,33.35812068
30,1570738500,3.178e-05,3.178e-05,3.178e-05,3.178e-05,6153.59378467
31,1570738800,3.178e-05,3.178e-05,3.178e-05,3.178e-05,754.87350828
32,1570739400,3.174e-05,3.178e-05,3.172e-05,3.178e-05,1527.43318219
33,1570739700,3.178e-05,3.184e-05,3.178e-05,3.184e-05,27485.22257146
34,1570740000,3.185e-05,3.186e-05,3.185e-05,3.186e-05,48046.15106783
35,1570740300,3.186e-05,3.186e-05,3.186e-05,3.186e-05,84.34322228
36,1570740900,3.188e-05,3.194e-05,3.188e-05,3.194e-05,3415.0
37,1570741500,3.179e-05,3.179e-05,3.179e-05,3.179e-05,373.47605637
38,1570742700,3.188e-05,3.188e-05,3.188e-05,3.188e-05,7810.0
39,1570743600,3.191e-05,3.191e-05,3.191e-05,3.191e-05,153.5
40,1570744200,3.195e-05,3.196e-05,3.193e-05,3.193e-05,5241.7692
41,1570744500,3.192e-05,3.192e-05,3.192e-05,3.192e-05,1723.0
42,1570744800,3.192e-05,3.192e-05,3.192e-05,3.192e-05,2030.0
43,1570745100,3.191e-05,3.191e-05,3.186e-05,3.186e-05,1103.96077488
44,1570745400,3.185e-05,3.189e-05,3.185e-05,3.189e-05,750.0
45,1570746000,3.184e-05,3.186e-05,3.184e-05,3.186e-05,60.0
46,1570746900,3.186e-05,3.186e-05,3.186e-05,3.186e-05,95.37609376
47,1570747200,3.186e-05,3.186e-05,3.185e-05,3.185e-05,1069.12857447
48,1570747500,3.182e-05,3.182e-05,3.182e-05,3.182e-05,586.0
49,1570747800,3.178e-05,3.178e-05,3.178e-05,3.178e-05,502.4889045
50,1570748100,3.177e-05,3.177e-05,3.177e-05,3.177e-05,6398.81723669
51,1570748400,3.177e-05,3.177e-05,3.175e-05,3.175e-05,989.06452997
52,1570748700,3.175e-05,3.175e-05,3.175e-05,3.175e-05,74412.11823334
53,1570749000,3.17e-05,3.17e-05,3.145e-05,3.17e-05,172816.35622326
54,1570749300,3.169e-05,3.172e-05,3.168e-05,3.17e-05,2578.32182975
