,closing_time,open,high,low,close,base_volume
0,1571617500,0.29281,0.29281,0.29281,0.29281,2000.0
1,1571617800,0.29269,0.29269,0.29228,0.29228,1354.51399858
2,1571618100,0.29186,0.29269,0.29166,0.29269,35701.73453618
3,1571618400,0.29268,0.29268,0.29262,0.29262,559.12639311
4,1571618700,0.29267,0.29276,0.29262,0.29276,13492.8271
5,1571619000,0.2923,0.2923,0.2911,0.2911,332244.23969324
6,1571619300,0.29141,0.29212,0.29112,0.29117,138590.53392272
7,1571619600,0.29122,0.29137,0.29083,0.29137,122376.07717224
8,1571619900,0.29142,0.29148,0.29131,0.29147,24896.8400101
9,1571620200,0.29194,0.29194,0.29116,0.29124,18500.0
10,1571620500,0.29104,0.29147,0.29102,0.29145,33684.456
11,1571620800,0.29118,0.29119,0.29118,0.29119,300.24571811
12,1571621100,0.29133,0.29201,0.29133,0.29201,22838.41131113
13,1571621400,0.29201,0.29201,0.29201,0.29201,9316.29814806
14,1571621700,0.29208,0.29285,0.29208,0.29285,50368.00184059
15,1571622000,0.29262,0.29274,0.29222,0.29222,129000.0
16,1571622300,0.29255,0.29255,0.29255,0.29255,54.55103638
17,1571622600,0.29263,0.29263,0.29263,0.29263,59.68151596
18,1571622900,0.29183,0.29223,0.29183,0.29221,66055.35721477
19,1571623200,0.29279,0.29282,0.29259,0.2928,11141.67606542
20,1571623500,0.29251,0.29335,0.29251,0.29329,35185.27690001
21,1571623800,0.29296,0.29327,0.29191,0.29191,99283.88457575
22,1571624100,0.292,0.2922,0.29198,0.2922,54647.90168508
23,1571624400,0.29204,0.29241,0.29197,0.29241,19995.97723882
24,1571624700,0.29235,0.29235,0.29235,0.29235,239.37232642
25,1571625000,0.29161,0.29215,0.29161,0.29215,31165.0
26,1571625300,0.29215,0.2923,0.29215,0.2923,1378.12757564
27,1571625600,0.29203,0.29241,0.29203,0.29241,10496.75789595
28,1571625900,0.29307,0.29314,0.2926,0.29309,69976.54556395
29,1571626200,0.29265,0.29285,0.2925,0.2925,145067.25160096
30,1571626500,0.29198,0.29198,0.29198,0.29198,251.04774226
31,1571627100,0.29214,0.29214,0.29189,0.29189,171.87221228
32,1571627400,0.29194,0.292,0.2919,0.292,15564.9112838
33,1571627700,0.29259,0.29259,0.29259,0.29259,1800.0
34,1571628000,0.29165,0.29165,0.29155,0.29155,112.56353875
35,1571628300,0.29195,0.29195,0.29195,0.29195,247.70241107
36,1571628600,0.29153,0.29153,0.29153,0.29153,22672.5237
37,1571628900,0.29149,0.29149,0.29117,0.29136,4413.69801736
38,1571629200,0.2911,0.2911,0.29107,0.29107,892.95665606
39,1571629500,0.29123,0.29123,0.29121,0.29121,692.102368
40,1571629800,0.29108,0.29135,0.29108,0.29135,100068.99787989
41,1571630100,0.29112,0.29112,0.29112,0.29112,100.0
42,1571630400,0.29126,0.29136,0.29126,0.29135,2786.62034335
43,1571630700,0.29173,0.29173,0.29155,0.29155,2559.73925178
44,1571631000,0.29129,0.29129,0.29044,0.29044,127892.20136419
45,1571631300,0.29027,0.29055,0.28975,0.28979,137878.15488845
46,1571631600,0.28976,0.28998,0.28949,0.28998,74832.28382765
47,1571631900,0.28984,0.28984,0.28984,0.28984,6500.0
48,1571632200,0.28999,0.28999,0.28914,0.28918,83024.91094345
49,1571632500,0.28921,0.29,0.28921,0.2898,118153.28485013
50,1571632800,0.28995,0.28995,0.28959,0.28959,30660.0
51,1571633100,0.28958,0.28958,0.28927,0.28949,40240.89239005
