,closing_time,open,high,low,close,base_volume
0,1565960100,49.49,49.49,49.49,49.49,0.07284382
1,1565960400,49.5,49.5,49.5,49.5,49.32760485
2,1565961300,49.26,49.39,49.26,49.39,1.69654995
3,1565961900,49.24,49.24,49.24,49.24,3.0
4,1565962500,49.27,49.27,49.27,49.27,0.486
5,1565962800,49.05,49.05,49.05,49.05,0.2765746
6,1565964000,49.17,49.17,49.17,49.17,0.76394203
7,1565964300,49.24,49.24,49.24,49.24,0.073842
8,1565965200,49.2,49.2,49.14,49.14,49.044227
9,1565966100,49.23,49.23,49.23,49.23,9.17966621
10,1565967600,49.11,49.11,49.11,49.11,46.0
11,1565969400,49.73,49.73,49.73,49.73,0.27178
12,1565970000,50.17,50.17,50.17,50.17,5.0
13,1565970900,49.67,49.67,49.67,49.67,0.99100798
14,1565971500,50.01,50.01,50.01,50.01,1.5
15,1565972700,49.59,49.59,49.59,49.59,0.101
16,1565973900,49.76,49.78,49.76,49.78,1.771312
17,1565976900,50.14,50.27,50.14,50.27,10.95565988
18,1565978400,49.97,50.07,49.82,49.82,25.10892768
19,1565979900,50.04,50.04,50.04,50.04,2.05
20,1565980200,49.91,49.91,49.79,49.79,1.204867
21,1565981700,49.55,49.55,49.55,49.55,4.56261963
22,1565982000,49.67,49.72,49.67,49.72,40.97587641
23,1565982600,49.71,49.71,49.6,49.6,52.63927731
24,1565982900,49.6,49.8,49.6,49.8,100.548
25,1565983200,49.72,49.72,49.72,49.72,0.8
26,1565983500,49.69,49.69,49.69,49.69,3.0
27,1565984700,49.89,49.89,49.89,49.89,2.0044097
28,1565986500,49.78,49.9,49.78,49.78,2.96148226
29,1565986800,49.95,49.95,49.93,49.93,0.62233711
30,1565987100,49.82,49.82,49.73,49.73,2.62054872
31,1565993100,49.98,49.98,49.98,49.98,0.23882307
32,1565993400,49.8,49.8,49.8,49.8,4.46646
33,1565994300,49.54,49.54,49.47,49.47,3.32023
34,1565994900,49.32,49.34,49.16,49.27,7.51926464
35,1565995200,49.14,49.37,49.14,49.23,7.27947216
36,1565995500,49.23,49.29,49.23,49.29,1.09304687
37,1565996700,49.66,49.66,49.66,49.66,0.196419
38,1565997900,49.38,49.38,49.38,49.38,0.19641
39,1565998500,49.31,49.31,49.31,49.31,6.046
40,1565998800,49.5,49.5,49.5,49.5,0.10188314
41,1565999400,49.15,49.15,49.15,49.15,0.10189
42,1565999700,49.0,49.0,49.0,49.0,5.0
43,1566000900,49.05,49.05,48.84,48.84,90.02395622
44,1566001200,48.84,48.84,48.84,48.84,20.482158
45,1566002400,48.78,49.01,48.78,48.99,117.30561113
46,1566007800,49.5,49.5,49.5,49.5,2.2382377
47,1566008400,49.65,49.65,49.65,49.65,0.48111618
48,1566009600,49.31,49.31,49.31,49.31,0.36423969
49,1566013500,48.99,48.99,48.99,48.99,0.12440397
50,1566014400,48.91,48.92,48.91,48.92,1.592
51,1566014700,48.93,48.93,48.93,48.93,1.07169
52,1566020100,48.93,48.93,48.93,48.93,1.01024
53,1566021000,49.01,49.01,49.01,49.01,4.99999991
54,1566022200,48.96,48.96,48.96,48.96,0.94516
55,1566026700,48.96,48.96,48.96,48.96,0.8864
56,1566027000,48.93,48.94,48.93,48.94,0.809
57,1566027900,48.89,48.89,48.72,48.72,0.5588
58,1566030600,48.82,48.82,48.82,48.82,19.99976
59,1566030900,49.21,49.21,49.21,49.21,2.665332
60,1566033600,48.97,48.97,48.97,48.97,0.1
61,1566039300,49.2,49.2,49.17,49.17,3.07645984
62,1566039900,48.94,49.06,48.94,49.05,1.69966677
63,1566040200,49.05,49.05,48.91,48.91,1.27430923
64,1566042000,49.1,49.1,49.1,49.1,0.05117976
65,1566042600,48.98,48.98,48.98,48.98,3.07646198
66,1566043500,48.88,48.88,48.88,48.88,3.0
67,1566043800,49.0,49.02,49.0,49.02,3.34304201
68,1566044400,49.02,49.02,48.95,48.95,3.19477322
69,1566045000,48.94,48.94,48.94,48.94,0.098208
70,1566045300,49.13,49.13,49.13,49.13,5.0
71,1566047700,49.02,49.1,49.02,49.1,57.65850332
72,1566049200,48.9,48.9,48.9,48.9,7.23848046
73,1566050100,48.96,48.96,48.96,48.96,1.571
74,1566051000,49.12,49.12,49.12,49.12,1.21423843
75,1566053400,48.95,48.95,48.95,48.95,0.11735
76,1566054300,48.87,48.87,48.82,48.82,0.20838056
77,1566054600,48.87,48.87,48.87,48.87,11.32196944
78,1566056100,48.9,48.9,48.9,48.9,0.075715
79,1566057900,48.9,48.9,48.9,48.9,1.0
80,1566059400,48.92,48.92,48.92,48.92,0.25091235
81,1566062100,48.85,48.85,48.82,48.82,1.03689689
82,1566062400,48.66,48.66,48.43,48.43,9.05453247
83,1566062700,48.5,48.54,48.47,48.49,35.28519026
84,1566063000,48.49,48.49,48.34,48.34,33.33425038
85,1566063300,48.3,48.3,48.18,48.18,12.5
86,1566063600,48.17,48.17,48.17,48.17,5.07172716
87,1566063900,48.19,48.19,48.19,48.19,6.0
88,1566064200,48.3,48.3,48.3,48.3,2.069
89,1566064500,48.15,48.15,48.0,48.0,4.91948472
90,1566064800,48.01,48.01,47.65,47.79,3.17369063
91,1566065100,47.79,47.79,47.61,47.76,9.675
92,1566065400,47.76,48.2,47.68,48.07,14.43856326
93,1566065700,48.19,48.19,48.11,48.11,5.311
94,1566066000,48.15,48.15,48.15,48.15,1.656
95,1566067200,48.09,48.09,48.09,48.09,0.25369
96,1566068100,48.17,48.17,48.17,48.17,0.99999998
97,1566068400,48.24,48.27,48.24,48.26,3.0
98,1566070500,48.28,48.28,48.26,48.26,5.64421879
99,1566073500,48.05,48.05,48.05,48.05,0.284219
100,1566075000,47.77,47.77,47.69,47.69,3.0
101,1566075900,47.65,47.65,47.65,47.65,100.0
102,1566077100,47.8,47.8,47.8,47.8,2.68556977
103,1566085200,48.07,49.11,48.06,49.05,534.94232842
104,1566085500,49.3,50.09,49.3,49.97,74.60577071
105,1566085800,49.9,50.11,49.9,50.06,57.07810552
106,1566086100,50.11,50.11,50.03,50.03,2.35247831
107,1566086400,50.03,50.03,50.02,50.03,26.82625
