model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,fpr,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1
gemini_kraken_ltc_btc_rf_75_feat_hyper_auto_12_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 12, 'max_features': 'auto', 'n_estimators': 100}",0.5512058720727019,-0.21,-0.36,0.27984533591106814,10,77,87,0.5555555555555556,0.7201546640889318,0.09948320413436693,0.07462686567164178,0.6794345645234838,0.1441947565543071,0.13157894736842105,0.6992022524636321,0.11773700305810397
gemini_kraken_ltc_btc_rf_75_feat_hyper_auto_12_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 12, 'max_features': 'auto', 'n_estimators': 150}",0.5480601188395666,-0.24,-0.37,0.28338136407300674,8,68,76,0.47058823529411764,0.7166186359269933,0.08923884514435695,0.05970149253731343,0.6803465572275422,0.12734082397003746,0.10596026490066227,0.6980116959064327,0.10493827160493828
gemini_kraken_ltc_btc_rf_75_feat_hyper_11_12_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 12, 'max_features': 11, 'n_estimators': 100}",0.5627403005941979,-0.17,-0.34,0.26587301587301587,24,106,130,0.5853658536585366,0.7341269841269841,0.1318407960199005,0.1791044776119403,0.674874601003192,0.19850187265917604,0.2742857142857143,0.703254929912093,0.15844544095665172
gemini_kraken_ltc_btc_rf_75_feat_hyper_11_12_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 12, 'max_features': 11, 'n_estimators': 150}",0.5581964348130024,-0.2,-0.34,0.27102803738317754,23,92,115,0.575,0.7289719626168224,0.116751269035533,0.17164179104477612,0.6757865937072504,0.17228464419475656,0.26436781609195403,0.7013724562233791,0.13918305597579425
gemini_kraken_ltc_btc_rf_75_feat_hyper_13_12_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 12, 'max_features': 13, 'n_estimators': 100}",0.553652569031807,-0.17,-0.35,0.2743362831858407,6,102,108,0.25,0.7256637168141593,0.12702366127023662,0.04477611940298507,0.6730506155950753,0.19101123595505617,0.07594936708860758,0.6983676366217175,0.15258040388930444
gemini_kraken_ltc_btc_rf_75_feat_hyper_13_12_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 12, 'max_features': 13, 'n_estimators': 150}",0.5473610625655365,-0.21,-0.36,0.2809152872444012,8,81,89,0.3076923076923077,0.7190847127555988,0.10371318822023047,0.05970149253731343,0.6735066119471044,0.15168539325842698,0.09999999999999999,0.6955497998587238,0.12319391634980989
gemini_kraken_ltc_btc_rf_75_feat_hyper_auto_15_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 100}",0.5585459629500175,-0.17,-0.35,0.27134445534838075,10,103,113,0.4166666666666667,0.7286555446516192,0.12891113892365458,0.07462686567164178,0.6771545827633378,0.19288389513108614,0.12658227848101264,0.7019617111793902,0.15453863465866466
gemini_kraken_ltc_btc_rf_75_feat_hyper_auto_15_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 150}",0.5543516253058371,-0.18,-0.36,0.27495107632093935,6,98,104,0.2857142857142857,0.7250489236790607,0.12311557788944724,0.04477611940298507,0.6757865937072504,0.18352059925093633,0.07741935483870967,0.6995515695067266,0.14736842105263157
gemini_kraken_ltc_btc_rf_75_feat_hyper_11_15_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 15, 'max_features': 11, 'n_estimators': 100}",0.5487591751135966,-0.27,-0.37,0.28393881453154873,14,58,72,0.4827586206896552,0.7160611854684512,0.07837837837837838,0.1044776119402985,0.6830825353397173,0.10861423220973783,0.17177914110429446,0.6991831971995333,0.09105180533751962
gemini_kraken_ltc_btc_rf_75_feat_hyper_11_15_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 15, 'max_features': 11, 'n_estimators': 150}",0.5470115344285215,-0.28,-0.37,0.28585040495474034,13,53,66,0.5,0.7141495950452597,0.07201086956521739,0.09701492537313433,0.6835385316917465,0.09925093632958802,0.1625,0.6985088536812675,0.08346456692913386
gemini_kraken_ltc_btc_rf_75_feat_hyper_13_15_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 15, 'max_features': 13, 'n_estimators': 100}",0.5477105907025516,-0.26,-0.37,0.28289156626506023,15,64,79,0.5769230769230769,0.7171084337349397,0.08421052631578947,0.11194029850746269,0.6785225718194254,0.1198501872659176,0.1875,0.6972820993439549,0.09891808346213293
gemini_kraken_ltc_btc_rf_75_feat_hyper_13_15_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 15, 'max_features': 13, 'n_estimators': 150}",0.5470115344285215,-0.26,-0.37,0.2829550941574119,8,72,80,0.36363636363636365,0.7170449058425882,0.09375,0.05970149253731343,0.6771545827633378,0.1348314606741573,0.10256410256410257,0.6965290806754222,0.11059907834101382
gemini_kraken_ltc_btc_rf_75_feat_hyper_auto_17_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 100}",0.5554002097168822,-0.25,-0.37,0.2799237005245589,6,73,79,0.4,0.7200762994754412,0.09746328437917223,0.04477611940298507,0.6885544915640675,0.13670411985018727,0.08053691275167785,0.703962703962704,0.11379579111457522
gemini_kraken_ltc_btc_rf_75_feat_hyper_auto_17_150,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 150}",0.5578469066759875,-0.23,-0.37,0.2787821122740247,3,77,80,0.25,0.7212178877259753,0.10307898259705489,0.022388059701492536,0.6912904696762426,0.1441947565543071,0.0410958904109589,0.7059371362048895,0.12021857923497267
gemini_kraken_ltc_btc_rf_75_feat_hyper_11_17_100,gemini_kraken_ltc_btc,rf_75_feat_hyper,"{'max_depth': 17, 'max_features': 11, 'n_estimators': 100}",0.5424676686473261,-0.27,-0.37,0.2878352490421456,13,52,65,0.48148148148148145,0.7121647509578544,0.06970509383378017,0.09701492537313433,0.6780665754673962,0.09737827715355805,0.16149068322981366,0.6946975005839757,0.08125
