model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,FPR,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1,pct_class_1,pct_class_neg1,pct_class_0
bitfinex_cbpro_etc_usd_lr_bl,bitfinex_cbpro_etc_usd,lr_bl,{},0.9463304510797802,0.61,-0.06,0.0034700027394758467,11,380,391,0.011235955056179777,0.9965299972605242,0.6375838926174496,0.4230769230769231,0.9486265646731572,0.8577878103837472,0.02189054726368159,0.9719884212870186,0.7314725697786333,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_bl,bitfinex_cbpro_etc_usd,rf_bl,{},0.9665630191251012,1.04,0.05,0.005429461504227859,2,342,344,0.00453514739229025,0.994570538495772,0.6042402826855123,0.07692307692307693,0.9713143254520168,0.7720090293453724,0.008565310492505356,0.9828048726856942,0.6778989098116946,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf,bitfinex_cbpro_etc_usd,rf,{},0.949099118285982,0.55,-0.13,0.010633047691686482,2,228,230,0.0024691358024691358,0.9893669523083136,0.6031746031746031,0.07692307692307693,0.9584492350486788,0.5146726862302483,0.004784688995215312,0.9736627149700864,0.5554202192448233,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_auto_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 100}",0.9992332921582826,2.71,1.49,0.000781725006514375,22,429,451,1.0,0.9992182749934856,1.0,0.8461538461538461,1.0,0.9683972911963884,0.9166666666666666,0.9996089846635096,0.9839449541284404,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_auto_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 150}",0.999275887038378,2.7,1.48,0.0007383279044516829,22,430,452,1.0,0.9992616720955484,1.0,0.8461538461538461,1.0,0.9706546275395034,0.9166666666666666,0.9996306997154216,0.9851088201603664,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_50_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_50_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_55_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 55, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_55_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 55, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_60_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 60, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_60_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 60, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_65_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 65, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_65_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 65, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_70_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 70, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_70_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 70, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_75_17_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 75, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_75_17_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 75, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_auto_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 'auto', 'n_estimators': 100}",0.9992332921582826,2.71,1.5,0.000781725006514375,22,429,451,1.0,0.9992182749934856,1.0,0.8461538461538461,1.0,0.9683972911963884,0.9166666666666666,0.9996089846635096,0.9839449541284404,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_auto_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 'auto', 'n_estimators': 150}",0.9992332921582826,2.71,1.49,0.000781725006514375,22,429,451,1.0,0.9992182749934856,1.0,0.8461538461538461,1.0,0.9683972911963884,0.9166666666666666,0.9996089846635096,0.9839449541284404,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_50_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 50, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_50_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 50, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_55_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 55, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_55_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 55, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_60_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 60, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_60_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 60, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_65_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 65, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_65_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 65, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_70_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 70, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_70_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 70, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_75_19_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 75, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_75_19_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 75, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_auto_21_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 'auto', 'n_estimators': 100}",0.9992332921582826,2.7,1.48,0.000781725006514375,22,429,451,1.0,0.9992182749934856,1.0,0.8461538461538461,1.0,0.9683972911963884,0.9166666666666666,0.9996089846635096,0.9839449541284404,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_auto_21_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 'auto', 'n_estimators': 150}",0.999275887038378,2.7,1.48,0.0007383279044516829,22,430,452,1.0,0.9992616720955484,1.0,0.8461538461538461,1.0,0.9706546275395034,0.9166666666666666,0.9996306997154216,0.9851088201603664,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_50_21_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 50, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_50_21_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 50, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_55_21_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 55, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_55_21_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 55, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_60_21_100,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 60, 'n_estimators': 100}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
bitfinex_cbpro_etc_usd_rf_hyper_60_21_150,bitfinex_cbpro_etc_usd,rf_hyper,"{'max_depth': 21, 'max_features': 60, 'n_estimators': 150}",1.0,2.64,1.46,0.0,26,443,469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.36,0.57
