model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,FPR,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1
kraken_bitfinex_bch_btc_rf_hyper_auto_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_auto_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_50_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_50_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_55_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 55, 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_55_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 55, 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_60_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 60, 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_60_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 60, 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_65_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 65, 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_65_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 65, 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_70_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 70, 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_70_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 70, 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_75_17_100,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 75, 'n_estimators': 100}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
kraken_bitfinex_bch_btc_rf_hyper_75_17_150,kraken_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 75, 'n_estimators': 150}",1.0,,,,0,0,0,,1.0,,,1.0,,,1.0,
