,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,12.5,12.5,12.5,12.5,0.39900249,0.0,0.0,0.39900249,0.0,0.0,50.0,0.0,0.0,0.045978587281385985,1000.0,12.500000000000002,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,12.5,1.0,1.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,0.0,0.0,0.0,1.0,1.0,0.0,-6.464303914583638,0.0,0.0,0.8534295302013426,-63.910887332063126,-63.910887332063126,0.0,12.5,12.5,13.357812919463088,13.359125838926172,4.0,4.0,0.0,12.5,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,12.5,0.0,-6.391088733206307,0.0,0.0,2016-05-18 00:15:00
1,12.5,12.5,12.5,12.5,0.0,1.0,0.0,0.39900249,0.0,0.0,50.0,0.0,0.0,-0.025500603183602644,1000.0,12.500000000000002,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,12.5,1.0,1.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8534295302013426,-63.910887332063126,-63.910887332063126,0.0,12.5,12.5,13.357812919463088,13.359125838926172,4.0,4.0,0.0,12.5,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,12.5,0.0,0.0,0.0,0.0,2016-05-18 00:20:00
2,12.5,12.5,12.5,12.5,0.0,1.0,0.0,0.39900249,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,12.500000000000002,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,12.5,1.0,1.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8534295302013426,-63.910887332063126,-63.91088733206313,7.105427357601002e-15,12.5,12.5,13.357812919463088,13.359125838926172,4.0,4.0,0.0,12.5,12.5,-1.0,1.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,12.5,0.0,0.0,0.0,0.0,2016-05-18 00:25:00
3,12.5,13.0,12.5,13.0,0.79042777,0.0,0.79042777,1.18943026,0.6645431822122971,0.05645912642857143,50.0,15814221.709341006,15814221.709341006,0.0316171108,1000.0,12.721514394070766,0.0,12.625,13.058012701892219,12.191987298107781,6.859607158688613,0.9330127018922199,0.0,0.0,12.583333333333334,12.708333333333334,12.458333333333334,1.986754966887417,2.1666666666666643,1.0,0.0,12.5,13.0,1.0,0.0,0.03988603988603856,0.007977207977207712,0.03190883190883085,12.625,12.625,12.576923076923077,12.537037037037038,0.0,0.0,0.0,1.0,1.0,0.0,0.0078125,4.999999999999999,133.33333333333286,0.7284295302013426,-54.549996205383756,-61.57066455039329,7.020668345009533,12.75,12.75,13.357812919463088,13.359125838926172,16.0,4.0,12.0,12.5,12.5,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,13.0,0.0,4.0000000000000036,3.922071315328113,4.0000000000000036,2016-05-18 00:30:00
4,13.0,13.0,13.0,13.0,0.0,1.0,0.79042777,1.18943026,0.6645431822122971,0.04839353693877551,50.0,15814221.709341006,15814221.709341006,0.0316171108,1000.0,12.721514394070766,0.0,12.7,13.189897948556634,12.210102051443364,7.714928323726536,0.8061862178478983,0.0,0.0,12.666666666666668,12.766666666666667,12.566666666666666,1.578947368421061,2.1666666666666563,1.0,0.0,12.5,13.0,1.0,0.0,0.0706812444704159,0.02051801527584935,0.050163229194566554,12.7,12.7,12.642011834319526,12.57133058984911,0.0,0.0,0.0,1.0,1.0,0.0,0.020506210452308413,7.499999999999999,111.11111111111052,0.6534295302013433,-48.93346152937613,-59.043223946189855,10.109762416813723,12.75,12.75,13.357812919463088,13.359125838926172,16.0,4.0,12.0,12.5,12.5,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,13.0,0.0,0.0,0.0,4.0000000000000036,2016-05-18 00:35:00
5,12.75,13.0,12.75,13.0,6.31056974,0.0,7.10099751,7.5,0.946799668,0.04148017451895044,50.0,-495200.9293538051,7659510.389993601,0.0,1000.0,12.88571733088889,0.0,12.75,13.25,12.25,7.8431372549019605,0.75,0.0,0.0,12.708333333333334,12.833333333333334,12.583333333333334,1.967213114754098,1.6666666666666643,1.0,0.0,12.5,13.0,1.0,0.0,0.09400305724198965,0.03521502366907742,0.058788033572912235,12.75,12.75,12.697086936731907,12.603083879489917,0.0,0.0,0.0,1.0,1.0,0.0,0.03587851096857335,9.855371900826444,66.66666666666629,0.6034295302013426,-45.18910507870439,-56.734204134942274,11.545099056237888,12.75,12.75,13.357812919463088,13.359125838926172,16.0,4.0,12.0,12.5,12.5,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.037499999999999645,13.0,0.0,0.0,0.0,4.0000000000000036,2016-05-18 00:40:00
6,13.0,13.0,13.0,13.0,0.0,1.0,7.10099751,7.5,0.946799668,0.035554435301957524,50.0,-495200.9293538051,7659510.389993601,0.0,1000.0,12.88571733088889,0.0,12.785714285714286,13.28058594501968,12.290842626408892,7.741009195838567,0.7165063509461086,0.0,0.0,12.75,12.857142857142858,12.642857142857142,1.6806722689075708,1.6666666666666612,1.0,0.0,12.5,13.0,1.0,0.0,0.11120387286368327,0.050412793507998585,0.06079107935568469,12.785714285714286,12.785714285714286,12.74368894646546,12.632485073601776,0.0,0.0,0.0,1.0,1.0,0.0,0.05230406257700744,11.456495496332062,77.77777777777779,0.5677152444870561,-42.51456475679599,-54.70282708092138,12.18826232412539,12.75,12.75,13.357812919463088,13.359125838926172,16.0,4.0,12.0,12.52,12.52,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.09285714285714164,13.0,0.0,0.0,0.0,4.0000000000000036,2016-05-18 00:45:00
7,14.93,14.93,14.93,14.93,0.00284753,0.0,7.10099751,7.50284753,0.9464403323680496,0.03126033495882074,50.0,0.0,5106340.259995733,0.0004227486846153846,1000.0,12.886493190481596,0.0,13.05375,14.545692944619532,11.56180705538047,22.85845744892511,1.128794152875086,1.0,0.0,13.0225,13.11625,12.92875,1.4398157035899404,10.673333333333327,1.0,0.0,12.5,14.93,1.0,0.0,0.2773731287169934,0.09580486054979755,0.18156826816719585,13.05375,13.05375,13.080044493163081,12.802671364446088,0.0,0.0,0.0,1.0,1.0,0.0,0.09873433946459949,12.669261453778871,266.6666666666662,0.29967953020134175,-22.44213964087352,-50.670241150915395,28.228101510041874,13.715,13.715,13.357812919463088,13.359125838926172,32.0,4.0,28.0,12.5392,12.5392,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.30412500000000087,14.93,0.0,14.846153846153843,13.842325408956224,19.43999999999999,2016-05-18 00:50:00
8,14.93,14.93,14.93,14.93,0.0,1.0,7.10099751,7.50284753,0.9464403323680496,0.02679457282184635,50.0,0.0,5106340.259995733,0.0004227486846153846,1000.0,12.886493190481596,0.0,13.262222222222224,15.097791229436856,11.426653215007592,27.681168004242103,0.9542944915779904,0.0,0.0,13.234444444444446,13.31777777777778,13.151111111111113,1.2593401057845643,10.673333333333355,1.0,0.0,12.5,14.93,1.0,0.0,0.40440176930044736,0.1575242422999275,0.24687752700051985,13.262222222222224,13.262222222222224,13.364653032676454,12.960251263376007,0.0,0.0,0.0,1.0,1.0,0.0,0.1629582728186057,13.645288851039146,149.99999999999977,0.09120730797911847,-6.830253439600487,-45.799131405213735,38.968877965613245,13.715,13.715,13.357812919463088,13.359125838926172,32.0,4.0,28.0,12.682647999999999,12.682647999999999,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.5264444444444472,14.93,0.0,0.0,0.0,19.43999999999999,2016-05-18 00:55:00
9,13.0,13.0,13.0,13.0,0.5,0.0,7.10099751,7.00284753,0.887308858925618,-0.1148903661527031,50.0,-0.0,3829755.1949968003,-0.06463496316141995,1000.0,12.89358484186524,0.46099999999999997,13.236,14.98446675690446,11.487533243095541,26.41986637812722,0.43251229997136964,0.0,0.0,13.211000000000002,13.286000000000001,13.136000000000001,1.135417455151013,-0.9066666666666713,0.0,1.0,12.5,14.93,0.0,0.0,0.3453569518738018,0.19509078421470238,0.1502661676590994,13.236,13.236,13.308552566110846,12.963195614237044,0.0,0.0,0.0,1.0,1.0,0.0,0.20576874220765004,14.461907762213931,-20.45763040527455,0.11742953020134195,-8.793960378175003,-39.67502841033728,30.881068032162283,13.715,13.715,13.357812919463088,13.359125838926172,32.0,4.0,28.0,12.81748912,12.81748912,-1.0,0.0,0.0,50.69811532001075,53.33746911995131,50.0,20.5761316872428,73.52537722908095,-79.4238683127572,0.5485000000000024,13.0,0.0,-12.926992632283996,-13.842325408956224,4.0000000000000036,2016-05-18 01:00:00
