,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,0.78,0.78,0.77,0.77,8654.584429999999,0.0,-8654.584429999999,8654.584429999999,-1.0,0.0,50.0,0.0,0.0,382.28050579686163,1000.0,0.7733333333333334,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.7733333333333334,0.7833333333333333,0.7633333333333333,2.586206896551726,0.3333333333333352,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.77,0.77,0.77,0.77,0.0,0.0,0.0,1.0,1.0,0.0,4.271607849045714,1.0,0.0,-0.03304347826086962,44.83775811209447,44.83775811209447,0.0,0.775,0.775,0.7366987577639752,0.7399937888198757,4.0,4.0,0.0,0.77,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.77,0.0,4.483775811209445,0.0,0.0,2018-10-12 14:10:00
1,0.77,0.77,0.77,0.77,89.34155,0.0,-8654.584429999999,8743.925979999998,-0.9897824443843246,0.0,50.0,-0.0,0.0,388.052163233039,1000.0,0.7732992748146146,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.7716666666666667,0.7766666666666666,0.7666666666666666,1.2958963282937375,0.33333333333334075,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.77,0.77,0.77,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.8333333333333335,-66.66666666666667,-0.03304347826086962,44.83775811209447,44.83775811209447,0.0,0.775,0.775,0.7366987577639752,0.7399937888198757,4.0,4.0,0.0,0.77,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.77,0.0,0.0,0.0,0.0,2018-10-12 14:15:00
2,0.77,0.77,0.77,0.77,262.5,0.0,-8654.584429999999,9006.425979999998,-0.9609343872051676,0.0,50.0,0.0,0.0,0.0,1000.0,0.7732031146240175,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.7711111111111112,0.7744444444444444,0.7677777777777778,0.8645533141210285,0.33333333333333887,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.77,0.77,0.77,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.547619047619048,-50.00000000000125,-0.03304347826086962,44.83775811209447,44.83775811209447,0.0,0.775,0.775,0.7366987577639752,0.7399937888198757,4.0,4.0,0.0,0.78,-1.0,0.78,0.0,1.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.77,0.0,0.0,0.0,0.0,2018-10-12 14:20:00
3,0.77,0.77,0.77,0.77,280.0,0.0,-8654.584429999999,9286.425979999998,-0.9319607401856447,0.0,50.0,0.0,0.0,0.0,1000.0,0.773106535800619,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.7708333333333334,0.7733333333333333,0.7683333333333333,0.6486486486486492,0.33333333333334075,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.77,0.77,0.77,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.172619047619048,-44.44444444444445,-0.03304347826086962,44.83775811209447,44.83775811209447,0.0,0.775,0.775,0.7366987577639752,0.7399937888198757,4.0,4.0,0.0,0.7798,-1.0,0.7798,0.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.77,0.0,0.0,0.0,0.0,2018-10-12 14:25:00
4,0.77,0.77,0.77,0.77,2455.4870100000007,0.0,-8654.584429999999,11741.912989999999,-0.7370676683919116,0.0,50.0,0.0,0.0,0.0,1000.0,0.7724568922279733,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.7706666666666667,0.7726666666666666,0.7686666666666666,0.5190311418685125,0.33333333333335186,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.77,0.77,0.77,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.7281746031746037,-41.66666666666754,-0.03304347826086962,44.83775811209447,44.83775811209447,0.0,0.775,0.775,0.7366987577639752,0.7399937888198757,4.0,4.0,0.0,0.7796040000000001,-1.0,0.7796040000000001,0.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,0.77,0.0,0.0,0.0,0.0,2018-10-12 14:30:00
5,0.77,0.78,0.77,0.77,18355.465330000006,0.0,-27010.049760000005,30097.378320000003,-0.8974220104098423,0.0,50.0,0.27239843338801406,0.054479686677602814,0.0,1000.0,0.7729914067013665,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.7711111111111112,0.7744444444444444,0.7677777777777778,0.8645533141210285,0.33333333333333887,0.0,0.0,0.77,0.77,1.0,1.0,0.0,0.0,0.0,0.77,0.77,0.77,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.487033323837282,99.9999999999975,-0.03304347826086962,44.83775811209447,44.83775811209447,0.0,0.775,0.775,0.7366987577639752,0.7399937888198757,4.0,4.0,0.0,0.77,0.77,0.7796040000000001,1.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,-0.0006666666666665932,0.77,0.0,0.0,0.0,0.0,2018-10-12 14:35:00
6,0.77,0.78,0.77,0.78,71268.98219,0.0,44258.932429999986,101366.36051,0.43662347357961767,101.81283170000007,50.0,0.0,0.04539973889800234,925.571197272728,1000.0,0.7755754201323781,0.0,0.7714285714285715,0.7784271135508091,0.7644300293063339,1.8144368465060456,1.112372435695798,1.0,0.0,0.7719047619047619,0.7761904761904762,0.7676190476190475,1.1104256631708955,1.4444444444444402,1.0,0.0,0.77,0.78,1.0,0.0,0.0007977207977206691,0.00015954415954413383,0.0006381766381765352,0.7714285714285715,0.7714285714285715,0.7715384615384615,0.7707407407407408,0.0,0.0,0.0,1.0,1.0,0.0,0.0025365259740380854,5.4009875556117874,145.83333333333482,-0.034472049689441064,46.77623261694065,45.11468304135821,1.6615495755824412,0.775,0.775,0.7366987577639752,0.7399937888198757,28.000000000000004,4.0,24.000000000000004,0.78,0.77,0.78,0.0,1.0,100.0,100.0,50.0,100.0,33.333333333333336,-0.0,-0.00014285714285711126,0.78,0.0,1.2987012987013102,1.2903404835907906,1.2987012987013102,2018-10-12 14:40:00
7,0.78,0.81,0.78,0.8,36639.05255,0.0,56471.94994666665,138005.41306,0.40920097766103275,191.9511487428573,50.0,1.6375969307099372,0.2728564805854216,1865.0340831701646,1025.6410256410259,0.7811749344773614,0.0,0.775,0.795,0.755,5.1612903225806495,1.125,1.0,0.0,0.775,0.7825000000000001,0.7675,1.935483870967758,2.1666666666666545,1.0,0.0,0.77,0.8,1.0,0.0,0.003009066484849776,0.0007294486246052623,0.002279617860244514,0.775,0.775,0.7759171597633135,0.7729080932784638,0.0,0.0,0.0,1.0,1.0,0.0,0.011731135066578656,6.837568533422919,247.61904761904609,-0.03804347826086962,51.62241887905612,45.92815002107045,5.694268857985669,0.79,0.79,0.7366987577639752,0.7399937888198757,32.0,4.0,28.0,0.77,0.77,0.78,1.0,0.0,100.0,100.0,50.0,75.0,58.333333333333336,-25.0,0.0020000000000000018,0.8,0.0,2.564102564102577,2.53178079842899,3.8961038961039085,2018-10-12 14:45:00
8,0.8,0.81,0.8,0.81,49604.73872,0.0,106076.68866666665,187610.15178,0.5654101745573816,235.3934685224492,50.0,0.20159364322925352,0.26394862591590057,1559.5221198974373,1025.6410256410259,0.7879150319762085,0.0,0.7788888888888889,0.8078631218009007,0.749914655976877,7.439888622199903,1.0368754921931596,1.0,0.0,0.7785185185185185,0.7862962962962964,0.7707407407407407,1.9980970504281765,2.5238095238095117,1.0,0.0,0.77,0.81,1.0,0.0,0.005505031721377174,0.0016845652439596449,0.003820466477417529,0.7788888888888889,0.7788888888888889,0.7811606736458807,0.7756556419245035,0.0,0.0,0.0,1.0,1.0,0.0,0.027501529623991192,8.141397477019357,182.39999999999964,-0.041932367149758454,56.89937725335963,47.147175269102576,9.752201984257056,0.79,0.79,0.7366987577639752,0.7399937888198757,36.0,4.0,32.0,0.77,0.77,0.78,0.0,0.0,100.0,100.0,50.0,100.0,91.66666666666667,-0.0,0.005666666666666709,0.81,0.0,1.2499999999999956,1.2422519998557173,5.1948051948051965,2018-10-12 14:50:00
9,0.82,0.82,0.81,0.81,30278.1853,0.0,75798.50336666666,217888.33708,0.3478777450067758,201.76583016209935,50.0,0.3302707840948398,0.2713177546024494,620.0592340000005,1025.6410256410259,0.7914472083598378,0.007999999999999997,0.782,0.8152264954516724,0.7487735045483277,8.497824923701364,0.9213504858001922,0.0,0.0,0.782,0.79,0.774,2.0460358056266004,2.25,1.0,0.0,0.77,0.81,1.0,0.0,0.007397824636361738,0.0028272171224400637,0.004570607513921675,0.782,0.782,0.7855974930849761,0.7781996684486143,0.0,0.0,0.0,1.0,1.0,0.0,0.04693584872771008,9.35704665907844,147.79874213836442,-0.04504347826086963,61.120943952802456,48.95641814029236,12.1645258125101,0.7949999999999999,0.7949999999999999,0.7366987577639752,0.7399937888198757,36.0,4.0,32.0,0.7708,0.7708,0.78,0.0,0.0,100.0,100.0,50.0,80.00000000000018,85.00000000000006,-19.999999999999822,0.01100000000000001,0.81,0.0,0.0,0.0,5.1948051948051965,2018-10-12 14:55:00
