,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,0.0732,0.0732,0.0732,0.0732,0.63,0.0,0.0,0.63,0.0,0.0,50.0,0.0,0.0,0.020286140711625593,1000.0,0.0732,0.0,0.0732,0.0732,0.0732,0.0,0.0,0.0,0.0,0.0732,0.0732,0.0732,0.0,0.0,0.0,0.0,0.0732,0.0732,1.0,1.0,0.0,0.0,0.0,0.0732,0.0732,0.0732,0.0732,0.0,0.0,0.0,1.0,1.0,0.0,3.973298430501272,0.0,0.0,-0.0031364179104477613,44.76530912220457,44.76530912220457,0.0,0.0732,0.0732,0.07014048507462688,0.07028783582089553,4.0,4.0,0.0,0.0732,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,0.0732,0.0,4.476530912220467,0.0,0.0,2018-11-09 22:55:00
1,0.075,0.075,0.075,0.075,1.03,0.0,0.0,1.6600000000000001,0.0,0.001853999999999996,50.0,0.0,0.0,0.05353001359944784,1000.0,0.07431686746987952,0.0,0.0741,0.0759,0.0723,4.85829959514169,0.75,0.0,0.0,0.0741,0.0741,0.0741,0.0,0.0,1.0,0.0,0.0732,0.075,1.0,0.0,0.00014358974358974486,2.871794871794897e-05,0.00011487179487179588,0.0741,0.0741,0.07347692307692308,0.07333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.00480276639343143,0.0,66.66666666666667,-0.004036417910447759,57.61078423436279,51.18804667828368,6.422737556079106,0.0741,0.0741,0.07014048507462688,0.07028783582089553,8.0,4.0,4.0,0.075,-1.0,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,0.075,0.0,2.4590163934426146,2.4292692569044316,2.4590163934426146,2018-11-09 23:00:00
2,0.0762,0.0762,0.0762,0.0762,0.01,0.0,0.0,1.6700000000000002,0.0,0.0015908571428571395,50.0,0.0,0.0,0.02548786885245896,1016.0,0.07432814371257485,0.0,0.07479999999999999,0.07726576560118759,0.0723342343988124,6.592956152908007,0.7838874869788365,0.0,0.0,0.07479999999999999,0.07479999999999999,0.07479999999999999,0.0,0.0,1.0,0.0,0.0732,0.0762,1.0,0.0,0.00035017897582001467,9.301015413836211e-05,0.00025716882168165257,0.07479999999999999,0.07479999999999999,0.07389585798816568,0.07354567901234567,0.0,0.0,0.0,1.0,1.0,0.0,0.015808346807127078,0.0,87.50000000000054,-0.004736417910447752,67.60170932159701,56.65926755938813,10.942441762208887,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.0732,0.0732,-1.0,1.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,0.0762,0.0,1.6000000000000014,1.5873349156290129,4.098360655737698,2018-11-09 23:05:00
3,0.0762,0.0762,0.0762,0.0762,0.0,1.0,0.0,1.6700000000000002,0.0,0.001363591836734691,50.0,0.0,0.0,0.0001600000000000009,1016.0,0.07432814371257485,0.0,0.07515,0.07760560583156173,0.07269439416843826,6.535211793910142,0.713796527623536,0.0,0.0,0.07515,0.07515,0.07515,0.0,0.0,1.0,0.0,0.0732,0.0762,1.0,0.0,0.0005080459928001879,0.00017601732187072727,0.00033202867092946064,0.07515,0.07515,0.07425034137460172,0.07374229538180153,0.0,0.0,0.0,1.0,1.0,0.0,0.03046127067014034,0.0,66.66666666666711,-0.005086417910447755,72.59717186521411,60.64374363584462,11.953428229369486,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.07332,0.07332,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,0.0762,0.0,0.0,0.0,4.098360655737698,2018-11-09 23:10:00
4,0.075,0.075,0.075,0.075,0.43,0.0,0.0,1.2400000000000002,0.0,0.0010950787172011635,50.0,-0.0,0.0,-0.006771653543307124,1016.0,0.07446571428571429,0.0,0.07511999999999999,0.0773196363335788,0.07292036366642118,5.856326766716743,0.47272276372050215,0.0,0.0,0.07511999999999999,0.07511999999999999,0.07511999999999999,0.0,0.0,0.0,1.0,0.0732,0.0762,0.0,0.0,0.0005302147839635757,0.00024685681428929696,0.00028335796967427873,0.07511999999999999,0.07511999999999999,0.07436567347081684,0.07383545868685326,0.0,0.0,0.0,1.0,1.0,0.0,0.04365910967169092,0.0,-9.259259259258874,-0.0050564179104477525,72.16898936147548,62.94879278097079,9.220196580504691,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.07343519999999999,0.07343519999999999,-1.0,0.0,0.0,67.3547082267562,98.48646158991899,50.0,59.999999999999815,86.66666666666661,-40.000000000000185,0.0,0.075,0.0,-1.5748031496063075,-1.5873349156290129,2.4590163934426146,2018-11-09 23:15:00
5,0.0744,0.0744,0.0744,0.0744,0.03,0.0,0.0,1.2100000000000002,0.0,0.0009360674718867115,50.0,-0.0,0.0,-0.0070116535433071255,1007.872,0.07446478873239439,0.0,0.075,0.07707846096908265,0.07292153903091735,5.542562584220405,0.3556624327025927,0.0,0.0,0.075,0.075,0.075,0.0,0.0,0.0,1.0,0.0732,0.0762,0.0,0.0,0.0004936779134053909,0.00029622103411251576,0.00019745687929287515,0.075,0.075,0.07437095447530655,0.07387727656190116,0.0,0.0,0.0,1.0,1.0,0.0,0.05362268075901404,0.0,-50.00000000000015,-0.004936417910447757,70.45625934652105,64.2000372085625,6.256222137958545,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.073545792,0.073545792,-1.0,0.0,0.0,57.28501434080913,96.48197118165925,50.0,39.99999999999972,66.66666666666652,-60.00000000000028,0.0003599999999999992,0.0744,0.0,-0.8000000000000007,-0.8032171697264445,1.6393442622950616,2018-11-09 23:20:00
6,0.0758,0.0759,0.0758,0.0759,0.03,0.0,0.03,1.2400000000000002,0.01388888888888889,0.0008087721187600385,50.0,483.33333333328244,96.66666666665648,0.00036483870967741854,1007.872,0.07448425925925928,0.0,0.07512857142857142,0.07715331631046017,0.07310382654668267,5.3900795486675275,0.6905001905002868,0.0,0.0,0.07512380952380951,0.07513809523809523,0.0751095238095238,0.03803245436104267,27.66666666667541,1.0,0.0,0.0732,0.0762,0.0,0.0,0.0005790843206500418,0.00035279369142002096,0.00022629062923002082,0.07512857142857142,0.07512857142857142,0.0746061922483363,0.07402710792768626,0.0,0.0,0.0,1.0,1.0,0.0,0.06487906246423661,5.0,59.86842105263263,-0.00506498933901918,72.2913272196865,65.35593578158021,6.935391438106279,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.07365196032,0.07365196032,-1.0,0.0,0.0,69.54382546781471,94.87238675067515,50.0,89.99999999999972,63.33333333333309,-10.000000000000277,0.0004085714285714387,0.0759,0.0,2.016129032258074,1.9960742562538325,3.688524590163933,2018-11-09 23:25:00
7,0.076,0.076,0.076,0.076,0.06,0.0,0.03,1.3000000000000003,0.013513513513513514,0.0006940903875086045,50.0,0.0,80.55555555554707,0.0006838900930766316,1007.872,0.07452522522522526,0.0,0.07523749999999998,0.07721724114469541,0.07325775885530456,5.262644677708403,0.692575681432665,0.0,0.0,0.07523333333333332,0.07524583333333332,0.07522083333333332,0.033229951262734495,31.16666666667055,1.0,0.0,0.0732,0.0762,0.0,0.0,0.0006473761289397528,0.00041171017892396736,0.00023566595001578547,0.07523749999999998,0.07523749999999998,0.07482062421013072,0.07417324808119097,0.0,0.0,0.0,1.0,1.0,0.0,0.07664541119254484,7.5,61.33333333333422,-0.005173917910447745,73.84603750111835,66.41719849652247,7.428839004595872,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.0737538819072,0.0737538819072,-1.0,0.0,0.0,70.15868993841455,93.54921606568809,50.0,93.33333333333314,74.44444444444419,-6.666666666666852,0.0002587500000000159,0.076,0.0,0.13175230566535578,0.13166558847466092,3.825136612021862,2018-11-09 23:30:00
8,0.076,0.076,0.076,0.076,0.0,1.0,0.03,1.3000000000000003,0.013513513513513514,0.0005949346178645182,50.0,0.0,80.55555555554707,7.905138339921175e-05,1007.872,0.07452522522522526,0.0,0.07532222222222221,0.07724928741232699,0.07339515703211742,5.1168569732831,0.6758575115305094,0.0,0.0,0.0753185185185185,0.07532962962962961,0.07530740740740739,0.02950432730132814,31.16666666667718,1.0,0.0,0.0732,0.0762,0.0,0.0,0.0006935036012016005,0.00046806886337949407,0.00022543473782210641,0.07532222222222221,0.07532222222222221,0.07500206663934138,0.07430856303813978,0.0,0.0,0.0,1.0,1.0,0.0,0.0880846897821752,9.166666666666666,55.64516129032319,-0.005258640132669967,75.05525660889867,67.37698273123094,7.678273877667735,0.0747,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.07385172663091201,0.07385172663091201,-1.0,0.0,0.0,70.15868993841455,92.44341461831006,50.0,93.33333333333314,92.222222222222,-6.666666666666852,0.00013333333333336028,0.076,0.0,0.0,0.0,3.825136612021862,2018-11-09 23:35:00
9,0.076,0.076,0.076,0.076,0.0,1.0,0.03,1.3000000000000003,0.013513513513513514,0.0005099439581695871,50.0,0.0,80.55555555554707,0.0,1007.872,0.07452522522522526,0.0006400000000000017,0.07538999999999998,0.0772628587773775,0.07351714122262247,4.96845411162625,0.662852642005974,0.0,0.0,0.07538666666666664,0.07539666666666664,0.07537666666666665,0.02652989034310964,31.16666666667962,1.0,0.0,0.0732,0.0762,0.0,0.0,0.0007217401837292386,0.000518803127449443,0.00020293705627979564,0.07538999999999998,0.07538999999999998,0.07515559484867347,0.07443385466494423,0.0,0.0,0.0,1.0,1.0,0.0,0.09862778937742413,10.416666666666666,51.80180180180322,-0.005326417910447745,76.02263189512293,70.85001859488852,5.172613300234403,0.07500000000000001,0.0747,0.07014048507462688,0.07028783582089553,12.0,4.0,8.0,0.07394565756567553,0.07394565756567553,-1.0,0.0,0.0,70.15868993841455,91.50785945127681,50.0,93.33333333333314,93.33333333333314,-6.666666666666852,0.0002650000000000291,0.076,0.0,0.0,0.0,3.825136612021862,2018-11-09 23:40:00
