,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,10.0,10.0,10.0,10.0,0.1,0.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,-0.07642406061102434,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,-88.58053723218008,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,-89.00092342529888,0.0,0.0,2017-05-05 15:15:00
1,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,-0.08900092342529888,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:20:00
2,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,1.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:25:00
3,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:30:00
4,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:35:00
5,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:40:00
6,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:45:00
7,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:50:00
8,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 15:55:00
9,10.0,10.0,10.0,10.0,0.0,1.0,0.0,0.1,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.91672316384181,-890.0092342529888,-890.0092342529888,0.0,10.0,10.0,91.09654896421846,90.45529190207155,4.0,4.0,0.0,10.0,10.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-05-05 16:00:00
10,80.0,80.0,80.0,80.0,1.0,0.0,0.0,1.1,0.0,10.0,50.0,0.0,0.0,7.0,1000.0,73.63636363636363,7.0,16.363636363636363,56.61080658396119,-23.88353385668847,491.9098582484146,1.2905694150420948,1.0,0.0,17.0,17.0,17.0,0.0,0.0,1.0,0.0,10.0,80.0,1.0,0.0,5.584045584045585,1.116809116809117,4.467236467236468,16.363636363636363,16.363636363636363,20.76923076923077,15.185185185185185,0.0,0.0,0.0,1.0,1.0,0.0,1.3671875,0.0,366.66666666666674,74.55308680020545,-744.6147244361292,-873.8542887177823,129.2395642816531,45.0,45.0,91.09654896421846,90.45529190207155,44.0,4.0,40.0,10.0,10.0,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,7.636363636363637,41.1111111111111,0.0,700.0,207.94415416798353,700.0,2017-05-05 16:05:00
11,80.0,80.0,80.0,80.0,0.0,1.0,0.0,1.1,0.0,8.571428571428573,50.0,0.0,0.0,7.0,1000.0,73.63636363636363,6.3,21.666666666666668,73.84158614166176,-30.508252808328432,481.61464130764705,1.0590169943749475,1.0,0.0,24.0,24.0,24.0,0.0,0.0,1.0,0.0,10.0,80.0,1.0,0.0,9.89537422585856,2.872522138619006,7.022852087239555,21.666666666666668,21.666666666666668,29.88165680473373,19.98628257887517,0.0,0.0,0.0,1.0,1.0,0.0,3.540462427745665,0.0,200.0,-11.666666666666668,-603.8864895297489,-842.0628726374223,238.17638310767336,45.0,45.0,91.09654896421846,90.45529190207155,44.0,4.0,40.0,10.0,10.0,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,16.333333333333332,58.39506172839505,0.0,0.0,0.0,700.0,2017-05-05 16:10:00
12,80.0,80.0,80.0,80.0,0.0,1.0,0.0,1.1,0.0,7.346938775510206,50.0,0.0,0.0,0.0,1000.0,73.63636363636363,5.67,26.153846153846153,85.1393523467102,-32.83166003901789,451.06563559248974,0.9564354645876384,0.0,0.0,31.0,31.0,31.0,0.0,0.0,1.0,0.0,10.0,80.0,1.0,0.0,13.160428013878885,4.930103313670982,8.230324700207902,27.5,26.153846153846153,37.592171142467,24.431743128588117,0.0,0.0,0.0,1.0,1.0,0.0,5.983949755757153,0.0,144.44444444444443,-16.153846153846153,-466.74769686219906,-795.0338129273346,328.2861160651355,45.0,45.0,91.09654896421846,90.45529190207155,44.0,4.0,40.0,12.8,12.8,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,25.846153846153847,67.99725651577502,700.0,0.0,0.0,700.0,2017-05-05 16:15:00
13,80.0,80.0,80.0,80.0,0.0,1.0,0.0,1.1,0.0,6.297376093294463,100.0,0.0,0.0,0.0,1000.0,73.63636363636363,5.103,30.0,93.24555320336759,-33.245553203367585,421.63702135578393,0.8952847075210474,0.0,0.0,38.0,38.0,38.0,0.0,0.0,1.0,0.0,10.0,80.0,1.0,0.0,15.568542200916134,7.057791091120013,8.510751109796121,33.333333333333336,30.0,44.11645250516439,28.547910304248255,0.0,0.0,0.0,0.4638319633007465,0.4638319633007465,0.0,8.233882030178325,0.0,116.66666666666666,-20.0,-332.42918023944424,-733.0804735924962,400.651293353052,45.0,45.0,91.09654896421846,90.45529190207155,44.0,4.0,40.0,15.488000000000001,15.488000000000001,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,36.0,73.33180917543056,700.0,0.0,0.0,700.0,2017-05-05 16:20:00
