,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,2.73,2.73,2.73,2.73,2.4,0.0,0.0,2.4,0.0,0.0,50.0,0.0,0.0,-0.02448903182802028,1000.0,2.73,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,-0.9004214771528317,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,2.73,0.0,-0.9241240180545729,0.0,0.0,2014-12-29 22:00:00
1,2.73,2.73,2.73,2.73,14.6,0.0,0.0,17.0,0.0,0.0,50.0,0.0,0.0,-0.02217897643330962,1000.0,2.73,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:05:00
2,2.73,2.73,2.73,2.73,2.8,0.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,1.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:10:00
3,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:15:00
4,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:20:00
5,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,-4.440892098500626e-16,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:25:00
6,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,-4.440892098500626e-16,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:30:00
7,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,-4.440892098500626e-16,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:35:00
8,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,-4.440892098500626e-16,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:40:00
9,2.73,2.73,2.73,2.73,0.0,1.0,0.0,19.8,0.0,0.0,50.0,0.0,0.0,0.0,1000.0,2.7299999999999995,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,2.73,0.0,0.0,0.0,0.0,2.73,2.73,1.0,1.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025463903743315974,-9.241240180545676,-9.241240180545676,0.0,2.73,2.73,2.7604923128342245,2.7649151069518716,4.0,4.0,0.0,2.73,2.73,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,-4.440892098500626e-16,2.73,0.0,0.0,0.0,0.0,2014-12-29 22:45:00
