,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,8.0,8.0,8.0,8.0,199.0,0.0,0.0,199.0,0.0,0.0,50.0,0.0,0.0,6611.770836168782,1000.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1620.5421470711863,0.0,0.0,-7.765830311614731,33163.26022024657,33163.26022024657,0.0,8.0,8.0,0.32495095609065155,0.5105883852691219,4.0,4.0,0.0,8.0,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,-50.0,0.0,8.0,0.0,3316.326022024657,0.0,0.0,2017-12-06 16:55:00
1,0.0004,0.0004,0.0004,0.0004,265.0,0.0,0.0,-66.0,0.0,-2119.8940000000002,50.0,-0.0,0.0,6334.502033829068,1000.0,3.4312629310344827,0.0,4.0002,11.9998,-3.9993999999999996,399.9600019999,0.24999999999999997,0.0,0.0,4.0002,4.0002,4.0002,0.0,0.0,0.0,1.0,0.0004,8.0,0.0,1.0,-0.63814472934473,-0.127628945868946,-0.510515783475784,4.0002,4.0002,6.769292307692307,7.407437037037037,0.0,0.0,0.0,1.0,1.0,0.0,-0.19530273437500245,0.0,-66.66666666666669,-3.766030311614731,16082.484191628788,24622.87220593768,-8540.388014308894,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,0.0004,-1.0,-1.0,0.0,0.0,0.0,-100.0,50.0,0.0,0.0,-100.0,0.0,0.0004,0.0,-99.995,-990.3487552536127,-99.995,2017-12-06 17:00:00
2,0.0004,0.0004,0.0004,0.0004,0.0,1.0,0.0,-66.0,0.0,-1817.0520000000004,50.0,-0.0,0.0,-264.98675000000003,1000.0,3.4312629310344827,0.0,2.666933333333334,10.209028542373208,-4.8751618757065405,565.6005806199283,0.3232233047033631,0.0,0.0,2.666933333333334,2.666933333333334,2.666933333333334,0.0,0.0,0.0,1.0,0.0004,8.0,0.0,1.0,-1.130843366531117,-0.3282718300013802,-0.8025715365297368,2.666933333333334,2.666933333333334,5.727924260355029,6.858767626886146,0.0,0.0,0.0,1.0,1.0,0.0,-0.5136728949439474,0.0,-50.000000000000014,-2.4327636449480647,10388.892182089532,19878.212197988298,-9489.320015898766,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,8.0,-1.0,8.0,0.0,1.0,0.0,-100.0,50.0,0.0,0.0,-100.0,0.0,0.0004,0.0,0.0,0.0,-99.995,2017-12-06 17:05:00
3,0.0004,0.0004,0.0004,0.0004,0.0,1.0,0.0,-66.0,0.0,-1557.4731428571433,50.0,-0.0,0.0,0.0,1000.0,3.4312629310344827,0.0,2.0003000000000006,8.928156820113996,-4.927556820113995,692.6817797444377,0.35566243270259357,0.0,0.0,2.0003000000000006,2.0003000000000006,2.0003000000000006,0.0,0.0,0.0,1.0,0.0004,8.0,0.0,1.0,-1.5039737134260802,-0.5634122066863203,-0.9405615067397599,2.0003000000000006,2.0003000000000006,4.84676668183887,6.350740395264951,0.0,0.0,0.0,1.0,1.0,0.0,-0.9035689549606636,0.0,-44.444444444444464,-1.7661303116147316,7542.096177319902,16794.1831928212,-9252.0870155013,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,7.840008,-1.0,7.840008,0.0,0.0,0.0,-100.0,50.0,0.0,0.0,-100.0,0.0,0.0004,0.0,0.0,0.0,-99.995,2017-12-06 17:10:00
4,0.0004,0.0004,0.0004,0.0004,0.0,1.0,0.0,-66.0,0.0,-1334.9769795918373,50.0,-0.0,0.0,0.0,1000.0,3.4312629310344827,0.0,1.6003200000000006,8.0,-4.799359999999999,799.8000399920013,0.37499999999999994,0.0,0.0,1.6003200000000006,1.6003200000000006,1.6003200000000006,0.0,0.0,0.0,1.0,0.0004,8.0,0.0,1.0,-1.7791730027206976,-0.8065643658931958,-0.9726086368275018,1.6003200000000006,1.6003200000000006,4.101171807709813,5.88034481043051,0.0,0.0,0.0,1.0,1.0,0.0,-1.3297196600202525,0.0,-41.666666666666686,-1.3661503116147315,5834.018574458124,14602.150269148586,-8768.131694690463,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,7.68321584,-1.0,7.68321584,0.0,0.0,0.0,-100.0,50.0,0.0,0.0,-100.0,0.0,0.0004,0.0,0.0,0.0,-99.995,2017-12-06 17:15:00
5,0.0004,0.0004,0.0004,0.0004,0.0,1.0,0.0,-66.0,0.0,-1144.2659825072892,50.0,-0.0,0.0,0.0,1000.0,3.4312629310344827,0.0,1.3336666666666674,7.296216464269106,-4.628883130935771,894.1589299078883,0.3881966011250104,0.0,0.0,1.3336666666666674,1.3336666666666674,1.3336666666666674,0.0,0.0,0.0,1.0,0.0004,8.0,0.0,1.0,-1.9745095056982955,-1.0401533938542158,-0.9343561118440797,1.3336666666666674,1.3336666666666674,3.4702838372929183,5.444793342991214,0.0,0.0,0.0,1.0,1.0,0.0,-1.7687768269868989,0.0,-40.00000000000002,-1.0994969782813984,4695.300172550273,12951.0085863822,-8255.708413831928,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,7.5295595232,-1.0,7.5295595232,0.0,0.0,0.0,-100.0,50.0,0.0,0.0,-100.0,-1.3332666666666666,0.0004,0.0,0.0,0.0,-99.995,2017-12-06 17:20:00
6,0.0004,0.0004,0.0004,0.0004,0.0,1.0,0.0,-66.0,0.0,-980.7994135776765,50.0,-0.0,0.0,0.0,1000.0,3.4312629310344827,0.0,1.1432000000000007,6.741753756105233,-4.4553537561052305,979.4530713969958,0.39793792738403416,0.0,0.0,1.1432000000000007,1.1432000000000007,1.1432000000000007,0.0,0.0,0.0,1.0,0.0004,8.0,0.0,1.0,-2.105049392581618,-1.2531325935996964,-0.8519167989819216,1.1432000000000007,1.1432000000000007,2.9364555546324693,5.041504947214087,0.0,0.0,0.0,1.0,1.0,0.0,-2.2057667033654815,0.0,-38.8888888888889,-0.9090303116147316,3881.929885473235,11655.425914823776,-7773.496029350541,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,7.378976332735999,-1.0,7.378976332735999,0.0,0.0,0.0,-100.0,50.0,0.0,0.0,-100.0,-1.1427999999999998,0.0004,0.0,0.0,0.0,-99.995,2017-12-06 17:25:00
7,0.3,0.3,0.21,0.21,5.0,0.0,-5.0,-61.0,-0.010660980810234541,-840.5354973522943,50.0,458280.0,229140.0,2619.9999999999995,1000.0,3.3972409381663113,0.0,1.0265500000000007,6.299768264968748,-4.246668264968745,1027.3670576140944,0.422575744168932,0.0,0.0,1.0303000000000007,1.0415500000000006,1.0190500000000007,2.1838299524410316,-35.95777777777786,0.0,1.0,0.0004,8.0,0.0,0.0,-2.166614837945114,-1.43582904246878,-0.7307857954763337,1.0265500000000007,1.0265500000000007,2.517000853919782,4.683615691864896,0.0,0.0,0.0,1.0,1.0,0.0,-2.625951185722064,5.0,-30.237552070629565,-0.7923803116147317,3383.7868473867643,10621.47103139415,-7237.684184007387,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,7.2314048060812794,-1.0,7.2314048060812794,0.0,0.0,3.9267529258638803,-99.93152499853356,50.0,2.620131006550327,0.8733770021834424,-97.37986899344968,-0.9808549999999999,0.21,0.0,52400.0,626.3398262591624,-97.375,2017-12-06 17:30:00
8,0.259,0.259,0.259,0.259,5.0,0.0,-5.0,-56.0,-0.010548523206751054,-720.4239977305381,50.0,0.0,152760.0,2621.166666666666,1000.0,3.364137130801688,0.0,0.9412666666666674,5.93625684661475,-4.053723513281415,1061.3337020925164,0.431704904105161,0.0,0.0,0.9446000000000007,0.9546000000000006,0.9346000000000007,2.1172983273343102,-33.78000000000019,0.0,1.0,0.0004,8.0,0.0,0.0,-2.186250274193492,-1.5859132888137224,-0.6003369853797698,0.9412666666666674,0.9412666666666674,2.1696161071628923,4.3558663813563845,0.0,0.0,0.0,1.0,1.0,0.0,-3.024093614359152,7.5,-29.152138787311873,-0.7070969782813983,3019.5922587471787,9776.817834433376,-6757.225575686197,4.0002,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,7.0867847099596535,-1.0,7.0867847099596535,0.0,0.0,4.867240700651095,-99.85552393425058,50.0,3.232661633081654,1.950930879877327,-96.76733836691834,-0.8432266666666665,0.259,0.0,23.33333333333334,20.97205309820691,-96.76249999999999,2017-12-06 17:35:00
9,0.259,0.259,0.259,0.259,0.0,1.0,-5.0,-56.0,-0.010548523206751054,-617.5062837690327,50.0,0.0,152760.0,1.1666666666666672,1000.0,3.364137130801688,0.83482,0.8730400000000007,5.6293526282447,-3.8832726282446988,1089.597871402157,0.4354499958272708,0.0,0.0,0.8760400000000006,0.8850400000000006,0.8670400000000006,2.054700698598238,-33.78,0.0,1.0,0.0004,8.0,0.0,0.0,-2.1767196299528377,-1.7040745570415456,-0.4726450729112921,0.8730400000000007,0.8730400000000007,1.8756751675993704,4.052394797552208,0.0,0.0,0.0,1.0,1.0,0.0,-3.398657361083394,9.166666666666666,-28.871582659082897,-0.6388703116147316,2728.2365878355085,6395.1485419432565,-3666.911954107748,2.0752,4.0002,0.32495095609065155,0.5105883852691219,4.0,8.0,-4.0,6.945057015760461,-1.0,6.945057015760461,0.0,0.0,4.867240700651095,-99.7893048005706,50.0,3.232661633081654,3.0284847575712117,-96.76733836691834,-0.7227799999999998,0.259,0.0,0.0,0.0,-96.76249999999999,2017-12-06 17:40:00
