,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,6.095,6.095,6.081,6.081,30.802,0.0,-30.802,30.802,-1.0,0.0,50.0,0.0,0.0,-1.6203725019051052,1000.0,6.0856666666666674,0.0,6.081,6.081,6.081,0.0,0.0,0.0,0.0,6.0856666666666674,6.099666666666667,6.071666666666668,0.46009749685050155,0.33333333333331217,0.0,0.0,6.081,6.081,1.0,1.0,0.0,0.0,0.0,6.081,6.081,6.081,6.081,0.0,0.0,0.0,1.0,1.0,0.0,-5.70498971636471,1.0,0.0,0.382246652572233,-59.14158520008006,-59.14158520008006,0.0,6.088,6.088,6.459515327695561,6.450717406624383,4.0,4.0,0.0,6.081,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,6.081,0.0,-5.914158520008006,0.0,0.0,2019-08-29 17:30:00
1,6.117999999999999,6.117999999999999,6.117999999999999,6.117999999999999,2.0,0.0,-30.802,32.802,-0.9390281080421925,0.07399999999999807,50.0,0.0,0.0,-1.8095100561899622,1006.0845255714519,6.087638091173303,0.0,6.0995,6.136499999999999,6.062500000000001,1.213214197885041,0.75,0.0,0.0,6.101833333333333,6.108833333333333,6.094833333333334,0.22943923957279527,1.6547619047619109,1.0,0.0,6.081,6.117999999999999,1.0,0.0,0.002951566951566953,0.0005903133903133906,0.0023612535612535625,6.0995,6.0995,6.086692307692307,6.0837407407407404,0.0,0.0,0.0,1.0,1.0,0.0,0.0011883839006680383,1.8333333333333335,66.66666666666667,0.3637466525722335,-56.27924665809716,-57.71041592908861,1.4311692709914539,6.0995,6.0995,6.459515327695561,6.450717406624383,8.0,4.0,4.0,6.117999999999999,-1.0,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,-0.0,0.0,6.117999999999999,0.0,0.6084525571451893,0.6066089590738732,0.6084525571451893,2019-08-29 17:35:00
2,6.11,6.111000000000001,6.11,6.111000000000001,216.76094811,0.0,185.95894811,-183.95894811,0.7451384491099807,-0.15333237668139255,50.0,-3.4600328451208937,-1.7300164225604469,-0.2358411869691813,1006.0845255714519,6.107639841815245,0.0,6.103333333333334,6.135430408312563,6.071236258354106,1.051788366331898,0.6194293665642078,0.0,0.0,6.104777777777778,6.109777777777778,6.099777777777778,0.16380612634913652,1.1222222222222153,1.0,0.0,6.081,6.117999999999999,0.0,0.0,0.00467200753240693,0.0014066522187320984,0.0032653553136748315,6.103333333333334,6.103333333333334,6.090431952662722,6.085759945130315,0.0,0.0,0.0,1.0,1.0,0.0,0.0028946439531785835,2.561241788514521,30.813953488374892,0.359913319238899,-55.686149482731274,-57.0356604469695,1.3495109642382275,6.0995,6.0995,6.459515327695561,6.450717406624383,8.0,4.0,4.0,6.095,-1.0,6.095,0.0,1.0,83.07426597582246,99.58046149235848,50.0,81.08108108108387,60.36036036036129,-18.91891891891613,0.0,6.111000000000001,0.0,-0.11441647597252302,-0.11448198159329515,0.49333991119882015,2019-08-29 17:40:00
3,6.11,6.117000000000001,6.099,6.099,598.09488064,0.0,-412.13593253000005,-782.0538287500001,-0.4862055401974603,-1.156733261109804,50.0,-7.523889847016889,-3.6613075640459276,-1.422472448499955,1006.0845255714519,6.105777208306952,0.0,6.102250000000001,6.130299064155512,6.074200935844489,0.919302360785328,0.44206580330128714,0.0,0.0,6.104833333333334,6.113083333333334,6.096583333333333,0.2702776488574729,0.14646464646465843,0.0,0.0,6.081,6.117999999999999,0.0,0.0,0.0050094238560571824,0.0021272065461971153,0.002882217309860067,6.102250000000001,6.102250000000001,6.091750113791534,6.086740689935477,0.0,0.0,0.0,1.0,1.0,0.0,0.004483356539987344,3.4531195633904916,1.1594202898565231,0.3609966525722328,-55.85376390185639,-56.74018631069122,0.8864224088348323,6.0995,6.0995,6.459515327695561,6.450717406624383,8.0,4.0,4.0,6.11,6.11,6.095,1.0,0.0,63.29588014981297,98.51234035727897,50.0,48.64864864864936,76.57657657657775,-51.35135135135064,0.0,6.099,0.0,-0.19636720667649543,-0.19656025984593484,0.2960039467192921,2019-08-29 17:45:00
4,6.091,6.091,6.091,6.091,14.05605605,0.0,-412.13593253000005,-796.1098848000001,-0.47827468002985113,-1.0075497164369749,50.0,-0.0,-2.745980673034446,-1.1928994047476007,1004.7648541163655,6.105536166272131,0.0,6.1000000000000005,6.126653329998332,6.073346670001669,0.873879672076438,0.3311655616659572,0.0,0.0,6.102066666666667,6.108666666666667,6.095466666666667,0.2163201538276702,-0.33838383838382646,0.0,1.0,6.081,6.117999999999999,0.0,0.0,0.00457851728505787,0.002617468693969266,0.0019610485910886042,6.1000000000000005,6.1000000000000005,6.091634711669759,6.087056194384701,0.0,0.0,0.0,1.0,1.0,0.0,0.005659268797636041,4.2099901307663945,-67.1521035598759,0.3632466525722329,-56.201886156962445,-56.632526279945466,0.43064012298302146,6.0995,6.0995,6.459515327695561,6.450717406624383,8.0,4.0,4.0,6.117000000000001,6.11,6.117000000000001,0.0,1.0,54.05608495867106,97.14424359662989,50.0,27.027027027027156,52.25225225225347,-72.97297297297284,0.0,6.091,0.0,-0.1311690441055946,-0.1312551459971667,0.16444663706627338,2019-08-29 17:50:00
5,6.091,6.091,6.091,6.091,0.0,1.0,-412.13593253000005,-796.1098848000001,-0.47827468002985113,-0.8636140426602642,50.0,-0.0,-2.745980673034446,-0.01843719435973112,1004.7648541163655,6.105536166272131,0.0,6.0985000000000005,6.123738858928248,6.073261141071753,0.8277071059522016,0.35141959029680553,0.0,0.0,6.100222222222222,6.105722222222223,6.094722222222223,0.18032129977050215,-0.3383838383838714,0.0,1.0,6.081,6.117999999999999,0.0,0.0,0.004188735586582837,0.00293172207249198,0.0012570135140908567,6.0985000000000005,6.0985000000000005,6.0915370637205655,6.087348328133983,0.0,0.0,0.0,1.0,1.0,0.0,0.006497007259708619,4.867352979659573,-55.89225589225692,0.36474665257223293,-56.433967660366456,-56.599433176682304,0.16546551631584805,6.0995,6.0995,6.459515327695561,6.450717406624383,8.0,4.0,4.0,6.117000000000001,6.11,6.117000000000001,0.0,0.0,54.05608495867106,96.00846394041115,50.0,27.027027027027156,34.23423423423456,-72.97297297297284,0.0026166666666664895,6.091,0.0,0.0,0.0,0.16444663706627338,2019-08-29 17:55:00
6,6.075,6.075,6.051,6.051,30.16994595,0.0,-442.30587848000005,-826.2798307500002,-0.49592319451296435,-0.9126402991373694,50.0,-2227.3821806432543,-447.6732206670784,-0.19812803119356445,1004.7648541163655,6.10396197737808,0.0,6.0917142857142865,6.132348040657884,6.051080530770689,1.3340663411902807,-0.0009909343943359512,0.0,1.0,6.094333333333333,6.102476190476191,6.086190476190477,0.26722716653252776,-2.1608187134503436,0.0,1.0,6.051,6.117999999999999,0.0,1.0,0.0006447329956227321,0.0024743242571181306,-0.0018295912614953985,6.0917142857142865,6.0917142857142865,6.08530059237894,6.084655859383317,0.0,0.0,0.0,1.0,1.0,0.0,0.0057750088231391114,5.84890447207424,-162.7192982456147,0.3715323668579469,-57.48386017576562,-56.72577989083707,-0.7580802849285533,6.0845,6.0845,6.459515327695561,6.450717406624383,8.0,28.000000000000004,-20.000000000000004,6.116480000000001,6.11,6.116480000000001,0.0,0.0,29.27491162818751,92.51158166768272,50.0,0.0,18.018018018018108,-100.0,-0.002942857142857136,6.051,0.0,-0.6567066163191582,-0.6588724214163122,-0.49333991119882015,2019-08-29 18:00:00
7,6.023,6.067,6.023,6.067,11.9168,0.0,-430.38907848,-814.3630307500002,-0.4761991348942196,-0.7550247135463167,50.0,-6646.07948442551,-1480.7409312934835,-0.16661773537469152,1007.4216443437431,6.103281242928004,0.0,6.088625,6.130000566461379,6.047249433538622,1.3591103561601718,0.23867427265091656,0.0,0.0,6.089083333333333,6.101708333333334,6.076458333333334,0.41467653861418285,-0.37458745874589605,0.0,1.0,6.051,6.117999999999999,0.0,0.0,-0.0008629013191816526,0.0018068791418581742,-0.002669780461039827,6.088625,6.088625,6.082485116628334,6.0833480179475155,0.0,0.0,0.0,1.0,1.0,0.0,0.004541888180722022,7.287760855442195,-139.50177935943063,0.374621652572233,-57.9618375577763,-56.880287099204466,-1.081550458571833,6.070499999999999,6.070499999999999,6.459515327695561,6.450717406624383,8.0,28.000000000000004,-20.000000000000004,6.113860800000001,6.11,6.113860800000001,0.0,0.0,40.938370818319555,89.66264031672534,50.0,46.31578947368484,24.447605500237334,-53.68421052631516,-0.009712500000000901,6.067,0.0,0.26441910428027793,0.2640701319976291,-0.23022529189278274,2019-08-29 18:05:00
8,6.067,6.067,6.067,6.067,0.0,1.0,-430.38907848,-814.3630307500002,-0.4761991348942196,-0.6471640401825572,50.0,-6646.07948442551,-1480.7409312934835,0.03151029581887294,1007.4216443437431,6.103281242928004,0.0,6.086222222222222,6.1275316537821265,6.044912790662318,1.3574736528375153,0.2673385774584287,0.0,0.0,6.08662962962963,6.0978518518518525,6.075407407407408,0.3687499619688651,-0.37458745874586696,0.0,1.0,6.051,6.117999999999999,0.0,0.0,-0.0020342626619012094,0.0010386507811062976,-0.003072913443007507,6.086222222222222,6.086222222222222,6.080102790993205,6.0821370536551065,0.0,0.0,0.0,1.0,1.0,0.0,0.0030105655241129455,8.405083791145985,-71.36445242369835,0.3770244303500112,-58.333597743784594,-57.04176605971337,-1.2918316840712265,6.070499999999999,6.070499999999999,6.459515327695561,6.450717406624383,8.0,28.000000000000004,-20.000000000000004,6.108409152000001,6.11,6.108409152000001,0.0,0.0,40.938370818319555,87.28825016091973,50.0,46.31578947368484,30.87719298245656,-53.68421052631516,-0.015433333333334964,6.067,0.0,0.0,0.0,-0.23022529189278274,2019-08-29 18:10:00
9,6.067,6.067,6.067,6.067,0.0,1.0,-430.38907848,-814.3630307500002,-0.4761991348942196,-0.554712034442192,50.0,-6646.07948442551,-1480.7409312934835,0.0,1007.4216443437431,6.103281242928004,0.01689999999999987,6.084300000000001,6.125151438163178,6.043448561836823,1.342847596705544,0.28825714861130336,0.0,0.0,6.084666666666666,6.094766666666667,6.074566666666668,0.331982031335583,-0.3745874587459268,0.0,1.0,6.051,6.117999999999999,0.0,0.0,-0.002928813427144128,0.00024515793945621245,-0.0031739713666003406,6.084300000000001,6.084300000000001,6.078086976994251,6.081015790421395,0.0,0.0,0.0,1.0,1.0,0.0,0.0013394241858282355,9.318328806528882,-63.09523809523595,0.3789466525722327,-58.63100589259124,-56.985035025547944,-1.645970867043296,6.070499999999999,6.070499999999999,6.459515327695561,6.450717406624383,8.0,28.000000000000004,-20.000000000000004,6.1032846028800005,6.11,6.1032846028800005,0.0,0.0,40.938370818319555,85.28404012533855,50.0,46.31578947368484,46.31578947368484,-53.68421052631516,-0.018250000000001876,6.067,0.0,0.0,0.0,-0.23022529189278274,2019-08-29 18:15:00
