,open,high,low,close,base_volume,nan_ohlcv,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,closing_time
0,3.187e-05,3.187e-05,3.186e-05,3.186e-05,5000.0,0.0,-5000.0,5000.0,-1.0,0.0,50.0,0.0,0.0,-94.35486168786434,1000.0,3.186333333333333e-05,0.0,3.186e-05,3.186e-05,3.186e-05,0.0,0.0,0.0,0.0,3.186333333333333e-05,3.1873333333333325e-05,3.1853333333333336e-05,0.06276807197402337,0.3333333333335592,0.0,0.0,3.186e-05,3.186e-05,1.0,1.0,0.0,0.0,0.0,3.186e-05,3.186e-05,3.186e-05,3.186e-05,0.0,0.0,0.0,1.0,1.0,0.0,-1.7709450780263716,1.0,0.0,6.112545676004841e-07,-18.82448263056606,-18.82448263056606,0.0,3.1865e-05,3.1865e-05,3.2461534713763704e-05,3.242878197320341e-05,4.0,4.0,0.0,3.186e-05,-1.0,-1.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,-100.0,0.0,3.186e-05,0.0,-1.882448263056602,0.0,0.0,2019-10-10 16:30:00
1,3.189e-05,3.189e-05,3.189e-05,3.189e-05,140.0,0.0,-5000.0,5140.0,-0.9727626459143969,4.199999999999723e-06,50.0,0.0,0.0,-93.99058641083407,1000.9416195856872,3.186405966277562e-05,0.0,3.1875e-05,3.1905e-05,3.1845000000000004e-05,0.18823529411763462,0.75,0.0,0.0,3.1876666666666666e-05,3.188166666666666e-05,3.187166666666667e-05,0.03137090871063941,1.8333333333342368,1.0,0.0,3.186e-05,3.189e-05,1.0,0.0,2.3931623931627757e-09,4.786324786325552e-10,1.9145299145302207e-09,3.1875e-05,3.1875e-05,3.186461538461539e-05,3.1862222222222226e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.00018391007531784017,1.8333333333333333,66.66666666666667,5.962545676004851e-07,-18.362535588490083,-18.59350910952807,0.2309735210379884,3.1875e-05,3.1875e-05,3.2461534713763704e-05,3.242878197320341e-05,8.0,4.0,4.0,3.189e-05,-1.0,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,-0.0,0.0,3.189e-05,0.0,0.09416195856872811,0.09411765400635375,0.09416195856872811,2019-10-10 16:35:00
2,3.189e-05,3.189e-05,3.189e-05,3.189e-05,0.0,1.0,-5000.0,5140.0,-0.9727626459143969,3.5999999999997627e-06,50.0,0.0,0.0,0.1318267419962248,1000.9416195856872,3.186405966277562e-05,0.0,3.188e-05,3.190828427124746e-05,3.185171572875254e-05,0.17744210318355444,0.6767766952966859,0.0,0.0,3.188111111111111e-05,3.1884444444444445e-05,3.1877777777777784e-05,0.020911023594587044,1.8333333333341804,1.0,0.0,3.186e-05,3.189e-05,1.0,0.0,4.240874668229094e-09,1.231080916551863e-09,3.009793751677231e-09,3.188e-05,3.188e-05,3.186852071005918e-05,3.186427983539095e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0004827630598913268,2.5476190476190474,50.0,5.912545676004877e-07,-18.208553241131426,-18.46519048672919,0.25663724559776213,3.1875e-05,3.1875e-05,3.2461534713763704e-05,3.242878197320341e-05,8.0,4.0,4.0,3.186e-05,3.186e-05,-1.0,1.0,0.0,100.0,100.0,50.0,100.0,66.66666666666667,-0.0,0.0,3.189e-05,0.0,0.0,0.0,0.09416195856872811,2019-10-10 16:40:00
3,3.19e-05,3.19e-05,3.19e-05,3.19e-05,500.0,0.0,-5000.0,5640.0,-0.8865248226950354,3.799999999999911e-06,50.0,0.0,0.0,0.15678896205709622,1000.9416195856872,3.186724586288416e-05,0.0,3.1885e-05,3.1914999999999995e-05,3.1855e-05,0.18817625842871583,0.7500000000001129,0.0,0.0,3.188583333333334e-05,3.188833333333334e-05,3.188333333333334e-05,0.015680945038279517,3.3333333333342368,1.0,0.0,3.186e-05,3.19e-05,1.0,0.0,6.437904232236863e-09,2.272445579688863e-09,4.165458652548e-09,3.1885e-05,3.1885e-05,3.187336367774238e-05,3.186692577351014e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0009061342260284852,3.1726190476190474,83.95061728393947,5.862545676004903e-07,-18.05457089377275,-18.36253558849008,0.3079646947173309,3.188e-05,3.188e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,4.0,12.0,3.1861200000000006e-05,3.1861200000000006e-05,-1.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,-0.0,0.0,3.19e-05,0.0,0.03135779241141279,0.03135287688333932,0.12554927809165228,2019-10-10 16:45:00
4,3.189e-05,3.189e-05,3.182e-05,3.188e-05,14121.76227757,0.0,5086.973055406754,-8481.76227757,0.2574149503448167,-3.709074936449224e-05,50.0,-2.2305997920696484e-11,-7.435332640232161e-12,-8.696980490966261,1000.9416195856872,3.1864449967890346e-05,0.0,3.1883999999999995e-05,3.1911129319932495e-05,3.1856870680067494e-05,0.17017513444047522,0.42627902192263817,0.0,0.0,3.1881333333333336e-05,3.189733333333334e-05,3.186533333333334e-05,0.1003722136255143,0.4583333333331304,0.0,0.0,3.186e-05,3.19e-05,0.0,0.0,6.4904156657860255e-09,3.1160395969082956e-09,3.37437606887773e-09,3.1883999999999995e-05,3.1883999999999995e-05,3.18743846503974e-05,3.186789423473161e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.001270348443766857,4.951480324750735,-83.33333333334902,5.872545676004925e-07,-18.085367363244497,-18.307101943440962,0.22173458019646475,3.1859999999999997e-05,3.1859999999999997e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,4.0,12.0,3.19e-05,3.1861200000000006e-05,3.19e-05,0.0,1.0,62.48034456826035,98.46922553644544,50.0,74.99999999999788,91.66666666666596,-25.000000000002117,0.0,3.188e-05,0.0,-0.06269592476489949,-0.06271558687842571,0.06277463904580394,2019-10-10 16:50:00
5,3.187e-05,3.187e-05,3.182e-05,3.182e-05,212.63090771,0.0,4874.342147696753,-8694.39318528,0.24402954835638602,-3.361462152136486e-05,50.0,-2.3514925717291527e-10,-6.436381377340293e-11,-9.253953093631909,999.0577896868434,3.1864154209791284e-05,0.0,3.187333333333333e-05,3.192708171832199e-05,3.181958494834467e-05,0.33726240319175116,0.0038610616431659773,0.0,0.0,3.187388888888889e-05,3.189555555555556e-05,3.1852222222222224e-05,0.13595245150157784,-0.7435897435898599,0.0,1.0,3.182e-05,3.19e-05,0.0,1.0,1.6712674651112752e-09,2.8270851705488916e-09,-1.1558177054376164e-09,3.187333333333333e-05,3.187333333333333e-05,3.186601778110549e-05,3.186434651364038e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0012089857919463877,6.829457245939432,-127.61904761905924,5.979212342671554e-07,-18.413863037609683,-18.32489545913575,-0.08896757847393388,3.1859999999999997e-05,3.1859999999999997e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,24.0,-8.0,3.19e-05,3.1861200000000006e-05,3.19e-05,0.0,0.0,28.24387194012877,92.67369687588126,50.0,0.0,58.33333333333263,-100.0,1.8333333333373533e-09,3.182e-05,0.0,-0.18820577164366803,-0.18838310123747704,-0.1255492780916745,2019-10-10 16:55:00
6,3.182e-05,3.182e-05,3.182e-05,3.182e-05,0.0,1.0,4874.342147696753,-8694.39318528,0.24402954835638602,-2.881253273259845e-05,50.0,-2.3514925717291527e-10,-6.436381377340293e-11,-0.4001836406085508,999.0577896868434,3.1864154209791284e-05,0.0,3.186571428571428e-05,3.19279186887345e-05,3.1803509882694064e-05,0.39041587119298543,0.13254783026028857,0.0,0.0,3.1866190476190474e-05,3.1884761904761905e-05,3.184761904761905e-05,0.1165588248479479,-0.7435897435898793,0.0,1.0,3.182e-05,3.19e-05,0.0,1.0,-2.123464230176903e-09,1.8369752904037327e-09,-3.960439520580636e-09,3.186571428571428e-05,3.186571428571428e-05,3.1858938122473874e-05,3.186106158670405e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0008628086848358471,8.194667497956484,-132.3586744639237,6.055402818862043e-07,-18.648502805013383,-18.37112507997541,-0.2773777250379723,3.1859999999999997e-05,3.1859999999999997e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,24.0,-8.0,3.18984e-05,3.1861200000000006e-05,3.18984e-05,0.0,0.0,28.24387194012877,88.02715385939224,50.0,0.0,24.9999999999993,-100.0,-4.428571428571459e-09,3.182e-05,0.0,0.0,0.0,-0.1255492780916745,2019-10-10 17:00:00
7,3.182e-05,3.182e-05,3.182e-05,3.182e-05,0.0,1.0,4874.342147696753,-8694.39318528,0.24402954835638602,-2.4696456627941532e-05,50.0,-2.3514925717291527e-10,-6.436381377340293e-11,0.0,999.0577896868434,3.1864154209791284e-05,0.0,3.1859999999999997e-05,3.192557438524302e-05,3.1794425614756974e-05,0.4116408364282652,0.19500285933480585,0.0,0.0,3.186041666666667e-05,3.1876666666666666e-05,3.184416666666667e-05,0.10200745439088751,-0.7435897435899895,0.0,1.0,3.182e-05,3.19e-05,0.0,1.0,-5.072345595657406e-09,4.5511111319150504e-10,-5.527456708848911e-09,3.1859999999999997e-05,3.1859999999999997e-05,3.1852947642093275e-05,3.185801998768893e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.00033902731519525037,9.26706746430829,-103.05444887118631,6.112545676004909e-07,-18.824482630566163,-18.427794773799256,-0.3966878567669063,3.1859999999999997e-05,3.1859999999999997e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,24.0,-8.0,3.1896832e-05,3.1861200000000006e-05,3.1896832e-05,0.0,0.0,28.24387194012877,84.22822132757834,50.0,0.0,4.736951571734001e-15,-100.0,-1.2624999999995496e-08,3.182e-05,0.0,0.0,0.0,-0.1255492780916745,2019-10-10 17:05:00
8,3.19e-05,3.19e-05,3.19e-05,3.19e-05,686.0,0.0,4874.342147696753,-8008.39318528,0.23592688212582502,-1.3328391395377868e-05,50.0,0.0,-5.149105101872235e-11,1.724701445631808,999.0577896868434,3.1865344420057986e-05,0.0,3.186444444444444e-05,3.193118514407858e-05,3.1797703744810304e-05,0.41890389616237883,0.7663708632848593,0.0,0.0,3.1864814814814814e-05,3.187925925925926e-05,3.1850370370370374e-05,0.09066077759050872,1.7179487179488082,1.0,0.0,3.182e-05,3.19e-05,1.0,0.0,-9.43151843875846e-10,1.7545852177803484e-10,-1.118610365653881e-09,3.186444444444444e-05,3.186444444444444e-05,3.186018646638662e-05,3.1861129618230495e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.00020851140905614056,10.150079100806343,87.42331288343406,6.068101231560457e-07,-18.687609432913998,-18.45666306925645,-0.23094636365754795,3.1859999999999997e-05,3.1859999999999997e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,24.0,-8.0,3.182e-05,3.182e-05,3.1896832e-05,1.0,0.0,62.48068306826536,81.66938841531794,50.0,100.0,33.333333333333336,-0.0,-1.7000000000003395e-08,3.19e-05,0.0,0.25141420490260025,0.25109868811590275,0.12554927809165228,2019-10-10 17:10:00
9,3.19e-05,3.19e-05,3.19e-05,3.19e-05,0.0,1.0,4874.342147696753,-8008.39318528,0.23592688212582502,-1.142433548175246e-05,50.0,0.0,-5.149105101872235e-11,1.724701445631808,999.0577896868434,3.1865344420057986e-05,2.7000000000000927e-08,3.1868e-05,3.1934813172353966e-05,3.1801186827646035e-05,0.4193119891676015,0.7394737360356987,0.0,0.0,3.1868333333333335e-05,3.1881333333333336e-05,3.185533333333334e-05,0.08158569112492868,1.7179487179488382,1.0,0.0,3.182e-05,3.19e-05,1.0,0.0,2.302719635082623e-09,6.009107444389525e-10,1.7018088906436708e-09,3.1868e-05,3.1868e-05,3.186631162540406e-05,3.186400890576898e-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0003466484665777836,10.9005549548909,76.30522088352971,6.032545676004869e-07,-18.57811087479227,-18.42928842972603,-0.14882244506624076,3.1859999999999997e-05,3.1859999999999997e-05,3.2461534713763704e-05,3.242878197320341e-05,16.0,24.0,-8.0,3.182e-05,3.182e-05,3.1896832e-05,0.0,0.0,62.48068306826536,79.6372448532212,50.0,100.0,66.66666666666667,-0.0,-1.1499999999998111e-08,3.19e-05,0.0,0.0,0.0,0.12554927809165228,2019-10-10 17:15:00
