model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,FPR,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1,pct_class_1,pct_class_neg1,pct_class_0
cbpro_bitfinex_ltc_usd_rf,cbpro_bitfinex_ltc_usd,rf,{},0.9968465139196846,3.09,3.8,0.002965654019387964,242,6660,6902,1.0,0.997034345980612,0.9952181709503886,0.6111111111111112,0.9994054586329264,0.9990999099909992,0.7586206896551725,0.9982184942564996,0.9971552627638868,0.24,0.12,0.64
bitfinex_cbpro_etc_usd_rf,bitfinex_cbpro_etc_usd,rf,{},0.9985943689568514,2.79,1.55,0.0014322295039277812,18,418,436,1.0,0.9985677704960724,1.0,0.6923076923076923,1.0,0.9435665914221218,0.8181818181818181,0.9992833720601968,0.9709639953542392,0.07,0.36,0.57
cbpro_bitfinex_eth_usd_rf,cbpro_bitfinex_eth_usd,rf,{},0.9834936214963954,2.5,1.46,0.0186552944378913,38,10413,10451,1.0,0.9813447055621088,0.9947458922430265,0.08463251670378619,0.9989839651222936,0.9440616500453308,0.15605749486652976,0.9900857767972392,0.9687412782584428,0.21,0.12,0.67
bitfinex_cbpro_btc_usd_rf_hyper_auto_19_150,bitfinex_cbpro_btc_usd,rf_hyper,"{'max_depth': 19, 'max_features': 'auto', 'n_estimators': 150}",0.9980559349353414,2.14,1.99,0.002824858757062147,27091,368,27459,0.9997785732737942,0.9971751412429378,1.0,0.997679899830596,0.9998881890350714,0.8052516411378556,0.9987281340436122,0.998529822275984,0.8921212121212122,0.08,0.19,0.73
cbpro_gemini_bch_btc_rf,cbpro_gemini_bch_btc,rf,{},0.9321642824180896,1.57,1.32,0.09158878504672896,147,415,562,1.0,0.908411214953271,1.0,0.592741935483871,1.0,0.9002169197396963,0.7443037974683544,0.952007835455436,0.9474885844748858,0.15,0.16,0.7
gemini_hitbtc_bch_btc_rf_hyper_auto_17_150,gemini_hitbtc_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 'auto', 'n_estimators': 150}",0.9769372693726938,1.53,1.17,0.0335345405767941,433,244,677,1.0,0.966465459423206,1.0,0.9413043478260872,1.0,0.9138576779026216,0.96976483762598,0.9829467939972716,0.954990215264188,0.16,0.14,0.69
gemini_bitfinex_bch_btc_rf,gemini_bitfinex_bch_btc,rf,{},0.9501615136132904,1.5,1.14,0.07166556071665561,440,220,660,1.0,0.9283344392833444,1.0,0.8627450980392157,1.0,0.8527131782945736,0.9263157894736842,0.962835512732278,0.9205020920502092,0.16,0.16,0.68
kraken_gemini_bch_btc_rf,kraken_gemini_bch_btc,rf,{},0.9527340129749768,1.1,0.44,0.05814622913068509,150,270,420,1.0,0.9418537708693148,0.9963099630996308,0.6637168141592921,0.9993891264508248,0.9152542372881356,0.797872340425532,0.9697688203912272,0.9540636042402828,0.14,0.14,0.71
hitbtc_cbpro_eth_usdc_rf_hyper_auto_25_100,hitbtc_cbpro_eth_usdc,rf_hyper,"{'max_depth': 25, 'max_features': 'auto', 'n_estimators': 100}",0.9989517173336622,1.02,0.79,0.0018050541516245488,2945,3854,6799,1.0,0.9981949458483754,1.0,0.999321343739396,1.0,0.9961230292065132,0.9996605566870332,0.999096657633243,0.9980577495791793,0.17,0.17,0.66
bitfinex_hitbtc_bch_usdt_rf,bitfinex_hitbtc_bch_usdt,rf,{},0.9886820690300252,0.95,0.6,0.016566894055408603,1142,2364,3506,0.9982517482517482,0.9834331059445914,1.0,0.9548494983277592,0.9997169544296632,0.9732400164676822,0.976068376068376,0.9915081760123516,0.9864385562278324,0.19,0.14,0.67
gemini_kraken_ltc_btc_rf,gemini_kraken_ltc_btc,rf,{},0.9814750087382036,0.81,0.69,0.023597506678539625,106,509,615,1.0,0.9764024933214605,1.0,0.7910447761194029,1.0,0.9531835205992508,0.8833333333333333,0.9880603739580986,0.9760306807286672,0.11,0.07,0.82
gemini_cbpro_ltc_btc_rf,gemini_cbpro_ltc_btc,rf,{},0.9878824969400244,0.57,0.54,0.013765294771968854,444,534,978,1.0,0.9862347052280312,1.0,0.925,1.0,0.8944723618090452,0.9610389610389608,0.9930696534826742,0.9442970822281168,0.07,0.06,0.87
gemini_hitbtc_ltc_btc_rf,gemini_hitbtc_ltc_btc,rf,{},0.9829865361077113,0.56,0.54,0.01924141749723145,409,537,946,1.0,0.9807585825027686,1.0,0.8538622129436325,1.0,0.8861386138613861,0.9211711711711712,0.9902858340904328,0.9396325459317586,0.07,0.06,0.87
gemini_bitfinex_ltc_btc_rf,gemini_bitfinex_ltc_btc,rf,{},0.9757649938800492,0.54,0.51,0.027216494845360824,359,536,895,1.0,0.9727835051546392,1.0,0.7670940170940171,1.0,0.8576,0.8681983071342202,0.9862040133779264,0.9233419465977604,0.07,0.06,0.86
bitfinex_hitbtc_ltc_usdt_rf,bitfinex_hitbtc_ltc_usdt,rf,{},0.9874660929754001,0.54,0.45,0.014111204717775903,509,686,1195,1.0,0.9858887952822242,1.0,0.8015748031496063,1.0,0.9884726224783862,0.8898601398601398,0.9928942623820128,0.9942028985507246,0.09,0.08,0.84
